,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u102511,4,1,3,7,1,5,3,2,1,1,3,1,1,1,3,2,1,1,1,2,1,1,2,1,3,1,4,1,1,5,2,2,2,2,1,['present'],1,2,2,6,1,1,6,1,7,1,3,2,2,6,5,3,1,1,1,1,1,2,1,1,7,2,2,1,1,1,1,1
1,u261588,2,1,4,5,1,6,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,['past'],3,4,4,5,2,1,6,1,7,1,6,2,1,7,7,1,1,1,1,1,1,1,1,1,4,4,2,1,1,2,3,1
2,u151423,2,1,4,6,1,6,4,2,1,1,2,1,1,1,6,2,1,1,1,1,1,1,1,6,2,6,2,1,1,3,1,1,5,1,1,['future'],3,5,4,3,2,1,5,1,6,1,6,2,1,7,7,2,1,1,1,1,1,1,1,1,6,5,1,1,1,2,1,1
3,u77334,1,1,3,7,1,5,6,2,1,1,2,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,5,1,1,4,2,1,4,1,1,['present'],1,4,5,4,2,1,3,2,7,1,5,2,2,7,7,1,1,1,1,1,1,1,1,1,7,3,1,1,1,1,1,1
4,u21322,2,1,2,5,1,2,7,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,2,3,1,1,1,4,1,1,1,1,"['past', 'present']",1,2,7,5,4,1,3,4,6,1,1,5,4,5,2,2,2,2,2,2,1,2,3,2,4,3,2,4,4,3,3,1
5,u232703,1,1,4,6,1,7,2,2,1,1,3,1,1,1,3,2,4,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,5,1,1,['present'],5,6,1,2,1,1,5,1,6,1,6,1,1,7,7,1,1,1,1,1,1,1,1,1,6,4,1,1,2,1,1,4
6,u32937,2,1,2,6,2,3,6,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4,1,1,6,4,1,1,1,1,['past'],2,2,5,5,2,1,5,3,6,1,1,6,4,6,2,1,1,1,1,1,1,2,1,1,6,2,2,2,1,1,1,1
7,u74101,2,1,3,7,2,4,4,2,1,1,1,3,5,5,2,6,7,4,1,5,1,1,2,1,2,1,3,1,1,6,7,1,1,5,5,['future'],2,3,3,3,2,1,5,5,6,2,3,2,7,6,1,3,2,1,1,1,1,2,1,4,6,5,2,3,3,1,1,1
8,u219717,2,2,4,6,1,6,3,5,1,1,4,5,2,1,3,3,2,5,1,1,2,1,3,4,2,1,3,1,1,2,3,3,4,2,1,['present'],2,2,5,4,2,1,6,2,6,1,2,2,3,6,4,3,1,1,1,2,1,4,1,2,6,4,2,1,1,1,1,1
9,u7038,2,1,3,5,1,2,7,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,2,6,1,1,6,3,1,1,3,1,['present'],1,2,7,3,4,1,2,2,6,1,1,2,3,4,2,1,1,1,1,2,1,5,1,1,4,2,2,6,1,1,1,1
