,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u124196,奉节早就 不归四川管了,1.0,1.0
1,u205217,还不算你在怀孕期间所受的那些,5.0,5.0
2,u260396,记住我们不喜欢有人打混,2.0,2.0
3,u193134,夹了甘蓝和火腿的三明治,1.0,1.0
4,u218714,我很愿意帮你 - Robert 你太好了,1.0,1.0
5,u75457,因为地图上没有河,2.0,2.0
6,u250035,为什麽你一定要那两个咚咚呢？,4.0,4.0
7,u162353,瓶盖的用处 不止是防止瓶子里的液体流出来！”,1.0,1.0
8,u172094,你只要告诉真凶是谁,1.0,1.0
9,u150084,各位，她叫瑞秋， 另一位从林肯高中生存下来的人。,4.0,4.0
10,u123631,让我们做点老教堂的仪式,2.0,2.0
11,u262874,后来得关节炎了，自杀了,2.0,2.0
12,u55517,而且说实在的，当我知道我的星座是一个秤之后，,4.0,4.0
13,u6563,那好，田纳西流域管理局受到一点点限制。,2.0,2.0
14,u78721,不对吧，你已经过了年龄了,4.0,4.0
15,u202606,你有时间吗？ 我们想和你谈谈,2.0,2.0
16,u189045,只要他们一到，我想应该用不了很久,3.0,3.0
17,u140231,只知道很少关于她的事情,1.0,1.0
18,u140387,你不介意顺路把我带过去?,1.0,1.0
19,u246120,我爱你甚过自己的生命,1.0,1.0
20,u295850,"贿赂,勒索,谋杀",1.0,1.0
21,u122489,我们闲聊是否有共同的朋友,1.0,1.0
22,u6046,我当时想我做得是不错的。,2.0,2.0
23,u38486,这就是为什么你送你的孩子上好学校，,5.0,5.0
24,u157592,#不 暴民数量正在上升 他们在竭力呐喊#,2.0,2.0
25,u245963,他说来追捕恶魔,2.0,2.0
26,u283483,汗瘤 橇肺弊伐捞 亮栏聪鳖 老阑 救 窍摆烈,5.0,5.0
27,u276057,凯莉瑞丝和珍克劳完全反败为胜,1.0,1.0
28,u124985,… 自称是福音派,2.0,2.0
29,u135809,我在找我妹妹，就被他们抓了,4.0,4.0
30,u91257,斯大林同志有令：市民不准离城,2.0,2.0
31,u61224,你得看看他们去年做了什么。,2.0,2.0
32,u191488,我不会让你这麽做的,3.0,3.0
33,u91568,你我是敌人，我知道你会明白的,3.0,3.0
34,u245690,所以要雇用布斯,1.0,1.0
35,u269278,谁来扶我一下，我要笑歪了,1,1.0
36,u90867,不对，我想应该不是债务的事,3.0,3.0
37,u64861,你介意我们进屋子里吗?,1.0,1.0
38,u26653,印度给予被巴比伦人入侵的犹太人庇护，,3.0,3.0
39,u197931,哦，对，全身都倒上 你这个青铜的小骚货,3.0,3.0
40,u135337,你会不会做的啊? 你就不能让我更有快感些吗?,2.0,2.0
41,u234240,来吧.多喝几杯不会怎么样,3.0,3.0
42,u3341,在去年的TED发言上我介绍了LHC,1.0,1.0
43,u262768,之前在电梯，还见到两婆孙,1.0,1.0
44,u27701,我之所以这样说是因为这个系统在Turkey是显著的.,3.0,3.0
45,u53698,明年我们希望可以首次把它带回美国，,2.0,2.0
46,u103653,不 我不能告诉你我在哪里 妈,2.0,2.0
47,u171935,为什么他想见我,2.0,2.0
48,u17151,在我的小社区里更是件大事。,4.0,4.0
49,u126727,#谜团让我困惑#,2.0,2.0
50,u268732,我还需要给她卖一双,4.0,4.0
51,u147851,我可以试着摆脱他们,4.0,4.0
52,u123315,我弄个台阶，他也要弄个台阶,3.0,3.0
53,u212886,我坐在蹦床上抽大麻,1.0,1.0
54,u30725,但是事实上，我们在这里刚刚统计了一次,4.0,4.0
55,u236879,你这个自大的家伙！ 那是什麽招术，你去扯基金会的後腿？,3.0,3.0
56,u152860,那里会遍布白色的牛群 吹着甜蜜的微风,2.0,2.0
57,u207455,我们活着的每一天都是奇蹟,1.0,1.0
58,u205084,珊蒂就是在那儿由法兰克神父洗礼的 那是个我们永远都会记得的人,1.0,1.0
59,u78600,他说这是循环 反覆，再生什么的,3.0,3.0
60,u195232,别太为难史蒂芬，不要错看他.,1.0,1.0
61,u119839,萝珊，你跟兰尼怎么认识的？,1.0,1.0
62,u72143,你觉得什么让她如此不寻常？,3.0,3.0
63,u184286,知道吗，我觉得这样很公正，妈咪,3.0,3.0
64,u71436,我16岁就被迫下嫁米奈劳斯,1.0,1.0
65,u193602,"而且我都他妈告诉他,不应该下去的",3.0,3.0
66,u27228,政府确信了——部分是因为这个故事，,4.0,4.0
67,u103152,你懂事点，阿叔今晚请你吃饭！,3.0,3.0
68,u189154,你的任务是弄清楚地球什么时候毁灭,1.0,1.0
69,u167298,那你上卡车后发生了什么?,1.0,1.0
70,u225341,我们叫他增进吸烟者，,4.0,4.0
71,u276186,温杜斯，注意摄像头,2.0,2.0
72,u257737,我设法抓牢名声,1.0,1.0
73,u82554,呃 差不多吧 大多数的雇佣关系都是这样结束的 不 完全不是这样,4.0,4.0
74,u272884,"""能不能收留我一晚?""",1.0,1.0
75,u218981,我要采取法律手段！ 你什么毛病啊?,2.0,2.0
76,u248250,她真能帮我们吗?,2.0,2.0
77,u92447,乔，可以和你单独谈谈吗?,2.0,2.0
78,u141455,我们有好长一段路呢！,3.0,3.0
79,u115311,两手手心朝上！在胸前摊好！准备接钥匙！,1.0,1.0
80,u145450,你放手 我就放刀,4.0,4.0
81,u219630,在家里却找不到,5.0,5.0
82,u28150,所以我很爱吃芝士玉米条。我爱芝士玉米条，好吃极了。,1.0,1.0
83,u85259,艾丽 昨天我一晚上都和他在一起,1.0,1.0
84,u50208,它将自己埋藏在沙子里睡觉，,1.0,1.0
85,u230455,你在学校得奖的歌曲 -哦，那是第10名,1.0,1.0
86,u29257,现在，尽管我的数学不是很好，但这个数字大致是没问题的，,2.0,2.0
87,u268812,我们应该在律师来之前什么也不说.,1.0,1.0
88,u1705,然后他意外的发现，其中最最简单的策略竟然赢了。,3.0,3.0
89,u273625,是否警长总是骑左右 在出租车吗？,4.0,4.0
90,u286767,到头来一场空,2.0,2.0
91,u92368,就是这样 -是的！ 是的！,1.0,1.0
92,u233340,嘿，冠军，你觉得美丽的夏威夷怎么样?,1.0,1.0
93,u261989,"在神凡事都能 我们一切说:神啊,修正这个世界！",2.0,2.0
94,u276102,那是莱娅吻的卢克，是要让索罗妒嫉,4.0,4.0
95,u144069,咔\xE4 扰氵卿\xDF 轻逖\xC8 \xE6 徙 瘦卺,5.0,5.0
96,u266836,可惜我已没气息,4.0,4.0
97,u249846,我不过强壮。我不知道如何乐观。,1.0,1.0
98,u63260,叔叔，爷爷就是在这里丢下鲸牙挂饰的吗?,1.0,1.0
99,u165242,"""做为基督徒，你就不能接受进化论吗?""",2.0,2.0
100,u293446,被甩了後，他避世了。,1.0,1.0
101,u17229,而且我终于自由了，,3.0,3.0
102,u272557,不 我们要让他无所恃,3.0,3.0
103,u173610,窍鞘 弊繁 扁盒俊 弊 畴贰甫 佃绊 乐促聪,5,5.0
104,u59044,不想让他们尝到永远在一种很贫穷生活下度过。,1.0,1.0
105,u195019,你说的什么话？ 我的队员为了这次任务都拼了命,3.0,3.0
106,u297241,你以为树会自己倒下来吗?,4.0,4.0
107,u291254,你在找你的金罐吗？,1.0,1.0
108,u149486,我们打的赌，你不会抓住不放吧？,3.0,3.0
109,u162127,我们都知道是你干的 就是你,1.0,1.0
110,u202324,家里总是这样漂亮的,1.0,1.0
111,u171788,从波士顿来的温柔的普通人吗？,1.0,1.0
112,u172830,我一直给你机会来帮助我 但你拒绝了,1.0,1.0
113,u242529,家族争斗 任何时候都胜过4.0的平均绩点,2.0,2.0
114,u267434,那需要很大的勇气 不是吗?,3.0,3.0
115,u34942,是她们，组织参与V日活动，建立了第一家收容所,4.0,4.0
116,u134819,我知道你的孩子非常难管教,1.0,1.0
117,u53309,我认为女人应该想穿什么就穿什么,1.0,1.0
118,u231136,你必须安静几个月好恢复你的精神生活,2.0,2.0
119,u218382,你们到底想要玩什么啊？ - 你说你看到她死了,4.0,4.0
120,u121369,放开我，要不我崩了你们！,2.0,2.0
121,u180796,我的意思是，实际上，我是期待他做点什么的,3.0,3.0
122,u153060,大概可以这么说 我帮人们解决麻烦,1.0,1.0
123,u200977,有没有人念悼词？,1.0,1.0
124,u206574,这是我们的策略之一,1.0,1.0
125,u9166,小孩子用统计来了解世界，,1.0,1.0
126,u32937,有人提了关于Java语言的一个问题,1.0,1.0
127,u254335,是的，我站你一边，老兄,1.0,1.0
128,u67114,总之，你不会明白,4.0,4.0
129,u283821,那是把史密斯卫森38发,2.0,2.0
130,u49050,但是现在他们中很多人在这是因为他们没有钱,1.0,1.0
131,u204056,恩，那他们思想很开明,3.0,3.0
132,u295977,她是坠入凡间的天使,3.0,3.0
133,u16405,然后将这笔资金投资或贷款给,5.0,5.0
134,u109454,总是怪怪的 埃迪,3.0,3.0
135,u3301,因为其获得的信息更高质，所找到的人更优秀，所费的交通成本更低,2.0,2.0
136,u134651,你想进去？,1.0,1.0
137,u174759,爷爷遇到什么事情都放在心里面 你爸爸他就什么都喜欢说出来,1.0,1.0
138,u118165,还有… 感谢上帝让我们佛罗里达 拥有这么多出色的选手,2.0,2.0
139,u293804,特来向我的义弟辞行,1.0,1.0
140,u278529,等等 你见过狮子吼?,1.0,1.0
141,u82472,她有点头痛 还有点晕,1.0,1.0
142,u85214,他们把镇上所有的警察 都叫出来找她了,1.0,1.0
143,u239920,两个一块钱,2.0,2.0
144,u171136,我想我们会合作愉快的,1.0,1.0
145,u229396,都坐下，我来给你们唱首歌吧,1.0,1.0
146,u22451,我把糖粒之类的食物摆在周围做诱饵，把蚂蚁们引到房子附近。,1.0,1.0
147,u133098,我得来犯罪实验室看看,1.0,1.0
148,u187839,你喜欢这样吗？ - 你会再被抓进去的,3.0,3.0
149,u282956,我叫汉考克，我有酗酒的毛病,1.0,1.0
150,u109145,或是看着我们其中一人毙命,4.0,4.0
151,u192168,我现在病情有好转，但是随时都可能恶化,1.0,1.0
152,u120400,但当看护人的生活很适合我,1.0,1.0
153,u1711,第二个玩家也可以拒绝这个分配，双方都拿不到钱，然后游戏结束。,1.0,1.0
154,u129274,三年前我跟中国人做过生意,1.0,1.0
155,u274725,照你来说 我值两幅画,3.0,3.0
156,u252438,玩家们会赢得143亿日元,1.0,1.0
157,u89727,你没羞吗?. 总想当别人的寄生虫！,2.0,2.0
158,u195751,史蒂夫·洛佩兹先生，自由撰稿人 你是我的神,2.0,2.0
159,u242202,Euripides 医生告诉你查那个的?,4.0,4.0
160,u163915,现在高兴了? 我们的走位都没好,4.0,4.0
161,u80113,我是说把我们自己弄起来 正统一点,4.0,4.0
162,u244282,"这里没有等待的规则和考虑两次的时间,",2.0,2.0
163,u282369,那是艾伦 他是在我之前巴克的演出经纪,2.0,2.0
164,u70218,"我的宝贝,那是巨大的成功.",2.0,2.0
165,u110697,你不必为离开孩子而自责,2.0,2.0
166,u134714,那只能怪Millie不走运了,1.0,1.0
167,u156689,凯莉瑞丝好像换了个人似的,2.0,2.0
168,u241084,在我雪橇座位底下找到的,5.0,5.0
169,u7038,但是我知道的完成这个任务的,4.0,4.0
170,u113345,很很惊讶 罗特利他们 竟然都不管,4.0,4.0
171,u101466,提格要听我们拉一段 -乐意效劳,1.0,1.0
172,u2482,允许你实验对象的另一组，,4.0,4.0
173,u250120,Pyung yang来访的Kim Dae Jung总统,2.0,2.0
174,u215313,我知道 可这很有趣,2.0,2.0
175,u148793,我们别生气,1.0,1.0
176,u270377,哦,5.0,5.0
177,u76406,是啊，鉴于现在这么不安全,4.0,4.0
178,u203270,你能用这个姿势狠狠的干我吗？,2.0,2.0
179,u50422,如果我们这样看的话，有第三种办法。,4.0,4.0
180,u259990,所有人都怒气冲天 还有人受了伤,1.0,1.0
181,u110228,父亲已派人去了,3.0,3.0
182,u147099,我甚至会将他的头压在水里,1.0,1.0
183,u159596,看看这个 让我来 告诉你们,1.0,1.0
184,u140167,我知道他可以对着任何东西唱歌,2.0,2.0
185,u153762,我在册子里看到了你的画 觉得它们真好看,1.0,1.0
186,u181175,否者我把你们俩都干掉,1.0,1.0
187,u40001,是我们今天走进会场的时候，托马斯在演奏音乐。,1.0,1.0
188,u212148,找人打电话吗?,2.0,2.0
189,u64115,告诉我，今年他们在你的生日 蛋糕上放了几根蜡 ?,1.0,1.0
190,u165998,不，我不同意 -大多数人都会如此,3.0,3.0
191,u88104,还有更糟的事，Jill昨晚甩了我。,2.0,2.0
192,u265481,他甚至提了Grissom几次,1.0,1.0
193,u180702,因为我不想做这样的事,4.0,4.0
194,u148306,我会让你知道那没有关掉,2.0,2.0
195,u58097,尽管有些词语故意使得我们对彼此充耳不闻,2.0,2.0
196,u272988,你管那鬼东西 叫什么?,2.0,2.0
197,u253899,仍在四处找，碰一碰运气,1.0,1.0
198,u158753,在这份报告中，你们都宣称不知道 有大火，直到它发生后。,3.0,3.0
199,u246095,你就能恢复如初了，好吗？,2.0,2.0
200,u120311,甚至可以到附近的乡村郊游,1.0,1.0
201,u71251,我要你退出我们的生活,1.0,1.0
202,u116095,在哪儿?,5.0,5.0
203,u178087,你想做神射手，就要学会闭气,1.0,1.0
204,u13916,就能制造出像那个细胞一样神奇的材料。,5,5.0
205,u152854,然后又给我了这辆小货车,2.0,2.0
206,u295555,那将能永恒不朽,4.0,4.0
207,u87042,律师们已经在大门前了，他们说联邦调查局的人马上就来,1.0,1.0
208,u114212,保留一定的尊严和魅力,1.0,1.0
