,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u290204,4,1,1,7,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,5,1,1,1,1,['past'],2,2,3,6,2,1,6,6,6,2,1,6,4,6,3,2,4,1,1,5,1,2,1,1,7,2,2,5,5,5,4,2
1,u92498,5,6,2,7,2,5,2,5,5,1,2,1,5,4,1,1,5,1,1,5,1,4,5,1,1,4,2,1,1,6,5,4,2,4,1,['present'],1,2,4,5,3,1,4,3,6,2,2,5,6,5,2,1,4,1,1,4,1,2,1,4,6,3,1,4,1,1,3,6
2,u286636,6,1,3,7,4,6,3,2,5,1,1,1,1,1,1,1,1,1,2,1,3,1,1,5,1,1,2,1,1,5,5,4,1,1,1,['past'],5,5,2,6,2,3,6,6,6,2,2,6,5,6,2,4,6,3,3,6,2,2,1,2,7,4,3,2,5,2,4,6
3,u350426,4,1,1,7,2,5,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,2,2,2,1,1,6,5,1,1,1,1,"['present', 'past']",1,1,5,7,2,1,5,6,6,1,1,7,5,6,3,2,3,1,1,4,1,3,1,1,6,2,1,2,2,1,1,1
4,u381070,5,1,1,7,5,6,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,['past'],2,2,2,6,1,1,6,5,6,1,1,6,5,6,3,3,5,1,1,6,1,1,1,1,7,3,1,2,1,1,1,1
5,u366209,2,1,1,7,1,6,2,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,7,4,1,1,1,1,['past'],4,4,2,6,2,1,6,4,6,1,3,5,5,6,2,3,2,2,2,2,1,1,1,1,7,3,4,2,2,1,1,1
6,u389066,3,2,2,7,2,5,2,4,1,1,1,1,5,4,1,1,6,1,1,1,1,1,1,1,1,1,2,1,1,7,6,1,1,6,1,['present'],3,3,3,4,1,1,6,1,7,1,3,4,6,6,2,1,1,1,1,1,1,2,1,2,7,3,1,1,1,1,1,1
7,u164486,2,1,1,6,2,5,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,['present'],5,5,2,5,6,1,2,4,7,1,5,6,2,6,6,1,3,1,1,3,1,1,1,1,6,2,1,1,1,1,1,1
8,u257635,3,4,1,7,2,5,4,4,2,1,2,1,3,2,1,1,2,1,1,3,1,1,4,1,1,4,4,2,1,6,5,2,1,2,1,"['present', 'future']",4,4,5,5,3,3,4,3,6,2,2,5,5,6,5,1,2,1,1,3,1,2,1,3,7,3,2,1,1,1,1,2
9,u424935,6,1,1,7,5,6,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,7,4,1,1,1,1,present,2,2,2,7,2,1,6,5,7,1,1,7,5,7,2,1,5,1,1,6,1,1,1,1,7,2,1,1,1,1,1,1
10,u977,5,1,1,6,4,5,5,2,4,1,1,1,2,1,2,1,1,3,1,1,3,1,1,6,5,1,4,3,1,6,5,1,1,2,1,['past'],5,5,2,5,2,3,6,6,6,2,4,5,6,5,2,2,5,3,3,5,2,3,2,2,6,4,4,2,1,3,4,5
11,u406202,5,1,1,7,2,6,2,1,1,1,1,1,1,1,3,6,1,1,1,1,1,1,1,4,3,1,2,1,1,7,5,1,1,1,1,"['past', 'present']",2,2,2,6,2,1,6,6,7,1,1,7,5,6,2,3,5,1,1,6,1,1,1,1,7,2,1,4,3,2,2,1
12,u254452,4,1,2,6,4,6,5,3,2,1,4,1,1,1,3,2,1,1,1,1,2,1,1,5,1,3,4,3,1,2,2,2,4,2,1,['past'],4,4,2,5,2,3,5,6,6,2,4,5,4,6,5,2,4,2,2,5,1,2,1,2,6,4,3,2,1,1,1,4
13,u11316,2,1,2,7,1,6,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,4,1,1,1,1,['past'],1,2,2,6,2,1,4,5,7,1,2,6,5,6,3,3,1,1,1,2,1,1,1,1,7,2,1,1,1,1,1,1
14,u119520,4,4,2,6,2,5,5,3,2,1,1,1,3,3,1,2,4,1,1,3,1,2,4,2,1,1,4,1,1,4,5,4,1,1,1,"['present', 'future']",2,3,4,5,4,1,2,4,6,2,3,5,5,5,2,1,3,1,1,3,1,4,1,2,6,2,2,2,1,1,1,2
15,u324896,2,1,4,6,2,3,5,2,1,4,1,1,1,2,4,2,2,1,1,1,1,1,2,5,2,1,4,3,1,5,4,3,1,2,3,"['past', 'present']",4,4,3,2,3,4,2,2,6,1,4,2,4,5,2,3,1,2,2,1,1,3,1,1,6,4,4,4,2,1,1,3
16,u248345,2,1,1,7,2,4,4,1,1,1,1,1,1,1,1,1,4,1,1,3,1,3,4,1,1,3,4,1,1,6,5,1,1,1,1,['future'],1,1,2,6,2,1,6,3,6,2,2,5,5,6,2,1,2,3,3,2,3,2,1,2,7,2,2,5,5,5,5,1
17,u123533,4,1,1,7,2,5,6,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,3,1,1,3,1,1,6,5,4,1,2,1,"['past', 'present']",1,1,5,7,2,1,6,6,7,1,1,7,5,6,2,1,5,1,1,6,1,3,1,2,7,2,2,2,1,1,1,1
18,u238047,4,4,1,5,2,3,6,3,2,1,4,1,2,1,3,5,1,2,3,2,4,1,2,5,4,5,2,1,1,6,4,2,1,2,1,"['present', 'future']",1,2,5,5,5,1,2,6,5,2,1,6,4,6,5,2,4,1,1,5,1,3,1,4,4,2,1,2,2,1,1,2
19,u39821,2,1,4,7,2,5,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,4,1,4,1,1,['present'],2,3,3,3,2,1,6,2,7,1,2,2,5,6,2,1,2,1,1,2,1,2,1,1,7,5,4,5,4,1,3,5
20,u416905,7,1,2,7,5,6,3,1,3,1,1,1,1,1,2,3,1,1,2,1,2,1,1,3,2,1,4,1,1,3,6,1,1,1,1,['present'],1,1,2,7,2,1,7,6,7,1,1,7,6,7,3,1,5,1,1,6,1,1,1,1,7,2,2,2,1,1,1,1
21,u71494,3,1,1,7,2,5,4,1,1,2,1,1,3,2,4,4,1,1,1,1,1,3,1,5,5,2,2,1,1,7,5,1,1,3,2,['past'],2,2,4,6,2,1,5,5,6,1,3,5,6,6,2,1,4,3,3,4,2,2,1,5,6,2,2,2,1,2,2,4
22,u200872,2,1,2,2,1,2,6,1,1,1,1,3,1,1,3,3,2,2,1,1,1,1,1,1,1,1,6,4,1,2,2,2,1,1,1,['present'],3,3,6,2,4,5,3,4,6,1,2,5,3,3,1,4,1,1,1,2,1,4,1,2,2,2,4,2,1,1,1,1
23,u404827,6,1,1,7,6,6,4,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,4,1,1,1,7,5,1,1,1,1,['present'],1,1,3,7,1,1,7,6,6,1,1,7,5,6,1,1,6,1,1,7,1,1,1,1,7,2,2,1,1,1,1,1
24,u403043,6,1,1,7,5,7,2,1,2,1,1,1,1,1,2,4,1,1,1,1,2,1,1,5,5,3,2,1,1,7,5,1,1,1,1,['past'],1,1,1,7,1,1,7,6,6,1,1,7,4,6,2,1,6,1,1,7,1,1,1,2,7,2,1,2,3,1,1,1
25,u417979,6,1,1,7,5,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,7,5,1,1,1,1,"['present', 'future']",1,2,2,7,1,1,7,6,6,2,1,7,5,6,2,1,6,1,1,6,1,2,1,2,7,3,1,1,1,3,3,4
26,u271209,5,1,2,7,2,5,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,1,1,4,2,1,1,7,5,1,1,1,1,['future'],2,2,2,6,2,1,6,5,6,2,1,6,5,6,2,2,3,1,1,3,1,1,1,2,7,3,1,2,1,2,2,1
27,u205875,2,1,5,6,5,5,2,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,2,1,1,5,1,1,1,4,['past'],3,4,2,4,2,1,6,2,6,2,3,2,5,5,2,2,2,4,4,2,4,4,1,1,6,5,4,4,4,2,2,1
28,u283562,4,1,1,7,4,5,2,1,1,1,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,4,1,7,6,1,1,1,1,['past'],5,5,1,4,1,3,6,4,6,1,2,6,6,6,1,5,3,3,3,2,2,2,1,3,7,4,6,5,5,1,2,3
29,u33009,4,1,2,7,3,5,7,4,3,1,1,1,2,1,3,6,1,1,1,1,1,1,1,2,1,1,5,1,1,6,5,2,1,1,1,"['present', 'future']",2,2,5,5,2,1,6,6,6,2,1,7,5,6,2,1,4,1,1,5,1,4,1,2,5,3,2,6,2,1,2,5
30,u247395,6,1,1,7,5,6,4,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,4,2,1,1,2,1,1,2,4,1,1,1,1,"['present', 'future']",1,2,2,7,1,1,7,6,7,1,1,6,4,6,5,1,5,1,1,6,1,1,1,1,7,2,1,1,1,1,1,5
31,u91905,4,1,1,6,5,5,5,1,1,4,1,1,4,3,3,1,3,4,2,1,3,1,1,1,2,1,4,1,1,6,5,1,1,2,2,['past'],4,3,2,5,2,1,6,4,5,2,3,5,5,5,2,2,2,5,5,2,4,4,1,4,6,3,5,5,2,5,5,4
32,u334536,4,2,5,7,2,6,5,5,2,4,4,1,4,2,4,3,6,2,1,4,3,1,4,5,1,1,3,3,1,1,2,2,4,2,1,['present'],4,4,2,5,2,3,5,2,7,1,5,4,2,7,6,1,2,1,1,2,1,1,1,4,7,4,2,1,1,1,1,4
33,u139773,5,1,1,6,5,6,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,7,4,1,1,1,1,['past'],1,1,2,6,2,1,6,5,6,1,1,6,4,6,2,1,5,1,1,6,1,1,1,1,6,2,1,1,1,1,1,2
34,u235228,3,1,1,6,2,3,6,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,2,1,4,1,1,6,5,3,1,2,1,"['past', 'present']",2,2,5,6,3,1,4,5,6,1,2,6,6,5,2,1,3,2,2,4,1,3,1,1,5,2,2,2,2,2,2,5
35,u270991,2,1,3,7,1,5,6,2,2,1,1,1,3,3,1,1,1,5,2,1,5,1,3,4,2,2,5,1,1,6,6,6,1,5,1,['future'],1,2,5,3,2,1,6,4,7,1,3,3,6,5,1,1,1,1,1,1,1,2,1,4,7,4,2,2,1,1,1,1
36,u396961,3,1,1,7,4,6,2,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,3,3,2,3,2,1,1,1,4,1,1,1,1,['past'],6,5,2,5,2,1,6,4,6,2,2,6,5,6,3,1,3,6,6,2,5,2,3,1,7,5,6,6,5,5,2,6
37,u254491,2,1,5,6,2,4,4,1,2,4,3,1,1,2,4,3,4,1,1,4,1,3,4,4,2,1,3,3,1,4,4,2,1,3,4,"['present', 'future']",5,5,3,3,3,3,4,2,6,1,5,2,4,5,3,3,2,3,3,2,3,3,1,1,5,4,4,1,1,1,1,4
38,u114586,6,1,1,7,5,6,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,['past'],1,1,2,7,2,1,7,6,6,2,1,7,5,6,4,2,5,1,1,6,1,1,1,1,7,2,1,2,4,6,6,1
39,u152401,2,1,1,6,4,6,6,1,2,1,2,1,1,1,4,2,1,1,3,1,1,1,2,3,1,3,4,1,1,1,1,1,1,1,1,['past'],5,5,2,6,2,1,6,5,6,1,4,6,1,6,5,2,2,6,6,2,6,1,3,1,6,4,5,2,1,1,2,4
40,u11936,4,1,1,7,2,5,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,6,4,1,1,1,1,['future'],1,1,5,6,2,1,5,5,6,2,1,6,4,6,2,1,4,1,1,5,1,2,2,1,6,2,1,2,1,3,1,4
41,u9689,4,4,5,7,2,6,2,5,2,1,3,1,4,4,1,1,3,5,3,1,4,4,5,1,1,1,2,1,3,6,6,2,2,4,1,['present'],2,4,5,3,5,1,2,4,5,2,4,5,5,6,3,6,3,1,1,3,1,2,1,5,6,4,2,2,1,1,2,1
42,u170802,6,1,1,6,5,6,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,4,1,1,1,1,['present'],1,2,2,6,5,1,4,6,6,2,1,7,5,6,4,1,6,1,1,6,1,2,1,1,6,2,1,6,6,1,1,1
43,u298363,4,4,3,6,2,4,5,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,5,2,1,1,2,4,2,1,1,1,['present'],1,2,4,5,4,1,2,5,5,2,1,6,5,5,2,1,3,1,1,5,1,2,1,2,6,2,1,2,1,1,1,3
44,u131502,3,1,1,4,3,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,7,4,1,1,1,1,['present'],2,2,5,6,2,1,5,5,6,1,1,7,4,6,3,1,3,1,1,3,1,1,1,1,4,2,2,1,1,1,1,1
