,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u124196,Fengjie is no longer under Sichuan's jurisdiction,2.0,2.0
1,u205217,And that's not even counting the nine months of constipation leading up to it.,4.0,4.0
2,u260396,You may have noticed that we don't like dawdling.,2.0,2.0
3,u193134,"Fresh-cut vegetables, raspberries, pita with hummus and sprouts.",1.0,1.0
4,u218714,"That's very kind of you, Robert.",2.0,2.0
5,u75457,Because the river's not on the map.,3.0,3.0
6,u250035,Why do you want those things anyways?,4.0,4.0
7,u162353,"There's more to a bottle cap than keeping liquid from leaking out of glass!""",2.0,2.0
8,u172094,Just tell me who the fuck killed Mike?!,2.0,2.0
9,u150084,"Okay, everybody, this is Rachel, another Lincoln High survivor.",4.0,4.0
10,u123631,Let's have a little old-time church right now.,3.0,3.0
11,u262874,"But he got arthritis then, and he killed himself.",3.0,3.0
12,u55517,"and, frankly, the whole idea that my astrological sign was a scale",2.0,2.0
13,u6563,"OK, so the Tennessee Valley Authority was in a little bit of a bind.",2.0,2.0
14,u78721,You know you're done with all that.,3.0,3.0
15,u202606,"If you got a minute, we'd like to talk to you.",2.0,2.0
16,u189045,"We have some VlPs coming in from out of town, and when they arrive, which won't be long now,",4.0,4.0
17,u140231,I only know a few things about her.,1.0,1.0
18,u140387,You mind dropping me off on the way in?,2.0,2.0
19,u246120,And I love you more than my own life.,2.0,2.0
20,u295850,"I steal, extorción, murder, I traffic of drugs",1.0,1.0
21,u122489,"We made small talk, wondered if we had any mutual acquaintances.",1.0,1.0
22,u6046,"I thought, at the time, I did a pretty good job.",2.0,2.0
23,u38486,"That's why you have to send your kids to good schools,",4.0,4.0
24,u157592,"No, a mob is rising in size And they've been dying to scream",3.0,3.0
25,u245963,He said he was after the devil.,3.0,3.0
26,u283483,"So, they just don't want to work.",3.0,3.0
27,u276057,Kelly Reyes and Jen Crowe have turned the tables.,2.0,2.0
28,u124985,"We have a population, 25% of the population of the U.S.A.… … now, it is described itself like evangelista.",5.0,5.0
29,u135809,"Look, I'm facing a lot of jail time here.",2.0,2.0
30,u91257,"By order of comrade Stalin, no civilian can leave the city.",2.0,2.0
31,u61224,You should see what they did last year.,5.0,5.0
32,u191488,I'm not gonna let you do this.,3.0,3.0
33,u91568,"We're both soldiers, and we're both enemies, so I know you understand.",3.0,3.0
34,u245690,So the powers that be hired John Wilkes Booth.,3.0,3.0
35,u269278,"Hold me, somebody, while I laugh it out.",4.0,4.0
36,u90867,"No, I don't think it's about that.",4.0,4.0
37,u64861,Do you mind if we come in for a minute?,2.0,2.0
38,u26653,"India gave refuge to the Jews, fleeing the destruction of the first temple",2.0,2.0
39,u197931,"Pour it all over me,you little bronze bitchlet.",2.0,2.0
40,u135337,Can' t youeven jack me off properly?,1.0,1.0
41,u234240,One for the road won't hurt you!,4.0,4.0
42,u3341,Last year at TED I gave an introduction to the LHC.,2.0,2.0
43,u262768,"In the lift, I saw a grandma and grandson.",1.0,1.0
44,u27701,And I say that because the system in Turkey is notable.,4.0,4.0
45,u53698,"and we would like to bring this for the very first time, to the United States",4.0,4.0
46,u103653,"No, I can't tell you where I am, Mom.",2.0,2.0
47,u171935,Why he would want to meet with me.,4.0,4.0
48,u17151,And it was a big thing in my little community of Point Reyes Station,4.0,4.0
49,u126727,#And this mystery only leads to doubt #,3.0,3.0
50,u268732,And I needed a pair for her as well.,5.0,5.0
51,u147851,I can try to dump them again.,5.0,5.0
52,u123315,"I get a step, he must get a step.",4.0,4.0
53,u212886,I'm gonna be sitting there on the trampoline smoking crack.,1.0,1.0
54,u30725,"But in fact, I would argue that we've just done an experiment here and now,",4.0,4.0
55,u236879,What was thatstunt you pulled at the Foundation?,3.0,3.0
56,u152860,And there will be white cows with sweet breath.,4.0,4.0
57,u207455,Everyday ours life can be a miracle.,1.0,1.0
58,u205084,"Where Sadie was christened by Reverend Frank, who's known us forever.",2.0,2.0
59,u78600,"He calls it ""rebicycling. ""Something like that.",4.0,4.0
60,u195232,"And, Daddy... don't judge Stephan too hard or too fast.",2.0,2.0
61,u119839,"Anyways, Roxanne, how did you and Lenny meet?",1.0,1.0
62,u72143,What do you think makes her so extraordinary?,3.0,3.0
63,u184286,"You know, I think that's fair, Mommy.",4.0,4.0
