,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,frame_markers,situation_dependent_references,chronological_markers,explicit_references,code_glosses,transitions,causal_markers,adverbs_of_degree,hedges,place_time_svo,self_mentions,boosters,engagement_markers,attitude_markers,deontic_modal_words,endophoric_markers,evidentials,figurative_language,idioms,negative_connotations,positive_connotations,emotional_self_disclosures,but,slang_and_colloquialisms,note,interactive,also,rather,yet,still,pleonasms,although
0,u1984,介绍他如何提出了它，当时的人们如何反应，这件事如何影响了爱因斯坦的人生轨迹。 到“主要科學成就”一章，再从物理学的角度介绍狭义相对论的两大假设、推论、应用、在物理学中的地位等等内容。,3.0,介绍<frame_markers>他<situation_dependent_references>如何提出了它<situation_dependent_references>，当时<chronological_markers>的人们如何反应，这件事<situation_dependent_references>如何影响了爱因斯坦<explicit_references>的人生轨迹。到<frame_markers>“主要科學成就”一章，再<frame_markers>从物理学的角度介绍<frame_markers>狭义相对论的两大假设、推论、应用、在物理学中的地位等等<code_glosses>内容。,0.04395604395604396,0.03296703296703297,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u721,裁覆是說舉報內容非編輯破懷。 但如有人貼入侵權內容就是達舉報條件，不需3RR，只因侵權是很嚴重問題。,4.0,裁覆是說舉報內容非編輯破懷。 但<transitions>如有人貼入侵權內容就是達舉報條件，不需3RR，只因<causal_markers>侵權是很<adverbs_of_degree>嚴重問題。,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u2503,會不會有人堅持(比如說該模板的一些編輯)認為台灣是中華人民共和國的一部分導致堅持要納入？ 現在用「兩岸四地 」作為妥協或許還可以(至少同時隸屬於中华民国货币  、中华人民共和国货币這兩個分類)。,4.0,會不會有人堅持(比如說<code_glosses>該模板的一些編輯)認為台灣是中華人民共和國的一部分導致<causal_markers>堅持要納入？ 現在<frame_markers>用「兩岸四地 」作為妥協或許<hedges>還可以(至少同時隸屬於中华民国货币  、中华人民共和国货币這兩個分類)。,0.010309278350515464,0.0,0.0,0.0,0.010309278350515464,0.0,0.010309278350515464,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u2963,删除了这句:在他们的影响下，一些外国的朋友也跃跃欲试。。 因在新浪访问中，他们说过我们这个灵感就是从网上视频得出的，有两个人，两个外国人做的挺搞笑的。。 也就是说，他们不是首创的。,2.0,删除了这句:在他们的影响下，一些外国的朋友也<transitions>跃跃欲试。。 因<causal_markers>在新浪访问中<place_time_svo>，他们说过我们<self_mentions>这个灵感就是<boosters>从网上视频得出的，有两个人，两个外国人做的挺<adverbs_of_degree>搞笑的。。 也<transitions>就是说<code_glosses>，他们不是首创的。,0.0,0.0,0.0,0.0,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u1411,抱歉回复晚了，首先谢谢你的意见。 不过我们在这里讨论，不用于编辑。 可以有各有各的色彩，少拿中立性和客观性说事，你我并没有资格代表这两个词。,2.0,抱歉回复晚了，首先<frame_markers>谢谢你的<engagement_markers>意见。 不过<transitions>我们<self_mentions>在这里讨论，不用于编辑。 可以<hedges>有各有各的色彩，少拿<engagement_markers>中立性和客观性说事，你<engagement_markers>我<self_mentions>并没有资格代表这两个词。,0.014285714285714285,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.02857142857142857,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u2785,(＋)同意Martingale的看法。 大日本帝國一詞從來不是二戰之前的固定國號，而是《大日本帝國憲法》出現之後才逐漸普遍化的美稱。 明治維新後的國名主要還是日本。,1.0,(＋)同意<attitude_markers>Martingale的看法。 大日本帝國一詞從來不是二戰之前<chronological_markers>的固定國號，而是<transitions>《大日本帝國憲法》出現之後<chronological_markers>才逐漸普遍化的美稱。 明治維新後<place_time_svo>的國名主要<adverbs_of_degree>還是日本。,0.0,0.0,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,0.012195121951219513,0.0,0.012195121951219513,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u1857,您的提议很好，接受。 因在下当时考虑这是一个中文条目，想尽量体现中文氛围，故没有保留英文标题，但结果却变成一个遗憾。 由于在下近期忙于工作，不便继续编辑，而且已经很久没有维基了。,1.0,您的<engagement_markers>提议很好<attitude_markers>，接受。 因<causal_markers>在下<self_mentions>当时<chronological_markers>考虑这是一个中文条目，想尽量<hedges>体现中文氛围，故<causal_markers>没有保留英文标题，但<transitions>结果却变成一个遗憾。 由于<causal_markers>在下<self_mentions>近期<chronological_markers>忙于工作，不便继续编辑，而且<transitions>已经很久没有维基了。,0.0,0.0,0.02247191011235955,0.0,0.0,0.02247191011235955,0.033707865168539325,0.0,0.011235955056179775,0.0,0.02247191011235955,0.0,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u3374,作为大陆人，我反对使用中华民国一词（我的使用情况：1949年之前的可以使用，1949年以后的，基本用台湾）。 另外还有国籍的问题，你们楼上说的很准确，填写国籍信息时，请严格遵守以上规定。,4.0,作为<situation_dependent_references>大陆人，我<self_mentions>反对使用中华民国一词（我<self_mentions>的使用情况：1949年之前的<chronological_markers>可以<deontic_modal_words>使用，1949年以后的<chronological_markers>，基本<adverbs_of_degree>用台湾）。另外<transitions>还有国籍的问题，你们<engagement_markers>楼上说的很<adverbs_of_degree>准确，填写国籍信息时<chronological_markers>，请<engagement_markers>严格<boosters>遵守以上<endophoric_markers>规定。,0.0,0.010752688172043012,0.03225806451612903,0.0,0.0,0.010752688172043012,0.0,0.021505376344086023,0.0,0.0,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.0,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u3928,1.中華人民共和國教育部於2013年正式頒布的《通用规范汉字表》裡，券 是规范字，劵 則為异体字。 2.中華民國教育部於2015年公布的《教育部重編國語辭典修訂本》裡面只有收錄 券。,1.0,1.<chronological_markers>中華人民共和國教育部於2013年<place_time_svo>正式頒布的《通用规范汉字表》裡，券 是规范字，劵 則<transitions>為异体字。 2.<chronological_markers>中華民國教育部於2015年<place_time_svo>公布的《教育部重編國語辭典修訂本》裡面只有收錄 券。,0.0,0.0,0.02197802197802198,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u2804,我认为本条目不应评为优良条目，因为这个条目内容上存在很大的争议性。 争议主要在内容是否公正与内容是否全面。,1.0,我认为<self_mentions><hedges>本条目<explicit_references>不应<deontic_modal_words>评为优良条目，因为<causal_markers><transitions>这个条目<explicit_references>内容上存在很大<adverbs_of_degree>的争议性。 争议主要<adverbs_of_degree>在内容是否公正与<transitions>内容是否全面。,0.0,0.0,0.0,0.03773584905660377,0.0,0.03773584905660377,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.0,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
