,avg_labeled_utterance,place_time_svo,transitions,chronological_markers,adverbs_of_degree,causal_markers,deontic_modal_words,explicit_references,evidentials,frame_markers,situation_dependent_references,code_glosses,engagement_markers,negative_connotations,boosters,endophoric_markers,hedges,self_mentions,attitude_markers,figurative_language,idioms,positive_connotations,pleonasms,also,during,but,slang_and_colloquialisms,in_addition,even,then,self-mentions,you,in_advance,consider,even_though,as_long_as,and,can,emotional_self_disclosures,in_the_same_way,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,-0.08427529977480276,0.07234805957078613,-0.02225575919713308,-0.019739069604485987,0.046888549063937114,0.05246903083843791,-0.01028231579805901,-0.012128472489411336,5.6751039218914355e-06,0.028383594082729037,0.01279237667106775,0.03381587609043699,0.12605157012961704,0.12991046404050988,0.04211859191355787,0.0741329077948569,0.052220320476781726,0.014098858360794816,0.08826198302742197,0.021425749603249746,0.01071353364752133,-0.017012953832612174,0.001641474752633071,-0.017012953832612168,0.053753493338076205,0.054693849107785464,-0.017012953832612265,0.020378153491810158,0.020378153491810158,0.020378153491810175,-0.01701295383261218,-0.01701295383261217,-0.01701295383261217,-0.01701295383261217,-0.01701295383261217,-0.017012953832612178,-0.017012953832612178,-0.01701295383261218,0.05776926081623258,-0.3665520086615157,-0.004746714494821395,0.20252463539611534,-0.35638658659974176,-0.23971377207295605,-0.37765314156528995,0.43966424001181365,0.07557743393362946,-0.039760922778360755,0.013595578155464885,0.11171304455098574,0.10889728532547056,-0.009867259323761242,0.008130656532944359,0.09517754978525353,0.0045425785573052465,-0.0009897251505661387,0.05330371844402772,0.008890707143613199,-0.025113659713124223,0.038895986516058585,-0.06484867173252783,-0.003947626916514955,0.05458545226380732,-0.02049282582430334,-0.09315078381312128,0.40593904299338823,0.21523612090030791,0.05659462589297091,-0.04955134427444255,-0.15209872219173734,0.1648673354551651,0.14284625623647185,0.05435824893282772,-0.008644191014509308,0.17192448230774163,0.2393531008428641,0.364133692154719,-0.38726933288390797,0.23198807150824616,0.23066069320006796,-0.27201132773530656,-0.2407355288700926,-0.1119116375970837,0.03977457976396628,0.24446595982486546,-0.20074768544225693,-0.18612884552078177,-0.32453863929608534,0.0034126132908576905,0.27470697487793466,-0.29771755476447503,0.030299756027607996,0.027126773649020438,-0.32325512048194005,0.021983807948792577,0.38112238597472925,0.12985292351072728,-0.01430900015718086,-0.46052831604856387,0.19161006611524248,0.13033586949656273,0.09470374988251609,-0.002645887329488862,-0.05612192700001041,0.02774430204029837,-0.038608610483182926
place_time_svo,-0.08427529977480276,1.0,-0.0552807617319048,0.011099973830018954,-0.012713490646976418,-0.07186916245437969,-0.06913715750567552,0.10237180379703394,-0.032780000087442564,-0.05239008464619993,0.052860749385622345,-0.03541600126301197,-0.08396874188737533,-0.020154381192755828,-0.01289100709593611,-0.04241658956184234,-0.06654465856409031,-0.051941218709060336,-0.04054814343852104,-0.021690055524234617,-0.002639581094541458,0.02789659507625619,-0.01123598938430841,0.06705023194815211,-0.01123598938430842,-0.021750135858559,-0.015894229615182442,-0.011235989384308427,-0.011235989384308438,-0.011235989384308438,-0.011235989384308417,-0.011235989384308405,-0.01123598938430842,-0.01123598938430842,-0.01123598938430842,-0.01123598938430842,-0.011235989384308425,-0.011235989384308425,-0.011235989384308408,-0.011235989384308418,0.05159441692532571,-0.08825169394689426,-0.1272167939775293,0.09902324899456373,0.06889859175241166,0.07940647386378735,-0.13111338880370857,-0.15490506331794446,-0.1148080468216424,0.03146162849244278,-0.049560853335958416,-0.0017941366772237346,-0.11686404969301539,-0.060638660952707944,-0.06438234067822422,-0.08471256172375242,-0.07832140950777816,-0.04770922461175374,-0.04098673766211057,-0.05546533638282321,-0.07423838986208581,-0.07602632609048929,-0.07575361839663305,-0.07549552709915755,-0.09162122636279836,-0.07520600342934797,-0.09325343647638508,-0.04753045042354173,-0.016542109241067388,-0.03730212136844119,0.001280317068678055,-0.08190973627149555,-0.10077845025040537,-0.10344626551709776,0.010978442842863277,0.014118897538575762,-0.045341220326941996,-0.1277458729952058,0.12518898502785464,-0.13977143807225578,-0.027465350417155004,0.14896854378824853,0.03225198944414044,0.08381281781113117,-0.0917124028796711,-0.07195172559649575,0.09115994944106832,-0.009015864797227824,0.09618888843553695,-0.00720183115377363,0.034048954111273226,0.037357839967757996,0.03537335326986996,0.03505416097733114,0.046717290912244296,0.027437275805043255,-0.1564996716187931,-0.02776910699282094,-0.0925550025398372,0.14090115188394087,-0.09050840816376363,-0.031033183402636885,0.1753963061891003,0.35541745762384463,0.1649069285405137,0.024176594293218154,-0.1166995129187094
transitions,0.07234805957078613,-0.0552807617319048,1.0,-0.04954146382587304,-0.004544671025698215,-0.1031970263261903,0.022418886337592286,-0.08628266251752095,-0.031715216619558166,-0.06604698947404386,-0.04536362365342046,-0.01846318729697669,-0.04034185627365046,-0.033333995347645765,0.020311204900789047,-0.05786762177764268,0.007917042413265393,-0.0009732945589811257,-0.01483078039913774,-0.053734373588324266,-0.045402908182523245,-0.014650689127741869,-0.018583573183450396,-0.03475362086724462,-0.01858357318345045,-0.03597326658585116,-0.009571599359735226,-0.01858357318345041,-0.018583573183450424,-0.018583573183450424,0.045244581032385406,-0.018583573183450424,-0.018583573183450417,-0.018583573183450417,-0.018583573183450417,-0.018583573183450417,-0.018583573183450396,-0.018583573183450396,-0.018583573183450417,-0.01858357318345042,-0.06279587475059738,-0.020321179793926714,0.056587811270215296,-0.030925245319504847,-0.04589586684117514,-0.006726088303929591,0.09602641117492976,0.028913033845351075,0.02381077247311216,-0.010622026185860785,0.015473285944162918,-0.01646980506831871,0.03410395021394677,0.003943813519718456,0.03316379870720491,0.0018545666133223994,-0.03808251878459323,0.02443235774829217,-0.011029651633630741,-0.009497215846944285,0.011230029003341755,-0.032682511541638794,-0.01701427182498337,0.030606109834244433,0.010616888561175082,-0.029089729116671795,0.075829466128294,-0.022740763614968434,0.0794386919970323,-0.014997267573198933,-0.007347682877961349,0.09901289260032782,0.05216522334840735,0.058672954598330086,-0.0028628112279920613,0.006075528819976257,0.04080643292943941,0.05429058766769755,-0.05121418040216519,0.05160065224549368,-0.0136291804534274,-0.05076554965045842,-0.030385854937421675,-0.08581900102711322,0.020197397497050358,0.03437664439565494,-0.05714706425932929,0.005899211657992231,-0.04656036856636004,0.008347471145234688,0.015906882450364455,-0.03712890144460187,-0.03878385975328567,-0.0370989876195486,-0.03014164507531686,-0.04330439526363659,0.04458613287426205,0.03860667800532968,0.015246164202917705,-0.06343046317140638,0.030599526723696594,-0.011710628845714787,0.001619055811007951,-0.061780002852052755,-0.003550782314893186,0.18533721413520568,-0.029457892777448737
chronological_markers,-0.02225575919713308,0.011099973830018954,-0.04954146382587304,1.0,-0.07298633793878093,0.014885023227776175,-0.06244313554802442,-0.03397157825211724,-0.012296885897771824,0.009221099155241063,-0.007135320702034447,-0.07007245018348708,0.0025139194836274114,-0.021880695014915453,-0.004837764626723352,0.001377362676819754,-0.007867358960453484,-0.04236669109699735,-0.006759527451334795,-0.012181686790882768,-0.03901232138647241,-0.04209725994368766,-0.016056796647799153,0.0432443953428817,-0.016056796647799118,-0.031082043298350976,-0.022713657344748305,-0.016056796647799118,-0.016056796647799156,-0.016056796647799156,-0.016056796647799118,-0.01605679664779914,-0.016056796647799156,-0.016056796647799156,-0.016056796647799156,-0.016056796647799156,-0.016056796647799132,-0.016056796647799132,-0.016056796647799132,-0.016056796647799153,0.025347540777232832,-0.0007067886317472824,-0.11335789008103565,0.038757151774722956,0.05075374279848287,0.046784279351751924,0.006773631085737758,-0.10144917566127531,-0.0647983514879039,0.11241829819589974,-0.044025777937058586,-0.01276157342179805,-0.035602045939679576,-0.021575011712373388,-0.03806053684334369,-0.008980005554627019,0.006101845737561929,-0.03784531849504016,-0.004573128649064331,0.018959623165400976,-0.055254744612411574,0.014403361905642769,0.01809238209642499,-0.007596501794453227,0.0036975732723103383,-0.0059743888112654886,-0.03226037902358567,-0.041696792865686075,-0.052627846977744065,0.04023294801398336,0.035255348400784696,-0.030655074689892047,-0.07200207689703159,-0.05417003177862252,0.026241267025816122,0.017797262477320233,-0.02434256574562636,-0.024540399552092463,0.05977701569649575,-0.12040914949518053,-0.03744438701314813,0.09978756885575246,-0.04867280118718536,0.02338398597807636,-0.03150174727699391,-0.017391067664725868,0.010613480152943167,-0.0022293506426047036,0.003760911579715712,-0.017428817787311493,-0.04651290108598351,-0.028062671251017298,0.1666903995497795,0.16542941323963517,-0.041234599010738775,0.15986597128303717,-0.026347045761278408,0.05122029845791702,-0.05732352053768654,0.03517688087469356,-0.023820840138043524,0.02920284217020326,0.12183738165558906,0.15747274581591425,0.42779357511660326,0.2766242492877328,0.029082618521523648
adverbs_of_degree,-0.019739069604485987,-0.012713490646976418,-0.004544671025698215,-0.07298633793878093,1.0,0.0630568883423033,0.012033037910029753,-0.005083922405137864,-0.021273593498946964,-0.0164163602783625,-0.014518460243088116,-0.046240294337597895,-0.011790737213426841,0.024718901674513547,0.08376861378361714,-0.014817378474558003,0.046757562079618384,0.06756557013552544,0.08085603827593722,0.04851914792377233,-0.004810298504718009,0.014278858735370261,-0.010897512180161434,-0.012881028156301311,-0.01089751218016145,-0.021094926519762067,0.007181619232884557,-0.010897512180161429,-0.010897512180161467,-0.010897512180161467,-0.01089751218016142,0.020859146181739875,0.02085914618173988,0.02085914618173988,0.02085914618173988,0.02085914618173988,-0.01089751218016144,-0.01089751218016144,0.10342645792268411,-0.010897512180161452,-0.15569066578512128,0.08504100777281959,0.13382564625664597,0.03994131251457553,-0.12165533959846507,-0.03545181245272693,-0.03755631203906985,0.09162836757127864,0.012600982722192271,0.06344824817671284,0.04148976545850625,-0.009607657389777657,0.07820770018519388,0.06101274096006171,-0.04609497910125667,-0.023953278408633247,0.0541674198551294,-0.011250794892318944,-0.058172812026337034,0.04647768617114559,-0.013206996848881412,0.021689426029364866,0.021550076957628294,-0.0632129960468244,-0.08035504072951744,-0.04799305125089568,0.05485937724467933,0.0074323441582918905,0.06480322761465046,-0.06802816837438005,-0.10091482307432226,0.07565072112361779,0.05214483817915072,0.03407690796023019,-0.0020129746428468633,0.030933441799517646,0.08960417111630689,0.05278603635331645,-0.10019838308351504,0.044363181694031584,-0.00585177699915495,-0.1149634467864854,-0.18231543093366476,0.002465007389241509,-0.04212129019768273,0.1468886786925031,-0.15856269938773176,-0.07918915948606044,-0.03257798333025787,0.08758928185541714,-0.04565589360991077,-0.1907974473281068,-0.0077609841773056566,-0.007063612345249444,-0.17893747903760926,-0.00871953296775764,0.02787140977382988,-0.011841010365890314,-0.013042360787197345,0.016063009805168376,0.029822636742656686,-0.009674232399681687,-0.08781247401473824,-0.07898633662647157,-0.07557191887371609,-0.06299950336663938,0.001046079344910318
causal_markers,0.046888549063937114,-0.07186916245437969,-0.1031970263261903,0.014885023227776175,0.0630568883423033,1.0,-0.019308219127209283,-0.09451057489440069,0.0048340486643767815,-0.041168965882952366,-0.06948877117379688,-0.061125780761585015,-0.005111131948192845,-0.013960469888321893,-0.02843143473623918,-0.034663148983074245,0.04859251792558356,0.09896543821780593,-0.027553231343674378,0.01264669966259451,-0.0033576741601108904,0.018882542875081766,-0.012428726683186541,-0.023243283234396422,-0.012428726683186569,-0.02405898445273791,-0.017581454464774795,-0.012428726683186554,-0.012428726683186555,-0.012428726683186555,-0.01242872668318654,-0.01242872668318654,-0.012428726683186517,-0.012428726683186517,-0.012428726683186517,-0.012428726683186517,-0.012428726683186531,-0.012428726683186531,-0.012428726683186534,-0.012428726683186543,-0.030190035479891856,0.07573515116578003,0.08283344788657887,-0.05751143787922852,-0.06863117286166741,-0.0920532542227299,0.07136985291697022,0.1615663330399014,0.3633956638189157,0.031115825847482934,0.027963232433100022,-0.01543577605199873,0.017244321406188288,0.022929863928450218,-0.05690312716068083,-0.07285739158922731,0.0856135453087505,-0.006097550171618743,0.009190671564195948,0.08961265871798782,0.0006145573100831246,0.058211712854338196,0.10435851990465024,0.11704576384671024,0.0322948380342411,0.029477410990895674,0.0896108797465433,0.031262693438143724,-0.04239992781143061,-0.04816960976356549,-0.039298234148874685,0.09738896566487179,0.0659845151511194,-0.000988088386194572,0.024803644708718417,0.01012952792425263,0.06018217716546678,0.11077944580801419,-0.09135985204897779,0.13609203483301052,0.03450743596253371,-0.11803836177747172,-0.046193416144949935,-0.09246123483167484,0.05542701884051444,0.06492928756426863,-0.040557878075173436,-0.026255290197327124,-0.13971066597833778,0.005364863743150957,-0.07903886238338562,0.004557589434969257,0.024142692929877054,0.026003080844253075,-0.005884811373151896,0.015554312246858219,0.10550468783825642,0.005799369606826765,0.003089244848644942,-0.09487635617388591,0.06280146665028184,0.0030026787284050216,-0.0015264351288015803,-0.08161629503097459,-0.005969443086926222,0.12816699701640405,0.4824149837317833
deontic_modal_words,0.05246903083843791,-0.06913715750567552,0.022418886337592286,-0.06244313554802442,0.012033037910029753,-0.019308219127209283,1.0,-0.04538948272707802,0.03639966061879006,0.03860470598547864,-0.010750151128523244,0.003952576335109063,0.18024615043381553,-0.02044560285990525,-0.008412439461704004,-0.01715775934819399,-0.0420430827758135,0.096328103452053,-0.04102762204929627,-0.011238181351696908,0.1136164808832134,-0.029883860082089143,-0.011398344334791715,-0.021316338554225663,-0.011398344334791715,-0.02206441545686951,-0.01612389402424172,-0.011398344334791729,-0.011398344334791746,-0.011398344334791746,-0.011398344334791722,-0.011398344334791784,-0.011398344334791775,-0.011398344334791775,-0.011398344334791775,-0.011398344334791775,-0.011398344334791772,-0.011398344334791772,0.10553813989725591,-0.01139834433479174,-0.1102281274158962,0.2639489009922737,0.10567990323123684,0.06578768858972542,-0.12897423895763563,0.050223433891605315,0.051645623130320055,0.18646451643701512,0.007081474312249169,-0.07738918171628738,0.22813084978555115,0.12334177189792773,0.1293590423963813,0.1175405915822083,0.013849670588841342,0.02711354278803058,0.14421916852751215,0.040165876563798324,0.05541136174142965,0.15749394966953126,0.07410006318509182,0.12427451449655846,0.24967987518975643,0.07262851878832033,0.11175432806386491,0.13685256586055727,-0.010028300468019245,-0.05325693166795606,-0.029603446433995557,-0.012297651631010108,-0.005174263914620652,0.05074493403577007,0.12897094398494824,0.08439455847076412,-0.06480536660142239,-0.08168562836459495,-0.011080282946497882,0.05734381035961363,-0.07566806111159623,0.040625470549921695,-0.061674266717942586,-0.05494884401258783,-0.1031723168254359,0.04447902243546517,-0.07191560593283966,0.07455246425131769,-0.11482960749251574,-0.0342585255729887,0.034491353557723946,0.1157077408568995,-0.026059497642243305,-0.16337523141777835,-0.09803001288701618,-0.09611989172007633,-0.15344190500188232,-0.08559937447716218,0.010054838874425733,-0.03270659343098225,0.16722406178148505,0.047597260785304255,0.05147357049519854,-0.07882095684625322,-0.12807813904109688,-0.1313334249363993,-0.1414760458793374,-0.13515762257399844,-0.029047327368144985
explicit_references,-0.01028231579805901,0.10237180379703394,-0.08628266251752095,-0.03397157825211724,-0.005083922405137864,-0.09451057489440069,-0.04538948272707802,1.0,0.017554801249066714,-0.019212906550860838,0.1402560923675951,-0.05398538724106761,-0.08117891438061556,-0.009792945462421473,-0.008425793084858083,0.06377183086322546,-0.09858869174515061,-0.09394395235842858,0.01107023289953802,-0.029125153468433727,-0.034087868898409465,-0.027275101221712394,-0.013051945297813748,-0.019794734467389948,-0.01305194529781376,0.02120531150885384,-0.018463048370085403,-0.013051945297813745,-0.013051945297813717,-0.013051945297813717,-0.013051945297813738,0.006488355604942225,0.006488355604942228,0.006488355604942228,0.006488355604942228,0.006488355604942228,-0.013051945297813713,-0.013051945297813713,-0.013051945297813686,-0.013051945297813724,0.01652661492455751,-0.07939791678608993,-0.09576972728529624,0.13704484509138043,-0.040647356185384044,0.09553107462446765,-0.0362740361868573,-0.12988314405250095,-0.1709335266062685,-0.05870923604359999,-0.020285095560307817,0.011798042349153992,-0.02931831206137178,-0.042388336530409146,0.11229685293978192,0.10881868622832828,-0.08369626007535538,0.015299298383719273,0.018193126351197724,-0.09086153371078894,-0.032861121483810776,-0.09328631156739318,-0.09888877285161589,-0.023113066454175418,-0.02411596121395151,-0.10335919606413473,-0.1038386856123758,-0.0933093086651946,-0.029880712869164792,0.03346589143011041,0.0400888471438676,-0.1005792930968119,-0.07814463740189892,0.017652923345209095,-0.04041448039123354,-0.0929272806385419,-0.11357388144960129,-0.06320854419429972,0.16513394170663784,-0.1578223694358652,-0.08670686565425569,0.11045476361981427,0.08342472412724257,0.09525519484145932,-0.13621819144041766,-0.07624030793424229,0.09725590168578008,0.0022043621823840333,0.12066622270277302,-0.014390832649836354,0.06301392735918947,-0.030345743683491803,-0.01066374779597151,-0.011236489721595215,-0.004549004333668643,-0.03171968924607769,-0.11638676199436926,-0.07066093239257759,-0.03012962741933313,0.12235801955919569,-0.1484296805038854,-0.09195476080066227,-0.036486134424117196,0.04607036371079743,-0.03040534886248548,-0.14085177890873682,-0.19001894759080162
evidentials,-0.012128472489411336,-0.032780000087442564,-0.031715216619558166,-0.012296885897771824,-0.021273593498946964,0.0048340486643767815,0.03639966061879006,0.017554801249066714,1.0,-0.03024530166238586,0.05996427696696384,-0.049947867586570896,-0.07213198901965455,-0.01995864271651978,-0.019271938449322457,-0.036018541637813505,-0.05004589364865088,-0.028558672727600765,-0.023935640515278613,-0.031164270598571058,-0.0022185711916246453,0.01577427602072852,-0.01112686594260835,-0.008618466298076137,-0.0111268659426084,-0.02153889948220169,0.024358118742779503,-0.01112686594260833,-0.011126865942608338,-0.011126865942608338,-0.011126865942608333,0.04049803272766044,0.04049803272766042,0.04049803272766042,0.04049803272766042,0.04049803272766042,-0.011126865942608331,-0.011126865942608331,-0.01112686594260831,-0.011126865942608352,0.06099958604627512,0.010345374961671351,0.02832396050746403,0.0214968688548185,0.01862664581725513,0.04470872029056685,0.05405747953358443,0.06842245697109066,0.01862672203875253,0.024558775292738,0.07023523777639462,0.020558215936232044,-0.01765668962783609,-0.04324696105017339,0.11824233854227283,0.13593876890766451,-0.04075003762009799,0.0005178151134404351,-0.008303711282356007,-0.0037898507426165568,0.12070358919392883,-0.06655908890848865,-0.011686161245472672,0.10518518487054872,0.08248386443032081,0.01672081868776551,-0.03208539088843779,-0.04913409048545022,-0.04127422118653053,0.058352902746585694,0.02733391594524445,0.020997087488978747,0.003052314069563174,0.040246447154250985,-0.021708011743656,-0.08962902730673983,-0.09480814662946431,0.030861756543132952,0.06837608903423774,-0.03485299193485392,-0.043584681438900916,0.014183010638676712,0.13884280846511982,-0.04907924323894417,0.03883701085828304,-0.04130594704188694,0.055179272474372314,0.02228569274483968,-0.025033728615956603,-0.02051632172075786,0.013815766833073806,0.04577416857680243,-0.032059726369848676,-0.03003876885912212,0.05428042455091759,-0.06188157391878353,0.051058956799138404,0.00535264782662284,0.0448910816401729,-0.0006159230446906922,-0.0359562018118754,-0.08102224011966361,0.09316205033689136,0.04588382297225365,-0.035240595208186676,-0.04837778359324495,0.021347795607289517
frame_markers,5.6751039218914355e-06,-0.05239008464619993,-0.06604698947404386,0.009221099155241063,-0.0164163602783625,-0.041168965882952366,0.03860470598547864,-0.019212906550860838,-0.03024530166238586,1.0,-0.04409301456433797,-0.03944754693949953,0.020762095857683103,-0.0007549863771334284,0.033821197417433474,-0.00992923890590794,-0.03275139094059174,0.06513973926645975,0.055085887964566226,-0.03278976269337327,-0.010372048380053244,-0.028540496473031283,0.03130738919796921,-0.020358109148337567,-0.010885956680023984,-0.021072557888989353,0.08155239117548638,0.045637204779174406,-0.010885956680023982,-0.010885956680023982,-0.010885956680024005,-0.010885956680024,-0.010885956680023994,-0.010885956680023994,-0.010885956680023994,-0.010885956680023994,-0.010885956680023973,-0.010885956680023973,-0.010885956680023982,-0.010885956680023985,-0.05730419121902291,0.036558436457112174,0.05544187107709776,0.021161806486153123,-0.07515407873358877,-0.036642280881276156,0.03784549204019653,0.03262878437613056,-0.0029175543913355284,-0.06006170514025117,0.0050389978720926576,-0.012384208589384892,0.07642870076529525,0.04020296470921878,-0.010332748632402392,-0.019401113991169196,0.09476021793279592,0.01080826247762934,-0.016385936541565786,0.08822428558683147,0.06080656882485077,0.09716275897804211,0.08140248872593855,-0.01680983154036579,-0.023054557507613583,0.09905127161184239,0.03346439366378559,-0.03458330062917788,0.022979638396606786,-0.005569121602116721,0.021898432146389507,0.030889590681766485,0.044861457625333244,0.03641024168552058,0.005594353629883505,-0.07586739118815902,-0.04224800422948971,0.078652368169051,-0.04577270334149001,0.09678599364418043,-0.030162314888347128,-0.11992834261177177,-0.012856920457215128,0.04667565513002989,-0.026414158459991215,0.017664319078995867,-0.053855652446709854,0.02654491210332644,-0.005987580372504159,-0.01646003850190357,0.007518378749079968,-0.03341840424220255,-0.040031752495420514,-0.03858673827257889,-0.016874903661457927,-0.032340569227350714,0.03248033507977766,-0.009350817966663547,0.08366794276519283,0.0005516463332724907,0.03912630253344257,-0.03851200658092171,-0.02505344455790535,-0.04387184110270078,0.035130895865037315,0.02252301337759124,-0.01802330773300773
