,translated_text
0,I must make it clear here that I have never supported that opinion.
1,The huge waves smashed the wrecked ship to pieces.
2,['I think we should celebrate the bride.']
3,The machine cannot operate because there is no electricity.
4,Robbing a bank and then shooting the teller with a water gun is illegal. -- Louisiana.
5,"After the teacher walked into the classroom, the students quieted down."
6,"He used to be very lazy, but he will turn over a new leaf and work hard."
7,They want to persist stubbornly. They want to rely on the future.
8,I really want to find a new direction for children's media.
9,Today India is the seventh largest country by geographical area and the second most populous in the world.
10,Do you have those airmail stamps that come in small packs of 25?
11,"When the teacher asked a difficult question, the whole class fell silent."
12,But I still haven't been able to properly simulate whether this is feasible.
13,"Compared with before, the imagination of a nation's citizens now matters more. Because as individuals, they are acting farther, faster, and more deeply on their own imaginings, and at lower cost."
14,Then he will run his hands over the pages.
15,"We made a mark near Tokyo; a month later,"
16,A tissue is a group of similar cells that have the same general function.
17,That is to allow people to envision the future more vividly and realistically.
18,"Despite my care, these withered flowers still cannot withstand the sunlight to this day."
19,We should ensure that the national economy continues to grow.
20,Ken Sasrick and Neil Lako from the University of Illinois.
21,"The signal from the muscle says it doesn't have arms, right?"
22,"If I were to have this wine at a dinner,"
23,['My goal is to closely connect these two worlds.']
24,The key is to find a healthcare professional you trust who can care for and understand the patient.
25,I think she is smarter than all of us.
26,The shop assistants should take turns taking breaks.
27,What is driving the growth in China's aniline and nitrobenzene production?
28,The impeller improves the pumping performance of the turbomolecular pump.
29,"Through her uncle's introduction, he arranged for her to take this job."
30,These cameras are placed on the rocks at the edge of the glacier.
31,"When I woke up from my nap, it was there very conspicuously—tilted and almost motionless."
32,We plan to lie in the sun and sunbathe for two weeks.
33,The hardest thing to predict is the eventual outcome.
34,Because you only need to press the keys at the right time.
35,A crowd of more than ten thousand people surged down the steps.
36,"Wait, wait......"
37,She does not believe the diagnosis matches the symptoms.
38,Provide project managers and the headquarters finance department with a monthly report comparing project expenditures to the budget.
39,There were no such projects at that time.
40,This is a holy place; we must not trample it.
41,"He is a hypocrite, pretending to know nothing about that matter."
42,"By making this comparison, you can see some of their main characteristics."
43,The city held a bicycle parade to mark the start of the air purification campaign.
44,But it is a very important and practical observation about the world.
45,There are reports that some modern monks are using computers.
46,This is the tower in the rainforest. This is the view from above.
47,"You can then analyze animals—for example, examine their DNA."
48,"Alright, what I just talked about was only the beginning."
49,"In the final semester, students will devote themselves wholeheartedly to researching their individual projects."
50,"A woman approached me after the screening and said to me, 'You know"
51,I once turned it into a new way to measure the balance of income and expenses.
52,"I said, ""I'm going to castrate some sheep,"
53,"For me, this was the most difficult of all the challenges."
54,"If we pool our ideas, we might be able to devise a truly perfect plan."
55,"He should give us some advice, but everything he comes up with is unrealistic."
56,"I want to tell a short story, in 1999—"
57,Relations between the two countries have reached the point of crisis.
58,"Every day, that machine would be filled with coins and peanuts."
59,This will give them a false sense of security.
60,['They gave me a week to decide.']
61,"We cannot accept any payments for top positions, and there is no fee-waiver policy for non-winners."
62,"['Transform this mode of activity into a new mode of activity,']"
63,"Methods: This study retrospectively analyzed the 24-hour Holter ECG data of 1,124 elderly patients."
64,My point is that it should be more complete.
65,They sent someone to deliver the shoes.
66,"and a sense of responsibility to strive for the common good of humanity,"
67,Be filled with awe when you discover something new.
68,"If you are an entrepreneur, wealth managers seem to treat you differently."
69,"In the early 1970s, there weren't many."
70,"I also know friends who, like me, make low-budget independent films."
71,"As an alternative, some of these children will enroll in what are called non-formal or informal schools."
72,How many new malware cases are there?
73,Open-angle glaucoma: often shows no signs until the later stages.
74,We will feel the need for some kind of strength.
75,"These traps will increase, causing people to gain insight."
76,A detection method for antigens in human rabies vaccine was established and optimized using rocket immunoelectrophoresis (RIE).
