,avg_labeled_utterance,transitions,causal_markers,place_time_svo,explicit_references,evidentials,hedges,code_glosses,situation_dependent_references,engagement_markers,negative_connotations,boosters,self_mentions,deontic_modal_words,attitude_markers,idioms,endophoric_markers,chronological_markers,frame_markers,adverbs_of_degree,positive_connotations,slang_and_colloquialisms,emotional_self_disclosures,figurative_language,pleonasms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.1178637651766416,0.05143994435058863,0.013919298602946922,-0.0546116494312374,0.013791982138810052,0.0904919450642647,0.04313208522411227,0.07174211326198134,0.01944921631919866,-0.031218027272790726,0.10326538237374436,0.08700091324009501,-0.003710660409624997,0.0370947845684306,0.019694291903311588,0.08411289702703305,-0.01893051471128188,0.05059369572929904,0.04104411071275148,0.021309713342344796,0.0077603302139972255,0.036003851880661776,0.05117445775292025,-0.02658755889701935,-0.37067407579529343,-0.031120224982702737,0.19133894323539835,-0.34926710206844863,-0.2706456169030567,-0.450513328876726,0.49257488492597934,0.057683531790488095,-0.03899292825008912,0.027408196940330563,0.11761880151558216,0.10386746530625779,-0.01098255938531417,-0.009348440837557178,0.05201573164986641,-0.044730156231103615,-0.038863627398489,0.054409301928766154,-0.005817731578087099,-0.058672880367304586,-0.004161129426614125,-0.07067611288269304,-0.05942123733745167,0.06457948535530039,-0.028064310509006683,-0.11075803224749775,0.5096231010571131,0.2515437554344214,-0.029114710777666624,0.0028219347915973535,-0.13251879561571156,0.22027106802625027,0.19096046589457566,0.10513267096330577,0.05081184760784524,0.12814840338502512,0.18139215743244957,0.4466033749134736,-0.38630121249227517,0.29680004855760883,0.25677396142133513,-0.31280962019429787,-0.18843759399854332,-0.16140905594684354,0.07464174869116137,0.21425000638108568,-0.20512962779525887,-0.1446647773047125,-0.43186027648834485,-0.08435884546608048,0.17221631954992678,-0.3363986582463496,0.023084539009517242,0.023982925483604003,-0.334140763591389,0.028232064814921715,0.48741284665445317,0.08930515546496577,-0.06012359763247219,-0.46413894281914164,0.1399918567991039,0.12473067776653957,0.09529526319794063,-0.013800301280556653,-0.017244232824717612,0.011939553976443322,0.0016134365806278325
transitions,0.1178637651766416,1.0,-0.046640562330229465,-0.06910132217115829,-0.1205987994486702,0.008277558210538586,0.04047357522732322,0.013262181575915192,-0.003991956980771524,-0.026627596891742645,-0.010644737346458523,0.004050815105447513,0.0958275051235525,-0.06104447983949748,-0.008534293193757203,0.013516169593171536,0.0445440498511515,-0.049622291797909134,-0.03403265419477804,0.016592841582494265,0.016016194615050414,-0.03231324981896057,-0.016077640904981698,-0.033539303241268324,-0.018401313794816427,-0.11107711847057959,0.030466973997503633,0.12125346739909781,0.04547776206753637,-0.07561778869812191,-0.04739925549886197,0.08165655172036648,0.04124461521506378,0.059694628616231496,0.006353907733925789,0.026740938258213536,0.007480196557055138,0.10856615414927269,0.09296257921380177,-0.001791770726254221,-0.027558532476582864,0.06100959829413688,0.0708741930562778,-0.05261575753330627,0.07125748314767683,0.01696960567494926,0.026871244648979976,0.03761973088190689,-0.006510405139660998,-0.02389538728280331,-0.03618872691590188,0.18168836915611664,0.06851311849918705,-0.010786279194451291,-0.00631374325082054,0.06414447178376857,0.12852733154125728,0.07710711463859,0.12754640067834314,0.07710840274066338,0.04081753635763206,0.08894483767703977,0.07668403333476376,-0.12654769201440977,0.05744791123013538,0.08183189965148953,-0.08585105536385047,-0.08331953038227712,-0.0034118237933031203,0.007120833231325271,0.09429153254345973,-0.12097422023541131,0.036687894090736625,-0.08357127011708948,-0.04865367101780319,-0.01724346891690136,-0.10485397612844116,-0.0010122552414442774,0.002938995684430979,-0.10349591997653247,-0.011489162526481814,0.12262588252388791,0.009772133042327697,0.0633286186624872,0.0008999850474080274,0.09249333144899333,0.05426111210896418,0.022463762653346375,-0.07532425195116679,-0.0008306339158024608,0.1782074995757245,-0.004930103319770706
causal_markers,0.05143994435058863,-0.046640562330229465,1.0,-0.03400600264444788,-0.04883229937043098,-0.04948106642567276,0.01397781142130014,-0.022508544099967064,-0.019557889672279963,-0.013065146817394527,0.02861738121887629,0.02428505283401957,0.0775942857080494,0.052677819565422855,-0.020840771492359564,0.05089747565043173,-0.020708838136895086,-0.0497206636985494,-0.05541711377226144,0.01401615689530282,0.008427055591118539,0.12328911946523642,-0.01000991298691018,-0.030991401224213497,-0.013848273361619666,-0.03938533393287781,0.012239075274823825,0.08749777176926646,-0.06938638869080004,-0.057933062267420454,-0.08483627397383398,0.08285591183427775,0.013110599410780733,0.15153726161049166,0.041203727433077056,-0.022064959734726965,0.017523082830355998,0.0029452294813804704,0.014428011398200805,-0.03773272979286673,-0.051517796676109666,0.03144820158925157,0.066317489733234,0.06795178762664272,-0.002358539703012969,-0.000399240485653211,0.010079000597942617,0.004914855409268272,0.07081024030592435,0.005859459490889138,0.031149548214523384,0.045098282740314306,-0.017229827486328154,-0.03498376890560357,-0.016906479698400752,-0.04219764182558561,0.0535888058919499,0.03895665628278574,-0.008299654034265344,0.01594726072504736,-0.05993607845145001,-0.020071388973027366,0.0699363234578297,-0.037904851544141596,0.05930856183661604,-0.011413706283609036,-0.0849462258244801,-0.03855146473663255,-0.06098978955064911,0.03607968920464666,0.027323142600480417,-0.06974378488827568,-0.028275325009697882,-0.07290718590384004,-0.02054609287298567,-0.0271219313033008,-0.01571315745018802,0.055870158013923796,0.0536318440049578,-0.01705234143241096,0.05662715182007096,0.06990702506279153,-0.016297094038657894,0.024486067125315345,-0.07614486981655297,-0.010123688444966037,0.004875302101459687,0.02785227487869475,-0.0034315140407242825,0.013387024110792978,0.0659521485324467,0.2509967334002278
place_time_svo,0.013919298602946922,-0.06910132217115829,-0.03400600264444788,1.0,0.06555899971326103,-0.03404682177602307,-0.03172970958381854,-0.02300623514726936,0.0003806060874606147,-0.09206061585674215,-0.01617355179836345,-0.00019623405833895613,-0.06033730770067737,-0.048521589155916846,-0.04470420590332342,0.018159502034206212,0.021525900709410812,0.01235164046498449,-0.01205029114339781,-0.04982487922249635,-0.017342890475634122,-0.012169157603243596,-0.009200381033127949,-0.016691574570735574,-0.006836382515054232,0.09747745152945904,-0.06003835917075128,-0.10355907707968555,0.03899438716613174,0.0714391671653474,0.07003987161776794,-0.03989817476949451,-0.140205312430134,-0.12735078653178133,0.0063271276398337425,-0.05339389317111223,0.0052971820738386055,-0.1231546481386953,-0.1002310308511261,-0.027133587785744515,-0.030943398534826982,-0.07029135102341351,-0.03992880119335028,-0.029567253661622512,-0.04145294937720706,-0.03714138129642726,-0.043801680757747916,-0.06609532752225954,-0.021359559072957165,-0.051892757483639064,-0.011826680731132407,-0.10063281060108596,-0.04696848097400427,-0.03198370706814529,0.017105926317466467,-0.015002143641398197,-0.08439246513090355,-0.0912717223246857,-0.06721574136093708,-0.013655961263119538,-0.01731630698603105,-0.08436772829986573,-0.08173978275247515,0.13757836718710362,-0.10772391680423253,-0.03493573660132807,0.12474282086346218,0.020373420665994974,0.057118041345184715,-0.061897605249576985,-0.08737773371385207,0.07493781326634451,-0.0210884380535856,0.09717466642504997,0.03995096332385648,0.07640128168834,0.031008257721065725,0.0536403433638962,0.0519729052974754,0.03294172174395529,0.03524195469555508,-0.10138230334377896,-0.06325538429028017,-0.09431935960092656,0.05286046520198612,-0.09623955930570727,-0.03810952835397499,0.21119598924133726,0.32467420939316527,0.2103050209751715,0.03482103155754076,-0.12429199569090117
explicit_references,-0.0546116494312374,-0.1205987994486702,-0.04883229937043098,0.06555899971326103,1.0,0.06525018420536778,-0.09864823330402463,-0.05499593954171177,0.08764823632530638,-0.09231390372645035,-0.028828844088273284,-0.01216321119341595,-0.08851854245448514,-0.018253177702251613,-0.037886620740251224,-0.007241668559677231,-0.0006490137778860136,-0.033013336706814,-0.023541974870332376,-0.05621978024370367,0.007544033785386806,-0.008049636039106904,0.004951134153436646,0.0475161933141474,-0.022646172113651372,0.04911293610189002,-0.10167673874079537,-0.10794331040752445,0.14005428338622258,0.0064206993999787396,0.1362237158765643,-0.017142186357672232,-0.13868784578882098,-0.23044785182469749,-0.03425215879950861,-0.048819730633197646,0.002798475910577542,-0.056991231987471004,-0.09763953038805155,0.14925467604222875,0.168565436511882,-0.09490446327977127,0.01393590195271043,-0.006051355799703739,-0.10416109119517557,0.017665939996496967,-0.09314628549829262,-0.15770215081836067,0.008074796596806969,0.013649636767564657,-0.0689049190861096,-0.08588109760311052,-0.11148475493246443,-0.008740089053311289,0.10517938995751902,0.03716076102229849,-0.045770088763547136,-0.06752636057516342,-0.02292303082435624,-0.03155217869258376,-0.044728197282014874,-0.1010468613893254,-0.107172925162646,0.1549884117694209,-0.20777433019771285,-0.11383127671709334,0.1668461449399886,0.11472870388762153,0.1411741722088271,-0.09723479481076155,-0.09108306180686038,0.08620991029629453,0.04536782825588152,0.13972291846643187,0.03118873893156545,0.17588894206915712,-0.00043506732609100595,0.00549287428826071,0.005034156370705144,0.0008171771410831474,-0.0018416333287573658,-0.14408036812697594,-0.022476353519613735,-0.017149626092087665,0.1548480127560347,-0.10604765927095522,-0.0982493974652282,0.007748492394032169,0.05987823081336653,-0.024714295341879057,-0.1304202816647346,-0.1702604830856739
evidentials,0.013791982138810052,0.008277558210538586,-0.04948106642567276,-0.03404682177602307,0.06525018420536778,1.0,-0.020830808368679968,-0.04403527417308117,-0.00805966175062322,-0.04799395045324897,-0.018572167534727985,0.0337303056211451,-0.04777931705666741,0.022928848461075207,-0.009969859129364865,-0.03305459510272921,0.01141243898191305,-0.016836360663582704,-0.022434506275092882,0.006500688831612397,-0.016628720526828133,-0.021188071146927254,-0.008821514796230698,-0.027312036059936956,-0.0030461866226863333,0.05739496042608999,-0.0057920592356271354,-0.007702337643808537,0.053764147698755184,0.029384419477249703,0.06914623512202146,0.020199318112739256,3.956205645204628e-05,-0.04981819892794162,0.0034068520196318527,-0.022253861350138654,0.022917061157519656,-0.057108893311611994,-0.0700010943081881,0.10062543567302656,0.09376157997308303,-0.014582624750814562,-0.04318954647471603,-0.03643112959926359,-0.005524346938023636,0.02279053372624569,-0.033491903429949614,-0.03028128521783576,0.053071873553386446,-0.006150163453587179,-0.025883137667125983,-0.04055613766906171,-0.08989520231611539,-0.01031144990411944,-0.037155911573912966,-0.028528986739655388,0.02157040236101621,0.012162912225703006,0.0042078360496151865,-0.03529126405856016,-0.09744179500555222,-0.09986911964476634,0.00996940662305994,0.059197273706465006,-0.04355907342960686,-0.07413790210346215,0.012729063263466402,0.08093756082540723,-0.04143151748464287,0.03323220789267537,-0.04543389374677999,0.050617575360438774,-0.013574610214857057,0.006097934624181361,0.01462417467334031,0.041689082517650085,0.0374045415487633,-0.050985831930588164,-0.05137427255996926,0.0467247190213325,-0.06770850075898306,0.024171637785541326,-0.06540571301574662,-0.00583114898942599,0.007749183661014574,-0.07717730148719588,-0.10368172182426284,0.048987666001332815,0.03602213261324513,-0.022271624475476398,-0.05869688989052202,-0.05031125824067834
hedges,0.0904919450642647,0.04047357522732322,0.01397781142130014,-0.03172970958381854,-0.09864823330402463,-0.020830808368679968,1.0,-0.033267501968315384,-0.015342148163492287,0.02584319000933603,-0.027919960446964223,0.008756738055455496,0.15288371197474818,0.03867644834745399,0.008112811502156307,-0.03331999278839337,-0.025030660402886398,-0.06713169819343318,-0.042089945738058056,-0.0038186639478120328,-0.0012497953371600325,-0.020750355438638606,0.031061894615932374,-0.033325085982013315,0.00018944591203758055,-0.07926277753156703,0.0271101730399564,0.12956240739003566,-0.01927074279148749,-0.0523609817233261,-0.0857088109710302,0.08666130163008971,0.031863708901516005,0.060885314406740845,0.040783102780198636,-0.012212814546673103,-0.03982292756952484,0.00594508523935396,0.05378896431345972,0.006675432452897738,-0.026219380070757446,0.06687706777169906,-0.022527024240200543,-0.030785313409705542,0.047869381654709206,-0.02898226368855946,0.011230448466371851,0.045458004589985224,-0.01291658998205719,0.041701234848284405,-0.035222340224475665,0.11229869810740035,-0.0014936867484829721,0.007005153579313837,-0.009047395578734393,0.029143571339018823,0.09621497432213764,0.05291554723663423,0.04246744245627227,0.07704231156725011,0.007402547505941294,0.04771457480671857,0.11832772188722682,-0.14720258313618786,0.01653854115854703,-0.0012190010056434988,-0.05013887622515829,-0.0964205552009845,-0.014932566824983371,0.024196228987892865,0.05130504105980962,-0.15009978881877503,0.014250234207499032,-0.13424510825422345,-0.04133062676602778,-0.08161759479862418,-0.10270764234897539,0.021770026298633945,0.0193770984722058,-0.09085840520464172,0.010795705425909973,0.1700297598896655,0.0683549711299025,-0.0024246052709719374,-0.04618260431556122,0.07403225832412955,0.033905246970855556,-0.008133867005081688,-0.07040830120715662,-0.03876165187153496,0.017874773433381064,-0.0032236157722621917
code_glosses,0.04313208522411227,0.013262181575915192,-0.022508544099967064,-0.02300623514726936,-0.05499593954171177,-0.04403527417308117,-0.033267501968315384,1.0,-0.05819164009886904,-0.025761856766879903,0.016138208237776605,0.10504359660033072,-0.0027800152191676812,-0.045496143687625876,0.004082696750075886,0.0719478271725821,-0.025661943094727684,-0.02017230649554565,-0.03631227883727803,-0.007611478657871193,-0.011899117770570495,-0.015161680870260253,-0.006312466633005693,-0.019543844826000502,-0.008733019321374673,0.019260187070311796,-0.020402268023801393,-0.020841071720242244,-0.0015053399884074887,0.017592542239062654,0.013105750989340057,-0.02294439196753334,0.010282459162066335,0.027747109435158086,0.0016186730237136137,0.0006949899943933398,-0.03929795788592436,-0.06264382206255899,-0.06251464455314665,-0.02892851013141061,-0.05873905731440276,-0.008404508369218739,-0.06735667807752674,-0.05815337206205517,-0.027112332090200992,-0.02237540159373128,-0.04903336968087004,-0.02628630932747516,-0.017423848284449314,-0.009450410637407786,0.01812546214981363,-0.013814753137532743,0.0017623376945018448,-0.03705545080134005,-0.034744549416071774,-0.018493158791396302,0.012567598412977811,0.01659038163499594,-0.03019227894681153,-0.02004009478509507,-0.04085842156629174,-0.02426081258357582,-0.026400456827056096,0.01970538596629677,-0.008065405979826,0.01537087501404385,0.01259765491199999,-0.037173453769301014,0.035382053073976474,-0.021712814121643418,-0.04703769973315461,0.023985680503668443,-0.036257950892814715,0.03349887305190177,0.026868453390166486,0.0059898195490439825,0.019987098381658432,-0.07500644674780711,-0.0683924439601751,0.028333846507752936,-0.06597683566451072,0.007934088335972029,-0.05641323941935051,-0.059479952340678585,0.019948011883143452,-0.02300413574565636,-0.06712649691663153,0.028171548170916456,0.0026346050611528427,-0.04282486979627446,0.0028503135996151155,-0.048623074141099204
situation_dependent_references,0.07174211326198134,-0.003991956980771524,-0.019557889672279963,0.0003806060874606147,0.08764823632530638,-0.00805966175062322,-0.015342148163492287,-0.05819164009886904,1.0,-0.009178947712026233,0.03591705164840041,0.002503992504516228,0.05877347398275879,-0.05203474919091876,-0.031789930987199365,0.03564188276099355,0.0033465971793177167,-0.0367857652463661,-0.008395294020026724,-0.002443293385014033,-0.017394489259424346,-0.022163802404312014,-0.009227754121390456,-0.028569781850089425,-0.01276619105020539,-0.07485203344908795,-0.07290599680652687,0.026718241426988965,0.024575372661358855,-0.024697912976810076,-0.014758495035553662,0.03411841537714292,-0.10449129945542912,-0.1441020785020917,0.010026182770038503,-0.008652305533131448,0.019317672831859888,-0.019971943553889707,0.017007502717510958,0.030356649617971652,0.034353429649278656,-0.0275680633973769,0.010291426129451423,-0.028820304012678384,-0.014494883064867604,-0.03576825911763051,-0.029102051238806523,-0.014317645272209854,-0.06239568544596327,-0.06387896661639852,-0.05698279776886785,0.00993684146464361,0.020915278750489492,0.001255957797958027,0.031031002694237586,0.01956867572496958,-0.05746834085714872,-0.045527205186401236,-0.017530101491554526,0.04220535650341612,0.07441812338992616,0.06206476752037242,0.027531148991015747,-0.0489126254914367,-0.043770339446112305,0.03625576656720769,0.0072984903354879685,-0.029814490547425073,0.05157272563910249,-0.0676466146759269,0.07767274451166004,-0.08922802284448071,-0.034884212009175394,-0.02845034306822053,-0.03760438459977754,-0.011315152872336212,-0.0880655477562221,0.04942997066423021,0.049024416998167855,-0.08567857940403077,0.037208187225119815,0.0058059080982922435,0.07065074240683474,-0.019487544984453695,0.005294943945569637,0.00756380147417818,0.05473152769412356,0.0022662406940825957,-0.019380840165100718,-0.027394285156361865,-0.08134180767032827,-0.07646156709014595
engagement_markers,0.01944921631919866,-0.026627596891742645,-0.013065146817394527,-0.09206061585674215,-0.09231390372645035,-0.04799395045324897,0.02584319000933603,-0.025761856766879903,-0.009178947712026233,1.0,-0.012260592698322874,0.14330748087662135,0.16315235583565746,0.11825539726632289,0.021844375494323214,-0.01796573376617634,-0.030085004725503857,-0.014361224152477784,0.04549044483428458,-0.03312148296752022,-0.016128262670902897,0.01104210494061529,-0.010562214505110567,0.031585880700509494,-0.014612358165561331,-0.18255762461029632,0.25315137688705625,0.1603956919409446,0.11657827217883315,-0.2039708848720822,0.03231255411301251,-0.06090569486587612,0.2010140361671315,0.04798537971836098,-0.0201994784731252,0.07710852171397888,-0.010485631733922637,0.2999758251390814,0.3135762466619205,0.010128207853393316,0.08456103711852674,0.35155861109604253,0.03516532079062202,-0.021835408993487553,0.31647094454995167,-0.06935907307609167,0.2671113712853795,0.3570229034009484,-0.06042416849886328,-0.014371934947473247,0.07930689825811098,0.021084267095359235,-0.014894952871765418,0.02441295647229951,0.0170737341552802,0.09999097403125949,0.09025723757053249,0.12940805212850226,0.19134674398222715,0.07884440952361559,-0.05603432966331197,0.048116949658772196,0.039877282536318163,-0.1429685227161189,0.04557336210974489,0.005720733319620917,-0.11190867892891898,-0.27755246689591023,0.10296490223648065,-0.05470550929979161,0.1425564234109764,-0.32519436597507645,0.02528537053866287,0.0558259673505842,0.0328240696077163,-0.11667813971911171,-0.20647265681789045,-0.09472580113663155,-0.09267125785512947,-0.18999980323552004,-0.07317615244894088,-0.0018610886503998784,-0.06427081898040228,0.1500876049096244,0.07974983644124867,0.20320152491473692,-0.04405440430472028,-0.10429250830650796,-0.10723889586377829,-0.0832887512971014,-0.030060599126300512,0.04673093286344342
negative_connotations,-0.031218027272790726,-0.010644737346458523,0.02861738121887629,-0.01617355179836345,-0.028828844088273284,-0.018572167534727985,-0.027919960446964223,0.016138208237776605,0.03591705164840041,-0.012260592698322874,1.0,0.02254097382893314,-0.025601367854099808,-0.012813627944933704,-0.01332206583518407,0.05287528567263706,-0.008567307986332916,-0.02311197811130787,-0.01920969067877762,0.03648787177919072,-0.0039725521302036255,0.11700067001519691,-0.0021074337823436635,0.02333381042029405,-0.00291554173823199,-0.06572368939038538,-0.02205376173290828,-0.0004785154070097776,-0.004827696932169204,-0.0320376805945582,0.027556994990419643,0.014181570803076202,-0.013306772966233175,-0.03975520793815164,-0.0186139117781515,0.11081120839855474,-0.02322256132357965,-0.03606446370981406,-0.025864950827587774,-0.00619682919317048,-0.025726896626645672,-0.034407042229329936,-0.024239064196580933,-0.010646724791064438,-0.0215174007551212,-0.027914027313319136,-0.023904838103543904,-0.002193787021342005,-0.012889155682123609,-0.03378082041237143,-0.04329024577553393,-0.03796256599270589,0.02388949096554915,0.11062819939387178,-0.09443259209912794,-0.15624072778511638,-0.03564652507304137,0.011194227830748664,-0.042085521047281124,-0.020325872252040397,0.09662712531553543,0.09839930651025003,-0.038726151353754894,-0.032116483197066996,0.06795808730762748,0.02844715238235102,-0.04846296828528497,-0.03797729321888238,0.053279017303533086,-0.036910573514496295,0.1374214539077155,-0.004121075018821936,-0.13895335630100064,0.020618775479226723,0.1375547520568367,-0.02940884583454437,-0.04001903706788915,-0.016403084271547276,-0.016159997643180254,-0.04390379111471253,-0.01227672225186388,-0.05339440361854317,0.0074751727107463094,-0.04415802481714359,0.0004618524264088294,-0.015084500055510916,-0.02305798792049623,-0.04206185188265696,-0.026106211702069698,-0.030608069895108832,-0.043031556488808693,-0.01721723302339625
boosters,0.10326538237374436,0.004050815105447513,0.02428505283401957,-0.00019623405833895613,-0.01216321119341595,0.0337303056211451,0.008756738055455496,0.10504359660033072,0.002503992504516228,0.14330748087662135,0.02254097382893314,1.0,0.0661643174658793,0.00017399657259946577,0.017571631034647952,0.06347948831818595,-0.03669395334577533,-0.030503753377736892,-0.018607911493852738,0.0027385782822526455,0.056326062544781084,0.028514246425554685,-0.009876478248132767,-0.014598112258341556,-0.01366367228257512,-0.16254851469620377,0.048461004596126976,0.17986672426892852,0.027683642129389178,-0.15950067715846158,-0.021756784954897967,0.022441382780373467,0.15117589640350163,0.016861055097029194,0.04883638626420295,0.08363942932091159,-0.006789267090578497,0.10560347856759598,0.10880451979194788,0.0021964641640414575,-0.04054205078488031,0.07297568892894025,0.034819736323025034,-0.04358125881430787,0.10018545330430634,-0.039303646501397525,0.10618258036245565,0.10076011971415468,-0.008746733931396414,-0.0005144982686166215,-0.05756886340984504,0.10311141685296117,0.034372284791727416,-0.041532391296435434,-0.050947348620320194,-0.06138743084466979,0.05332778055947039,0.11223487835029647,0.036831955468164125,0.09838279314192276,0.018035049235385205,0.11989564233016836,0.033506497081637394,-0.10873758810682457,0.07095301433928404,0.0468709193309511,-0.11122392543277317,-0.19846078352068341,0.012051597872742738,-0.03881942246037194,0.1958734240925511,-0.2191580175145557,-0.10486382736948377,0.0021531060449806734,0.07634151394242114,0.03426423483627451,-0.16752834107303174,-0.017745824733843767,-0.018397967806254308,-0.15335803488859606,-0.005179336053641077,0.01427627943290313,0.015164435729553217,0.033029067069539134,0.019159463725413883,0.16068737403430985,0.005148410914338487,-0.01096742061853464,-0.03116012839219438,-0.033265377476771815,-0.014748820519120376,0.037776500684486375
