,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u102511,4,1,2,7,1,6,2,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,['present'],1,1,2,6,1,1,7,2,7,1,2,2,2,7,6,2,1,1,1,2,1,1,1,1,7,2,1,1,1,1,1,1
1,u261588,2,1,4,7,2,6,3,1,1,1,2,1,1,1,3,2,3,1,1,3,1,1,2,1,1,7,2,1,1,1,1,1,2,1,1,['past'],4,6,1,5,1,1,6,1,6,1,6,2,1,6,7,1,1,2,2,1,1,1,1,1,7,3,1,1,1,2,1,2
2,u151423,2,1,3,6,1,5,5,3,1,1,2,1,1,1,4,2,1,1,2,1,1,1,5,4,3,6,2,1,1,1,1,1,3,1,1,"['present', 'future']",2,3,2,6,2,1,6,1,6,1,4,2,1,7,7,3,1,1,1,1,1,1,1,1,6,3,1,1,1,1,1,2
3,u77334,2,1,3,7,1,6,6,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,4,1,1,['present'],1,4,5,2,2,1,3,2,7,1,5,1,2,7,6,1,1,1,1,1,1,1,1,1,7,2,1,1,1,1,1,1
4,u21322,4,1,2,7,1,3,5,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,2,1,5,2,1,1,7,4,1,1,1,1,['future'],1,1,4,6,2,1,5,3,7,1,1,5,4,6,3,2,2,1,1,2,1,1,1,2,6,3,2,4,4,4,4,1
5,u232703,1,1,4,7,1,7,2,2,1,1,5,1,1,1,1,1,1,1,2,1,1,1,3,4,1,1,2,1,1,1,1,1,6,1,1,['present'],2,5,1,4,1,1,6,1,7,1,6,1,1,7,7,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1
6,u32937,2,1,1,7,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,['past'],1,1,6,7,1,1,4,3,7,1,1,6,4,7,2,1,1,1,1,1,1,1,1,1,7,2,1,3,1,2,1,1
7,u74101,1,1,2,7,1,6,4,1,1,1,1,2,2,2,2,2,6,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1,"['present', 'future']",1,2,4,6,1,1,6,3,7,1,2,2,5,7,4,3,1,1,1,1,1,1,1,3,7,5,1,1,1,1,1,1
8,u219717,2,1,2,7,1,6,3,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,3,2,1,1,2,2,1,1,1,1,['present'],1,2,2,6,1,1,7,1,7,1,2,2,2,7,6,1,1,1,1,1,1,1,1,2,7,2,1,1,1,1,1,1
9,u7038,2,1,3,3,1,2,7,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,3,1,1,5,4,1,1,6,3,1,1,1,1,['present'],1,2,7,4,4,1,2,3,6,2,1,2,3,5,4,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1
10,u247173,2,1,2,6,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,4,1,1,1,1,present,1,1,5,4,2,1,5,3,6,1,1,5,4,6,2,1,1,1,1,1,1,3,1,1,6,2,1,1,1,1,1,1
11,u237824,2,1,4,7,2,5,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,1,2,2,1,1,6,5,1,1,1,2,['present'],3,4,3,6,1,1,6,2,6,1,3,1,4,6,4,4,1,1,1,1,1,1,1,1,7,3,2,2,1,2,1,1
12,u56046,1,1,3,5,2,2,6,1,1,3,1,1,1,1,1,1,4,1,1,2,1,1,2,1,1,2,3,1,1,4,4,1,1,1,3,['past'],2,2,5,4,2,1,4,2,6,1,2,2,4,4,2,1,1,3,3,1,2,2,1,1,4,2,2,2,1,3,3,3
13,u99210,1,1,1,6,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,7,4,1,1,7,1,"['past', 'present']",1,1,7,6,2,1,6,4,7,1,1,7,4,7,6,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
14,u109943,1,1,4,6,1,6,4,1,1,1,4,1,1,1,4,2,1,1,1,1,1,1,2,4,1,2,2,2,1,1,1,1,3,1,1,"['present', 'future']",4,5,4,2,2,2,5,1,7,1,7,1,1,7,7,3,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,1
15,u146783,2,1,3,7,1,5,6,3,1,1,1,1,3,4,1,1,4,2,3,2,1,1,2,1,3,1,4,1,1,1,4,1,5,1,1,"['present', 'future']",1,3,4,5,2,1,5,1,7,1,3,2,5,6,4,1,1,1,1,1,1,1,3,2,6,5,2,1,1,1,2,1
16,u121556,4,1,5,7,3,5,5,1,2,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,4,1,1,6,4,1,1,1,3,"['past', 'present']",2,2,5,6,2,1,6,2,6,1,2,2,5,7,5,1,2,3,3,2,2,1,1,1,7,2,1,4,4,3,2,1
17,u150593,1,1,2,6,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,present,1,1,7,2,3,1,2,3,7,1,1,4,4,2,1,1,1,1,1,1,1,3,2,1,5,2,1,1,1,1,1,1
18,u130300,1,1,2,6,1,4,6,2,1,1,5,1,1,1,1,1,2,2,2,1,2,1,3,2,1,1,5,1,1,6,4,2,1,3,1,['present'],1,2,6,5,6,1,2,4,7,1,2,6,4,6,5,1,1,1,1,2,1,2,1,2,6,2,1,2,1,1,1,1
19,u202324,2,1,2,7,1,5,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,4,1,1,1,1,['present'],2,2,4,5,1,1,5,2,6,1,3,2,4,6,2,1,1,1,1,1,1,1,1,1,6,2,2,1,2,1,1,1
20,u133098,2,1,3,6,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,4,1,1,5,2,1,1,7,3,1,1,1,1,"['present', 'future']",1,2,4,5,2,1,5,2,6,1,1,2,3,6,4,1,1,1,1,1,1,1,1,1,6,2,1,1,2,1,1,1
21,u2276,3,1,2,7,2,5,5,2,3,1,1,1,3,2,3,5,4,2,1,1,1,1,1,1,1,4,3,1,1,4,6,2,1,2,2,['present'],1,2,4,5,2,1,6,5,6,1,2,4,6,6,2,2,3,1,1,3,1,2,1,4,6,4,2,4,1,1,2,5
22,u49050,4,1,3,5,2,5,6,3,3,2,1,1,2,2,4,2,1,1,2,1,1,1,2,6,1,1,2,1,1,2,3,1,1,1,1,present,1,2,5,5,2,1,4,3,6,1,3,5,4,6,5,1,2,1,1,3,1,2,1,2,5,2,1,2,1,1,1,6
23,u178834,1,1,1,7,1,6,6,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,5,1,1,5,1,1,1,1,2,1,1,1,1,['future'],1,1,4,6,1,1,6,4,7,1,1,5,3,7,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1
24,u144425,1,1,1,7,1,2,6,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,6,7,6,1,1,1,4,['present'],1,2,6,5,1,1,6,2,7,1,3,2,6,7,1,1,1,1,1,1,1,1,1,4,7,3,1,1,1,1,1,1
25,u259990,4,1,2,7,2,5,6,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,6,5,2,1,1,1,present,5,5,5,5,2,1,6,2,6,1,6,5,5,6,5,1,1,2,2,1,1,1,3,1,7,4,4,1,1,1,1,1
26,u209521,1,1,6,7,1,6,2,2,1,1,1,1,4,2,1,1,2,1,1,1,1,1,1,5,6,1,2,1,1,7,5,1,1,2,1,['present'],2,6,2,1,2,1,5,1,7,1,7,1,5,7,5,1,1,1,1,1,1,1,1,4,7,6,1,1,1,1,1,1
27,u175442,2,1,3,5,1,5,6,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,2,5,4,1,4,1,1,2,2,1,3,1,1,['past'],1,2,5,5,2,1,6,3,6,1,3,2,3,6,5,1,1,1,1,1,1,2,1,1,4,3,1,4,1,1,3,4
28,u27653,5,1,3,7,2,6,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,3,4,1,2,1,1,1,3,1,1,1,1,present,1,1,2,6,1,1,6,3,6,1,2,5,4,6,4,1,2,1,1,3,1,1,1,2,7,2,2,1,2,1,1,1
29,u278657,2,1,3,6,2,4,4,2,1,1,2,1,1,2,4,2,2,4,2,1,2,1,1,4,3,1,4,1,1,4,4,3,2,2,1,['present'],2,2,5,5,4,1,2,2,6,1,3,5,4,5,4,3,2,1,1,2,1,3,1,1,6,3,2,5,5,1,1,1
30,u155610,2,1,2,6,1,5,5,1,1,1,1,1,4,2,4,3,1,4,3,1,3,1,1,5,5,2,2,1,1,6,4,1,1,3,1,['present'],2,2,4,5,2,1,5,3,6,1,2,5,5,6,3,1,2,1,1,2,1,2,1,4,6,3,2,1,1,1,1,4
31,u112301,2,1,3,6,1,2,6,2,1,1,1,1,2,2,5,2,1,1,1,1,1,1,1,4,1,1,5,1,1,6,5,5,1,2,1,['present'],1,2,6,2,5,1,2,3,6,1,2,5,5,3,1,3,1,1,1,2,1,6,1,1,4,2,1,2,1,1,1,1
32,u50327,2,1,3,6,1,2,6,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,2,1,1,6,4,4,1,1,1,"['present', 'future']",1,2,6,5,5,1,2,4,7,1,1,2,4,5,2,1,2,1,1,3,1,4,1,1,6,2,1,1,1,1,3,4
33,u273162,1,1,2,6,1,5,4,2,1,1,1,1,2,1,2,3,2,2,1,1,1,1,2,2,2,2,3,1,1,2,3,1,1,2,1,['future'],1,1,4,6,1,1,5,3,7,1,1,6,3,6,5,1,1,1,1,1,1,2,1,2,6,2,1,1,1,3,2,1
34,u123620,2,1,1,6,2,3,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,['present'],3,2,5,5,1,1,6,2,6,1,1,6,4,6,3,1,1,1,1,1,1,3,3,1,6,2,2,1,5,1,1,1
