,translated_text
0,"Based on intensity attenuation and aftershock distribution characteristics, rectangular sliding-fault model parameters were established, and by applying the exact analytical expressions for the displacement field of inclined, finite-slip faults given by Mansinha and Smylie, the average dip-slip was obtained."
1,"[""Rather than saying that the financing arrangements by the China Development Bank and the Industrial and Commercial Bank of China for the Ghana Cocoa Board are about chocolate production, it would be more accurate to say they are part of China's consistent policy of consolidating relations with resource-rich African countries.""]"
2,"['The Monetary Policy Committee of the Central Bank of Mo said that from January to March this year the sectors with the largest increases were agriculture and industry, which rose by 11.8% and 8.4% respectively.']"
3,"The company's main products are various series of oil-impregnated bearings (copper-based, copper-iron-based, and iron-based), various types of gears, and other powder metallurgy structural components."
4,This is a shameful scam. He actually has the nerve to say such things.
5,"['First, government action must be resolute and decisive, rather than hoping the problem will disappear on its own.']"
6,South Korean player Lee Rongzhuo is likely to play; he has just recovered from an ankle injury.
7,"According to official media, North Korea will also build a memorial tower for Kim Jong-il and has designated his birthday on February 16 as the ""Day of the Shining Star."""
8,Let us remember that the autumn of life will soon arrive; what we sow now we will reap then.
9,Congress and some states have provided strong support for the development of biofuels.
10,"After the media reported on the crackdown incident, many Chinese netizens were filled with righteous indignation."
11,Squeezing more bytes out may be an achievable goal.
12,"In Italy, every step is full of arguments and fights."
13,['These twin brothers grew up in London.']
14,"Court documents clearly recorded the special investigation, and the evidence they contained exposed a society so corrupt that nothing was sacred."
15,This emphasis on functionality may have come from the bicycle Riedel designed ten years ago when he decided to return to campus.
16,"I consider myself an ordinary person, so I have to keep in mind that every mistake I make will be exaggerated and become news."
17,"Please remember: personal growth doesn't come from words alone, but from concrete actions taken day after day."
18,Notice how the Gospel of John repeatedly ties these questions back to Christology.
19,"(Ellamitchell as the real ""Super Mom""): I am the real ""Super Mom"" and the owner of that house."
20,"['""Finally free"" made it so free that it lay powerless in the dust, helplessly allowing the wind to sweep it along the ground; upon hitting the first obstacle it stayed there lifeless.']"
21,The installation arrangement of the two valves should have overall performance equal to or exceeding the system's requirements.
22,"""My dear Mr. Bennet,"" said Mrs. Bennet to her husband one day, ""have you heard that Netherfield Park has at last been let?"""
23,"Moreover, Hester Prynne's reputation among the people had already changed greatly; even those women in town most renowned for strictly observing the duties of womanhood, if they engaged in such talk, would not be less subject to gossip and reproach than she was."
24,"Usually, real estate brokers steer clear of forced-sale properties because the procedures are cumbersome, the uncertainty is high, and the profit margins are low. But nowadays, for many brokers, such transactions are their bread and butter. (End)"
25,"The greater the deviation of the amino acid content of one-year-old twigs from that of older trees, the higher the mortality and egg load of the purple lac scale on that host plant."
26,"According to reports, on the 4th these four people entered Russia to look for work."
27,"After his wife died, he began planting oak trees near the farmhouse—forming a one-acre heart outlined by shrubs."
28,"However, they still died: England lost two archbishops and a princess; the princess died in Bordeaux while she was on her way to marry the Prince of Castile (the King of Castile soon died as well)."
29,She was very picky and it took her a long time to finally choose one.
30,"What is more important to the company's success: producing high-quality software, or upholding the outdated notion of what a 'proper' office should look like?"
31,"Warren Buffett formulated his investment philosophy when he was very young. But because he lacked sufficient capital to move the vast market, those insights were of almost no practical use. Buffett became wealthy because he overcame his own timidity and shyness. He recruited several investment partners and, together with them, squeezed stock performance out of company management. The point of this case is: no one can achieve success solely on their own."
32,"Dolphins, whales, and other aquatic mammals sleep very little, and this fact can provide useful clues about the fundamental function of sleep."
33,"Choose independence or end their singlehood? They felt it was difficult to reconcile the two, so they ultimately chose the former."
34,The ticketing clerks were sent to take a course to familiarize themselves with the new computer system.
35,Didn't he say that the armed prophet always wins while the unarmed prophet always fails? Didn't he say that he writes to reveal the true nature of things and to prove that things are not as people imagine?
36,"Chapter 14 of this book proposes a new theory of history, a theory about decline and revival."
37,"What do I want to change? Within all those areas you've pointed out, what is it you want to be different?"
38,A North Korean news announcer said the launch was a brilliant success.
39,"This opposition to the previous government did not receive support from other countries; they preferred to take a strict, scrutinizing stance toward Russia because Russia had complied with the OECD's rules on corruption, protectionism, statistical reporting, and money laundering."
40,"I hope that by sharing some of the best lessons I've learned I can help you along life's path. As for any advice, treat it as seasoning, because what suits me may not necessarily apply to you."
41,"Some people believe this can remind them that even the worst days will pass and that things will get better, which is very helpful."
42,"He, however, told Bulganin about his unusual experience. The two of them laughed heartily about it."
43,MacCormack also downplayed the EU's claim that the United States and the EU would send a joint mediation team to Kenya.
44,Monster
45,"In addition to its strong performance, the 12C also features a uniquely designed rear wing that flips during heavy braking to assist stopping."
46,The making and flying of kites is an ancient Chinese tradition.
47,Aolin Andrew and Katie Hill appear to be an ordinary teenage couple wearing swimwear.
48,"Eliza, you have to remember, he's not as familiar with Ji Ying's personality as you are."
49,"This also means I won't try every day to pare down my to-do list—I just do whatever I feel internally driven to do at the time, and then work in a state of flow."
50,"Then, the villagers living upstream and downstream split into two teams and fought each other—by any means necessary—to carry the ball about 225 yards back to their respective riverbanks."
51,"Jennifer: No, of course not. I just took a correspondence course in reception management."
52,Many researchers have proposed dividing teacher discourse in foreign-language classrooms into 'pedagogically oriented discourse' and 'naturally communicative language.'
53,"You can call it an Axis Tour, because today all the destinations are located on this invisible central axis that runs across the center of Beijing. If possible, go out on weekends with other visitors. Many people are actually not tourists; it's merely a small price to pay for the experience of being in the midst of the crowds."
54,"Good morning, everyone! President Hu, members of the Chinese delegation, on behalf of Michelle and myself I welcome you to the White House, and on behalf of the American people I welcome you to the United States."
55,The idea is to let the groom have one last wild time before getting married.
56,"Fourth-level ignorance: meta-ignorance. When one is unaware that a fifth-level ignorance exists, it is called 4OI."
57,Paul Levinson is a professor of communication and media studies at Fordham University in New York.
58,"A very bright, orange-colored spot of flame appeared on the fuselage a few seconds into the video, and it quickly turned into a huge ball of light."
59,"The greatest moment of the race is not the instant of touching the wall, nor the moment when a swimmer first takes the lead."
60,"I intend to request additional troops. I believe quite a few people already know that I have already made such a request. In the coming months we may see reinforcements arrive, and I am optimistic about that."
61,"For example, once her hairdresser friend took the initiative to cut her hair, but as a result she developed measles on her face, chest, and arms."
62,I'm not going to tell you to 'find your passion' or 'pursue your dreams'—because I'm certain that's not very useful.
63,"Dell can have a one-month buffer to pay suppliers, so in the meantime the company earns profit from customers' payments."
64,"The decision of who wins and who loses fell to a little girl. She had been innocently killed when she was eight years old. Unwilling to accept this, she returned to this world to punish those who had wronged her. But she discovered that the reason she died was not so simple."
65,"At 1100°C, the oxide film is mainly composed of α-Al2O3, NiAl2O4 and NiO; although the coating provides some protection, its effect is not as pronounced as at 900°C and 1050°C."
66,"Luanda, Angola, July 4 — According to a research report released here Tuesday by the Catholic University of Angola, Angola's gross domestic product (GDP) could reach US$95 billion in 2010, making the country the second-largest economy in sub-Saharan Africa."
67,"During Hurricane Sandy's strike on the U.S. East Coast, Christmas trees helped many coastal communities protect themselves from the storm."
68,"It is, in fact, the exclusive habitat of a massive creature—the crocodile."
69,"She said that part of the reason she was involved in quality improvement is that she is a pediatrician, ""passionate about children's vaccination work."""
70,"The summer camp fee is RMB 14,000, including tuition, insurance, lunch, off-site activities, and so on."
71,"A particular childhood shaped Xiao Hong's headstrong, stubborn, and rebellious temperament; her tumultuous and changeable life experiences formed a personality that was persistent yet sensitive and delicate, and that relentlessly pursued freedom and independence."
72,Study the potential energy functions of partially excited states of the N2 molecule using the ECM method.
73,"This may be the first step, helping to transition to an architecture in which service-oriented characteristics are more pronounced, or to integrate batch systems acquired after an acquisition into a more transactional environment."
74,"['This graduation project pertains to cold stamping dies. The design topic is a cut-and-bend die for the lower end cap, and the die process consists of inclined-blade shearing and bending.']"
75,"At the 2008 Beijing Olympics, China won 51 gold medals and became the leader of the medal table for the first time. As the London Olympics are about to begin, BBC's Wu Wenyu has taken a look at current predictions for the number of gold medals China will win and what that number would mean for China."
76,"Todd also said there are plans to set up a distillation plant in Maromme, with the aim of supplying fuel to the EU market."
77,Perhaps it would be better to make the incentive mechanism favor 'buy and hold'.
78,"An accurate description of tire mechanical characteristics is fundamental to automotive research, but solving nonlinear problems with traditional mathematical methods is relatively difficult; therefore researchers have begun to study applying neural network theory to modeling vehicle dynamic characteristics and to automatic control."
79,"However, 53-year-old tailor Mohammed Hassan said he believes this is nothing but propaganda. He said, ""You know the propaganda of the U.S. and Iraqi governments... perhaps this is a kind of propaganda, used as an excuse to attack the people of Samarra and other cities."""
80,"No matter how technology develops, even if thoughts, emotions, and decisions transform into deterministic physical processes (determinism: a person's actions are determined by forces beyond their control), I have always believed that, to some extent, we choose our own life paths."
81,"These tourist projects are located in Niassa Province, Cabo Delgado Province, and Nampula Province."
82,"The UK government's aid agency, the Department for International Development, has allocated $2.5 million to respond to the cholera outbreak in Sierra Leone that has already claimed more than 200 lives."
83,"From 2001 to 2012 Italy's GDP was in a state of contraction, and compared with any affluent country, this poor performance more clearly reflected its economic malaise."
84,"As of now, the incident has caused 156 deaths and more than 800 injuries."
85,On the other side of the debate are coal companies that employ millions of miners across China; these companies warn that they may soon be unable to pay the miners' wages.
86,"[""People around the world praised Martin's life and mourned his death.""]"
87,"""I forgot,"" he said, ""you'll need to prepare a coal fire."""
88,"The newly appointed CEO of advertising giant Hill Holliday had been putting in effort long before; her career began as a receptionist. In her first week on the job, other, more senior receptionists reminded her that she was actually the lowest-ranking employee in the company, even lower than the mailroom staff."
89,Hu Maoken's company is performing well enough to cover its daily expenses and the salaries of seven employees.
90,"Most earthquakes in subduction zones are about 200 miles deep, and there are many intervening layers between the quake and the Earth's surface where we live."
91,"Carson Maxted works for Resource Recycling magazine, a publication that covers the plastics recycling industry."
92,"Zanxi was immediately taken to a local hospital after being 'resurrected', received life-support system treatment, and was successfully discharged after two days."
93,"Additionally, Iraq passed several long-stalled bills this year that are considered important for increasing mutual trust between Iraq's Shiites and Sunnis, various ethnic groups, and the central and local governments."
94,"If you don't have your own private office but need to concentrate, the surrounding noise, conversations, or ringing phones can give you a severe headache."
95,"However, as I realized this month, I still have a lot to learn about maintaining balance in life."
96,This abstract summarizes research progress on biotechnologies such as protoplast fusion and genetic engineering in creating male sterility in rice.
97,"""So far they have been too heavy to be seen,"" Dodelson said. Adding machines that concentrate energy, like the Large Hadron Collider (LHC), might be enough to ""knock them out"" of the colliding particles."
98,"Economic scandals, intensified competition, social pressure, the shortcomings of traditional management methods, and the modern transformation of management itself have led to an ethical shift in management practices, principles, and objectives."
99,"North Korea submitted a declaration list to China at the end of June. The day before that, Pyongyang also blew up the cooling tower of the main nuclear facility at Yongbyon."
100,He received high marks on all his exams.
101,"Abubaker Saad, who served as Gaddafi's aide-de-camp for nine years, said that once Gaddafi was captured, whether he lived or died would be completely irrelevant."
102,He will teach you many things and love you warmly.
103,"In 2002, the Sena Railway took the first step toward reconstruction; the An government and the Mozambique Ports and Railways Company decided to undertake a self-financed project, although the International Development Association later joined the project."
104,['The driver started the car and drove down the avenue.']
105,"Now, a small Silicon Valley company called Addappt is trying to make your address book update automatically, thus ending the aforementioned annoyance. The company offers a free service and an iPhone contacts app of the same name; the app can match its registered users with the people in your contacts, and once linked, whenever their information changes, your address book will update automatically."
106,"The Dragon King said to Old Chu, ""A few days ago one of my sons went out to play, was kidnapped by a robber, and nearly lost his life!"""
107,"For some people, complaining can become a lifelong habit. Hou Zhendong, the human resources manager at General Electric, said, ""Long-term complaining will weaken your energy and optimism. If you don't agree with a colleague's complaints, try skillfully steering the conversation toward a more positive topic."""
108,They said they wouldn't spare me if I called the police.
