,avg_labeled_utterance,self_mentions,code_glosses,transitions,frame_markers,situation_dependent_references,place_time_svo,explicit_references,adverbs_of_degree,chronological_markers,engagement_markers,deontic_modal_words,boosters,causal_markers,idioms,attitude_markers,hedges,evidentials,figurative_language,negative_connotations,endophoric_markers,pleonasms,emotional_self_disclosures,positive_connotations,transitions_chronological_markers,slang_and_colloquialisms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.11441612134659618,0.04884695456641095,0.1498455729363208,0.10950295187672333,0.02644716186409093,0.02274508029722696,-0.049989430640201823,-0.006528579391776808,0.017182162928135673,0.0928131190641948,0.001409660289124736,0.10700152880843047,0.11529015794868826,-0.03829951365942573,0.0694393173274776,0.18783044807177177,-0.018506175027557612,-0.011222130826566808,-0.01448284641720825,0.016169827751396488,0.025327134946177703,-0.01757542239652432,-0.01244460845878985,0.009191163162617927,-0.01248610844733012,-0.48523467523235986,-0.04805484982110809,0.07049499723481316,-0.5501725321929805,-0.36860553815193603,-0.6667160578402709,0.6581065686306489,-0.05638877983630539,-0.07418608423495084,0.01842664758732219,-0.1090720852610098,-0.030350233727156638,0.02694077540135528,0.017762859270883946,-0.09857473881781235,-0.13546408557422246,0.022373039686048677,-0.05237981692762933,-0.013697816019937087,-0.0038797363247405777,-0.07343970458837483,0.034876177049606154,-0.07237652997947432,-0.042370295606268246,-0.028886021783664846,-0.11112965505474054,0.5384430484734567,0.09598869205093802,-0.026849429074219628,0.14511423502137907,-0.12456217127312355,0.20832372663991297,-0.018841914760401028,0.03521602851919035,0.04549409373708667,-0.032971745750802715,0.005390067584957296,0.6533542267313547,-0.5220191705054223,0.39328222606402957,0.09701781071818485,-0.4752086478713954,-0.363377099472989,-0.232082409111377,-0.02100419976365468,0.03835976635268687,-0.20914442532257874,-0.15048156533288123,-0.5681261775496481,-0.32517891929851245,0.04229139097801559,-0.36733688326135217,-0.03803930227735913,-0.04079503884451595,-0.36769919964480685,-0.06173345769527388,0.595010532060074,0.22804272436195921,-0.08099541262919696,-0.6700875116903384,0.02532619674951302,0.01456308591186138,0.33233196938920323,0.08930284933110155,0.05403482379454515,0.15546869810128722,0.017339268086526187
self_mentions,0.11441612134659618,1.0,0.03471555578117246,0.058673463243494574,0.0836612644476216,-0.030719754959447513,-0.008945996996574746,-0.0631135358215437,0.03258809869723116,-0.02622650860709981,0.08733623617163565,0.06466501565463396,0.1381687957913455,0.047058104875812135,-0.013430452764380024,-0.02574521988810657,0.14164783271130518,-0.046484993041220175,-0.03692882012323887,-0.04121631049643784,-0.007654909696265924,-0.009447148161726477,0.07985398332487638,-0.023970222311963184,-0.018686214875659923,0.017750643272901295,-0.247238544752167,0.020182289776800526,0.4975665519146348,0.022901860689155253,-0.18812565630080327,-0.11484006384985194,0.09632643344497364,-0.03445243570918603,-0.11762059079412049,0.27123595470789996,-0.021995476194514425,-0.06282489783873703,0.08010398419840896,0.13747480942137233,-0.03515891879715749,-0.0038898472916751668,0.2653317520793185,0.14637160467082927,0.15457570600669218,0.1422800779984244,0.023846316991501124,0.09030628827510442,0.14848396686144258,-0.030015587865877227,0.048780448699432974,0.030333635715395317,0.1465803777798212,-0.017952618585582284,-0.003872369757941843,0.07185349112576499,0.07177285383541764,0.0814067143051268,0.026025308367186188,0.10217711119692169,0.39742664869227795,-0.04141911677112475,0.11268107322074006,0.12549977922142277,-0.23684201179762054,0.04710831087193393,0.014777631382368614,-0.12234850133218722,-0.3327023560268373,-0.02791711572202289,-0.0321384971436743,0.2444017125877382,-0.5862537602785581,0.013638151319429508,-0.13907937272714066,-0.12752810142354376,-0.08568148291684449,-0.31049126976858443,0.04287937588247549,0.04026495166468144,-0.30797864287773913,0.009444720017856458,0.1415460330861649,0.11143086173815116,0.11087920213453856,-0.04904235153029841,0.15033799334826078,0.021428768283457262,0.045187101383115096,-0.04292032621304569,0.020189619129537012,0.027010764901803395,-0.0163608868312266
code_glosses,0.04884695456641095,0.03471555578117246,1.0,0.007509928307298318,-0.02163597592794872,-0.052025434403359896,-0.017543434151896273,-0.046737577802927525,-0.03686665677941224,-0.03268970604541291,0.03688157903357828,-0.03525453373343426,0.11269903423146373,-0.04287002879908314,0.013484669413892848,0.011715037830514495,0.038005039158650944,-0.021669295448287818,-0.004760735772884189,-0.012875720363420379,-0.016578591037043802,-0.012127502686290592,-0.008216794590448091,-0.012925812912781652,-0.005837457901783236,-0.005837457901783226,-0.05218160354890777,0.03219600652296341,0.020220198236811093,-0.056144833498380994,-0.05031847524633721,-0.04499038378570893,0.03459040633312454,-0.014908566063649454,0.011660705122349369,-0.02036990110685613,-0.0022523840279629476,-0.024216067128834753,-0.008294454384590647,-0.017454969743139585,-0.054850078497686285,-0.0429306608496261,0.03889322036215057,0.018375067217986932,-0.03545454126483565,0.047559950248634325,-0.009210096047841721,0.04434307630206064,0.056596346658134504,-0.06085501094549723,-0.055348279577274166,-0.029067081197507737,0.00894320990831459,-0.007618866737710362,0.006841994148654424,-0.037153112804271984,-0.0021147669807963228,0.019637357081248117,-0.027808946997733952,-0.008540682519584918,-0.015305043536255903,-0.0015599258155877787,-0.013753962477144291,0.03791582909535305,-0.0466293345052622,0.044317460752654476,-0.0067355425702538664,-0.045571329602817706,-0.08363041910593981,-0.08544103379903537,0.07290740043720537,-0.020977959721870578,-0.05532613021522347,0.003041732069160032,-0.07556464140707156,-0.024766514667706845,-0.04533381043020758,-0.04060774668193841,-0.039575391600867364,-0.046087241532905034,-0.031877315092962176,-0.050238778220069655,0.06425370874138069,0.007944450444935483,-0.00498935625689022,-0.058988648910045335,-0.023527209256482346,-0.009763566348073537,0.023841589298370432,-0.05019659587444153,-0.06766718220868101,0.02849729201320219,-0.004051055759309902
transitions,0.1498455729363208,0.058673463243494574,0.007509928307298318,1.0,-0.020925415116626215,0.003783305475131991,-0.08233464281450045,-0.09585251805454013,0.0947363028254522,-0.06897914069764378,0.03444361479318324,-0.0089512410141669,0.015533393407800876,-0.017661467896896422,-0.030862532865452208,0.018549383858503764,0.07506453826828333,-0.017664196093327058,-0.04241226253983828,-0.011516558104435316,-0.040181015075867375,-0.029393050783485444,0.0653712209669272,0.015588362639351781,0.06506165190621571,-0.014148065021460219,-0.1535971578331301,0.024860436189264437,0.03358473819643351,-0.06121371574812348,-0.13774326363707826,-0.10762574040541129,0.1669187569659199,-0.002247202243794048,-0.03677021651306568,0.04948178904217796,0.009160169780876607,-0.033639866393455,0.042388427387957284,0.0405822623179447,-0.08467130299745677,-0.0854854462042896,0.07898574371859653,-0.03971136820754569,-0.01866593721324698,0.08740795636793304,-0.018453261140895,0.05485611762103453,0.05838453749906981,-0.02367285602730374,-0.05108494862895434,0.002401836977270248,0.059695111014524585,-0.0006028675483660014,-0.011880571806706635,0.0126396433067361,-0.021232759506275532,0.038269001498214716,0.03168271931968951,0.02638587963976866,0.11060760874871078,-0.027158638747215125,0.0019106705943614506,0.13966581385202503,-0.1161170966875018,0.03918925847703808,-0.0160845994984161,-0.07706721653883707,-0.2069271971749421,-0.07122031885492713,-0.019366622898595726,0.029525715922948906,-0.1193710038328551,-0.03737814143870199,-0.08636740558412634,-0.053578409404750296,-0.030962944165536365,-0.1346650917118952,0.0443913798041813,0.05091689038570894,-0.1395642456478612,0.06298965746087454,0.09673637056270176,0.08517657468097399,0.004199163865724875,-0.1060931442163729,0.036170052439354124,0.021009834280436745,0.024121865962051004,-0.07691296521260489,0.04319259269759576,0.2224796926850659,0.00920931285048387
frame_markers,0.10950295187672333,0.0836612644476216,-0.02163597592794872,-0.020925415116626215,1.0,-0.018845309511084558,-0.05841954915694966,0.02106078877663493,-0.03291292684861693,0.10668703341411781,-0.02094858273501629,-0.0454299160309715,0.03246776143948213,-0.0015650367620132304,-0.02610831666225598,-0.031064559373469632,-0.02577886659865263,0.03132270538136705,-0.006206291319969952,-0.02090139926376238,0.028637093483089703,-0.01968680342256009,-0.013338477347736957,-0.020982715442180996,-0.009476055307725276,-0.009476055307725273,-0.09720356727032439,-0.05323946807553153,0.013487413119598304,-0.02969803689992986,-0.08899527733043429,-0.1137926562150312,0.1171752070205801,-0.0645899086141459,-0.03279426398394488,-0.01802222033314925,-0.07479545772759265,-0.03962348085224119,0.025689819494498757,-0.0014765574043483934,-0.09025381302643493,-0.04648149274620152,0.09786404605890558,0.0076310920281806435,-0.029595801814783017,0.022678596710333884,-0.03658989897326328,0.013686276959993846,-0.04062897417333298,-0.08624754730714798,-0.06069522436849488,-0.014045226227246882,0.07236363342622211,-0.026728608691222858,0.009532659607307422,0.0724734292781563,0.04352429612800979,0.027155340761176216,-0.033240106437914495,-3.9799016022955535e-05,0.00827316534672752,-0.0659345398512219,-0.06757891875379837,0.09447857188140175,-0.03725999228528716,0.036206200241647606,-0.022578788102121352,-0.08864952470987386,-0.058256046369820964,-0.03948759515364076,9.387348458053705e-05,-0.04154404926243652,-0.06747969948592424,0.04067804707812713,-0.08224944496538003,-0.12289372628263683,-0.005963269025210165,-0.04339585773109719,-0.002976526760164584,-0.006479402765395304,-0.0406232807085424,-0.004600970857873046,0.10747277324307491,0.08322056256659648,-0.01417090970613724,-0.058104568833162645,-0.00030799119971517205,-0.04833158525372012,0.09087484197783299,0.06840127885791249,0.082123879372622,0.14887046031932188,-0.06344635341341381
situation_dependent_references,0.02644716186409093,-0.030719754959447513,-0.052025434403359896,0.003783305475131991,-0.018845309511084558,1.0,0.003931974652132124,0.07521378372926818,-0.0006326870159164587,-0.016839217986137408,0.015352558387181846,-0.05786113309128093,-0.05051988034852848,-0.02327758471124607,-0.005430315634439758,0.0008339866337710591,-0.04873918930884858,0.06565510222016534,-0.02371773575864077,0.10884625266887965,0.07397646654607572,0.03966330864000755,-0.012557556305234361,-0.01975425108373429,-0.00892126552199484,-0.008921265521994851,-0.08182371034498918,-0.015342141886507881,-0.005388048427723696,0.03388298401518012,-0.03526057950991884,0.024223507104030165,0.0812389791693647,-0.02809875049158289,-0.04241709644917855,0.07121019842170431,0.02787762729681393,-0.021778683135831062,-0.02053398429649802,-0.013204525734466989,0.10802818449599633,0.03861251518886057,0.0507377148585874,-0.028272310920347904,-0.030537962168367027,-0.002172505899696423,-0.05796564555849844,-0.0333288997766143,0.06105632105856784,0.034909748241996406,0.058795518967384025,-0.03658629356803809,0.050411914713714624,-0.012349410165121212,-0.03653536769735857,-0.018589888928521217,-0.03840001193556354,0.009124517573767716,0.051776349803813,0.006737436183429179,0.008095850731651713,0.034212822991847754,0.04326765600747212,0.007171551635050258,0.04610003112071789,-0.062368074008702416,-0.020092132250511794,0.06536738319962498,-0.042707111306441226,0.04833671398770039,-0.020343642733600863,0.0017601390765530508,-0.0457323540958278,-0.028040478810726015,0.039927401079381336,0.02900295854262299,0.044897361324191185,-0.09244489436441745,0.10377029825385693,0.10116274027220906,-0.10209413185797765,0.08793002527057123,-0.017998647361925135,0.030536937608857957,-0.043792230677072726,0.043743549992183564,0.0409367875412315,0.09130249083626683,0.036848079513463125,0.04072765433296679,0.04496113304650629,0.008135072567640988,0.006389555735140754
place_time_svo,0.02274508029722696,-0.008945996996574746,-0.017543434151896273,-0.08233464281450045,-0.05841954915694966,0.003931974652132124,1.0,0.13594512537088937,0.0055671696740580544,0.08037779137827393,-0.07914726279207826,-0.04953375005991806,-0.058790838258403026,-0.05079338833039269,-0.017002642001693807,-0.035821966949959975,-0.06402753185327958,-0.003841617037826833,-0.008681502534790735,-0.013611716665363533,0.13964523250132044,0.03843748948007005,-0.008686479412866014,-0.01366467258314568,-0.006171136119948564,-0.006171136119948574,0.05275490263450659,-0.04759888386161571,-0.043875951468362366,0.007768250184802847,0.044876142843473146,0.0049561067175338544,-0.008970737200917001,-0.07389787061106189,-0.05508004957797496,0.04790908924574991,-0.046801017164366986,0.03684003001670091,-0.06570711745304292,-0.07184450397609682,0.01287797668238665,0.011843748637287693,-0.07825864536200289,-0.05112573857762229,-0.03240599578537676,-0.07463099934114516,-0.06975143047136113,-0.062053945195810783,-0.08417548834617161,-0.06449230133650438,-0.04799702692558019,-0.05108758543229314,-0.051699919779824514,-0.020321417930979444,-0.034485124390262516,-0.0911909101668645,-0.035202171028870556,-0.06705419940945763,-0.05022971183299001,-0.08866267797057606,0.027292118002951726,0.005845193436500839,-0.057140807180506195,-0.025979081596169705,0.09013652669798584,-0.11885323910818255,-0.022225413450601788,0.10221412164465253,0.06381414521176257,0.05340750139968191,-0.01917858097554014,-0.0742105216803392,0.049257730338912,0.012458291632343705,0.026480176593687996,-0.016008312728943867,0.17292089811211045,0.030993682036198445,0.002516430402067045,0.002847625111819348,0.02904661107383072,-0.0006318180894005926,-0.06742091040047697,-0.006396748081873695,-0.08427356855585422,0.03441198548567057,-0.08890371153127843,0.013266487242701594,0.21330211219473913,0.3579599877921934,0.23553164820762448,0.007939861455995728,-0.06751478804504435
explicit_references,-0.049989430640201823,-0.0631135358215437,-0.046737577802927525,-0.09585251805454013,0.02106078877663493,0.07521378372926818,0.13594512537088937,1.0,-0.026211173368067567,0.03167114836978351,-0.08048033587416123,-0.06888328867318297,-0.040325250184443454,0.0046462734445395495,0.016926619533594933,-0.012410244802639425,-0.08240200541654977,0.0644340349011289,0.0019816622851529476,0.027317869430456602,0.02187298559045912,0.002675233385970353,-0.015957117909852932,-0.009866427382899555,-0.011336416288274108,-0.011336416288274084,0.04660857447400447,-0.0725724354424841,-0.0945103350952805,0.10246221318703766,0.06106691008595745,0.1215904639929632,-0.0652593800640809,-0.10976514461920453,-0.10673603936892222,-0.005773713853803092,-0.039235286047568006,0.05182236962931375,-0.056620332731102105,-0.07413785786115372,0.16018852850617554,0.15603906668805836,-0.06511789468579669,0.011098677775402053,-0.0015529892305825303,-0.06209775712027617,-0.02018894601928604,-0.07195458825737301,-0.05647977908639549,-0.02256599482800611,-0.015362993220629114,-0.00931400463101573,-0.12864502032131125,-0.07121588048963007,-0.014479146746186581,-0.00854182891279961,0.007515410371813901,-0.10366914078062033,-0.07621872331426355,-0.1049039208494326,-0.03995362461833904,-0.01802183077168612,-0.08515083886859508,-0.1341421539545688,0.18222053706971517,-0.18690794790747736,-0.07152248451095203,0.1890233692678809,0.06940310162669318,0.08142626648441766,-0.01944572116147451,-0.06035652002354941,0.06292477339097362,-0.0030453750345358424,0.14008461596639052,0.04959692312259883,0.29577268068648305,-0.020323302201402254,0.09504371852559844,0.09621983319271493,-0.04714737472052188,0.09059046465831415,-0.15466212179170882,-0.04713166975514467,-0.03506626691890909,0.1384487437041823,-0.0556414757100799,-0.032530169459713446,-0.01819848182442202,0.09121646527161947,0.05347508128185066,-0.0048873618271209635,-0.09351197038834022
adverbs_of_degree,-0.006528579391776808,0.03258809869723116,-0.03686665677941224,0.0947363028254522,-0.03291292684861693,-0.0006326870159164587,0.0055671696740580544,-0.026211173368067567,1.0,0.013125343465934842,-0.020590692656751217,-0.006610575087704421,0.02055092505439858,-0.025981455315979268,0.028657728352974633,0.008553165540673452,0.06853230177417015,-0.010945217715936512,-0.031388670170732796,-0.01807569813045792,-0.023274007088976076,-0.01702530588164109,0.10749440979737855,-0.018146021015336026,-0.008194968817562933,-0.008194968817562948,-0.07859186822103753,0.0038315278141213744,0.1351860729637621,0.06144619335927296,-0.026026074688997505,0.018289309750622925,0.015666477509948228,0.02749255476683511,-0.051274064909678285,0.07129595727168572,-0.009777052030190454,0.0055515458543704,0.04195539005297666,0.04986295940530962,-0.03938303953437007,-0.056218850713307796,0.08728131038641894,-0.04375714389826035,-0.0665122372117297,0.0389846206192044,-0.05184897847068967,0.07283821923514829,0.02933415828020327,0.025388290399719196,-0.04669475845086096,-0.033186278778101604,0.05474208202165737,-0.00040469649744734944,0.011304834062960572,0.032898014418669734,0.021350851706559593,0.06326245781108747,0.008504590402189937,0.010372049709793121,0.05158320041223117,0.00017710690578230155,0.060955746868292436,0.032389308974786236,-0.05958448866782649,0.02328194530638083,0.0006788392449286655,-0.06389244978590221,-0.10911135485376651,0.0023989774962426807,-0.019535397376668696,0.13937726374900428,-0.11944135882468865,0.037404639796479885,0.0004103514409972059,0.01054309862715839,-0.006608045100321746,-0.1221520485238192,0.00019862021437921403,-0.0020140546655524343,-0.10845073531911203,-0.01926532190391374,0.012632587323475386,-0.03028219365672901,-0.01371427476395833,0.054152533010852856,0.04106445651887817,-0.026752365634868918,-0.04554317484424566,-0.05084840807641629,-0.0311492010145416,-0.01335362695282123,-0.006647453366151599
chronological_markers,0.017182162928135673,-0.02622650860709981,-0.03268970604541291,-0.06897914069764378,0.10668703341411781,-0.016839217986137408,0.08037779137827393,0.03167114836978351,0.013125343465934842,1.0,-0.07368612227616524,-0.04684711291798062,-0.023671849586028585,-0.02825518634069324,-0.026877154074685005,-0.010501487264832295,-0.0630794691430399,-0.033338771758239176,-0.03736436512945943,-0.021516903431801213,0.028747447738638014,-0.020266540186067362,-0.013731268677122101,-0.021600614208117985,-0.009755106076760804,-0.009755106076760809,-0.00966627816330599,-0.04315333946816417,-0.10819635429361961,-0.027108709498409544,0.0369050601894148,-0.03193243218328437,0.02445185645325126,-0.09919165147959849,-0.06167350475758718,0.022865158916114393,-0.08160940964821271,-0.04636385728283584,-0.07212643579574764,-0.07483548709321937,-0.012710493376693567,-0.009718602914549018,-0.02002265974116742,-0.03996420705562999,-0.03357710433853322,-0.017796829334310732,-0.07218269753156077,-0.05954813328809537,-0.003584878282604834,-0.09239415916144157,-0.09918376341579567,-0.008277965522681414,-0.03495123886961615,-0.010970493903386537,-0.0003518716361023995,0.02013729471263837,0.03357761874519371,-0.08473797273758982,-0.09562407472303654,-0.034703003751947806,0.01473485504358552,-0.028516434358698765,-0.06984152710354974,-0.008221844306761003,0.09390511644112962,-0.08809104352905682,-0.029617880241549818,0.055749751068613414,0.05211178912898605,0.01038343434297885,0.0053859847687749846,-0.09800672684562822,0.03760130420256352,0.040409295495287066,0.008775452983955424,-0.028676188543933518,0.012109204034883579,-0.003148184708960146,0.11630615819867873,0.11119556495437521,-0.002120800847641991,0.09010867217929404,-0.03123970221382943,0.05514116843534713,-0.07896017124418665,-0.0015880988926336873,-0.023251990570312256,0.01846243781767189,0.1325564349825085,0.20960120887214004,0.37360288026533345,0.21302567498822633,-0.02430809576411158
