,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u290204,4,1,1,6,2,5,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,1,1,1,1,['past'],2,2,3,6,2,1,5,5,6,1,1,6,5,6,3,2,5,2,2,6,1,1,1,1,6,2,1,4,4,5,5,2
1,u92498,5,5,2,7,2,6,2,5,4,1,2,1,4,3,1,1,5,1,1,5,1,5,5,1,1,4,2,1,1,3,5,4,2,2,1,present,1,2,2,5,2,1,5,3,6,1,2,5,5,6,3,1,5,1,1,6,1,2,1,2,7,4,2,2,1,1,3,5
2,u286636,5,1,1,6,5,6,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,4,1,1,1,1,['past'],2,2,2,6,2,1,5,6,6,2,2,6,5,6,4,2,5,1,1,6,1,2,1,2,6,3,2,3,3,4,4,6
3,u350426,4,1,2,6,2,5,6,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,2,5,1,4,2,1,1,6,5,1,1,1,1,"['present', 'future']",2,2,5,6,2,1,5,6,6,1,1,6,4,6,3,3,3,1,1,4,1,2,2,1,5,2,1,1,1,2,1,1
4,u381070,5,1,1,6,4,5,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,6,5,1,1,1,1,"['past', 'present']",2,3,2,6,2,1,6,4,6,2,2,6,6,6,2,5,5,2,2,5,1,2,1,1,6,3,2,2,1,2,4,2
5,u366209,2,1,1,7,2,6,2,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,6,1,1,1,2,['past'],4,4,2,6,2,1,6,4,7,1,2,5,6,7,2,2,2,3,3,2,2,1,1,1,7,3,5,6,7,3,2,1
6,u389066,3,3,3,7,2,6,2,4,1,1,1,1,6,6,1,4,6,1,1,5,1,1,3,1,1,1,4,1,1,6,6,1,1,3,1,"['present', 'future']",2,3,2,5,2,1,6,2,7,1,4,2,6,6,2,1,1,1,1,1,1,2,1,2,7,3,2,1,1,1,1,1
7,u164486,1,1,1,7,1,3,7,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,['present'],4,4,4,2,7,1,1,3,7,1,5,3,1,7,7,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,1,1
8,u257635,4,3,2,7,2,6,2,4,2,1,2,1,2,1,1,4,3,1,1,4,1,1,4,2,1,4,4,3,1,6,5,4,1,6,1,['present'],2,2,4,5,4,3,3,3,6,1,1,6,6,6,4,1,2,1,1,3,1,2,1,3,6,2,2,1,1,3,2,3
9,u424935,5,1,1,7,4,6,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,['present'],1,1,2,6,2,1,6,5,6,1,1,6,5,6,3,2,2,1,1,3,1,1,1,1,7,2,1,1,1,1,1,1
10,u977,4,1,2,6,3,5,5,2,2,1,1,1,2,1,1,1,1,2,1,1,3,1,1,4,4,1,3,1,1,2,4,1,1,2,1,past,3,3,3,5,3,2,4,4,6,2,3,5,5,5,2,1,3,2,2,4,1,2,1,1,5,3,3,3,2,4,3,5
11,u406202,5,1,1,7,5,6,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,3,4,2,1,1,6,4,1,1,2,1,"['past', 'present']",1,2,1,7,1,1,6,6,6,1,1,7,4,6,2,4,6,2,2,7,1,1,1,2,7,2,1,2,3,3,2,4
12,u254452,4,1,5,7,2,6,4,3,2,1,6,2,1,1,4,4,1,1,2,1,3,1,1,6,1,1,2,1,1,1,2,2,6,2,1,['past'],3,4,4,5,2,1,5,5,6,2,5,5,2,6,6,2,3,1,1,3,1,2,1,3,6,4,2,3,3,3,3,4
13,u11316,3,1,2,7,1,6,5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,6,4,1,1,1,1,['past'],1,2,4,6,2,1,3,4,6,1,3,6,5,6,2,2,2,1,1,2,1,2,1,2,6,2,1,1,1,1,1,1
14,u119520,3,3,3,6,2,4,4,3,2,3,2,1,2,2,2,2,5,1,1,5,1,2,5,2,1,1,3,1,1,1,4,2,1,1,1,"['past', 'future']",2,3,4,5,3,1,3,4,6,2,3,5,5,6,4,1,2,1,1,2,1,2,1,3,6,3,2,2,1,1,1,4
15,u324896,1,1,5,6,1,3,4,1,1,5,1,1,1,1,2,3,1,1,1,1,1,2,1,4,1,1,3,1,1,5,5,3,1,2,4,"['past', 'present']",1,2,4,5,2,1,4,3,6,1,3,2,5,5,2,1,2,3,3,2,2,3,1,2,6,3,2,2,1,1,1,4
16,u248345,3,1,1,6,2,5,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,1,2,1,1,6,4,1,1,1,1,['future'],2,2,4,5,2,1,5,4,6,2,1,5,4,6,2,1,2,1,1,2,1,2,1,1,6,2,2,3,4,3,1,1
17,u123533,4,1,1,7,2,5,6,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,2,1,1,2,1,1,6,5,1,1,2,1,"['present', 'past']",1,1,5,7,2,1,5,6,6,1,1,7,5,7,4,1,4,1,1,6,1,1,1,2,7,2,1,2,1,1,2,1
18,u238047,4,2,2,6,3,4,6,4,3,1,4,1,2,1,2,2,1,2,3,2,4,1,3,3,2,5,4,1,1,6,4,2,2,2,1,"['present', 'future']",1,2,5,5,5,1,2,7,6,2,1,6,3,6,5,2,5,1,1,6,1,2,1,4,6,2,2,4,5,1,2,2
19,u39821,2,1,3,7,2,5,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,3,1,1,['present'],2,2,6,4,2,1,5,2,6,1,2,5,4,6,3,1,2,1,1,2,1,2,1,1,5,4,2,1,1,1,1,1
20,u416905,5,1,1,7,4,6,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,present,1,1,2,7,2,1,6,5,7,1,1,6,4,6,4,2,5,1,1,6,1,1,1,1,7,2,1,1,1,1,1,1
