,translated_text
0,"Although in the past, kings with names similar to the English 'Philip' were often translated as 'Philip' in Chinese, that was an old-fashioned, English-centered approach. Nowadays, in many cases, there is more respect for native languages, so the current king is translated as Felipe VI."
1,"Making mistakes is not a problem; what matters is recognizing and correcting them. If one doesn't even realize the mistake, then there's nothing more to say. It's just that simple."
2,"The text contains clearly disparaging remarks about rural insurance. 'In addition, in July 2009, Wen Jiabao stated that a rural pension insurance system should be established, with a minimum benefit of 55 yuan per month. However, Southern Metropolis Daily reported that this claim was untrue, with some regions providing only 3 yuan per month.'"
3,"I'm really sorry, but the news from Apple Daily and The Guardian is only available on their official websites for a short period of time, and the Apple Daily article is already gone. But in any case, it's normal for the emblem to receive both positive and negative comments, and this is fair enough, aligning with Wikipedia's principle of neutrality."
4,"I do not quite understand your meaning. As I understand it, the section from May 4, 1951, is intended to illustrate that the surrender document itself could not dispose of the sovereignty of Taiwan and Penghu, by pointing out that even after MacArthur signed the surrender document, he still stated that the sovereignty of Taiwan and Penghu had not been settled."
5,"Yan Zi said, 'When in the country of dogs, go through the dog gate.' I didn't expect to witness it today. When people speak, you bark like a dog—clearly, you are just a..."
6,"Multiple paragraphs lack sources, for example: 'Aspirin tablets for adults are produced according to standard specifications, but the specifications vary by country, such as 300 milligrams in the UK and 325 milligrams (5 grains) in the US. These standards have also led to smaller dosages, such as 75 milligrams and 81 milligrams.'"
7,"After all is said and done, you're still writing the article based on other users' comments on the discussion page. Don't try to shift the blame to DC Supervisor; he hasn't violated any Wikipedia principles. The discussion page is meant for everyone to express their opinions. But you, on the other hand, have seriously violated the principles by fabricating sources."
8,Let's just use the Japanese terms directly until a professional confirms the usage in modern Chinese. I spent an hour browsing Wikidata to figure this out.
9,"Since the root cause is deep, it should be responsible for the causes of World War II. For the Cold War blocs and colonial systems, please refer to the section 'After World War II'. Then, the latter part of the introduction adopts the mainstream perspective, so how can it be considered unreasonable?"
10,"The content is extremely rich and the sources are abundant, meeting the standards of a featured article. However, I agree with Shilin Tong's earlier opinion, and Confucianism during the Six Dynasties period did not truly 'decline'; it can only be said that its dominant status was no longer exclusive and it was strongly challenged."
11,"First, Charlotte, that's because I wasn't there at the time. I will add it after talking to you, so please stop bragging about it in that entry. Second, as you said in your second sentence, 'The date is the most basic information of the episode' (I have emphasized what you said yourself)."
12,"The Xia Dynasty had no maritime technology to speak of, so it's impossible for two unconnected places to share the same name. How is it drawn in the reference books? Xuzhou, Yanzhou, and Qingzhou are all drawn into the water."
13,"Seeing the phrase 'called the king of beasts,' I was curious if there was some origin behind it. The information I just found suggests that it probably originated from Aesop's Fables. I found two versions, each in a different English translation."
14,"@user, making unauthorized changes to someone else's comment without their consent is generally not allowed. Such a careless and casual editing attitude is uncivilized. This matter is over, let's leave it at that."
15,"Let's see who lives longer!? It's a kind of fun fact, and I think many readers are interested in knowing these things. The English Wikipedia's article on U.S. presidents also has similar records, and I don't think this counts as WP:ENWIKISAID, but rather that readers from different cultures and nationalities may be interested in the same things."
16,"""Luis Luignarlo"" → ""Louis Ignarro"": According to the 'World Dictionary of Translated Names', Ignarro is translated as '伊格纳罗'. In any case, there is no 'Lu' sound in his surname, so it is impossible for it to be translated as 'Luignarlo' in Mainland China, Hong Kong, or Taiwan."
17,"(1) What I'm referring to is the state before Mr. Xen's edits. The main editor did indeed add and rewrite quite a bit; how well it was written can be objectively evaluated by everyone. However, Chemist's assertion that 'just removing the template makes it suitable for DYK' is probably unfair."
18,"I am from the mainland, and I have never heard netizens refer to blogs as 'wangzhi'. Using common search engines (mainly Baidu) and input methods (mainly Sogou Input Method) doesn't yield common results. I often hear about blogs, but unfortunately, I don't use them much."
19,"Currently (December 23), what's written on the Wiki is: 'As for how powerful Haruhi's abilities are, just watch The Disappearance of Haruhi Suzumiya and you'll know. She was able to completely alter and seal off time, to the extent that even the past version of Nagato couldn't intervene.' However, I just finished watching the movie today."
20,"The source cited in the 'Controversy - Historical Records - Republic of China Period' section is no longer accessible. If there is a reliable source, please update it. Another quote from Chiang Kai-shek cannot be found in the cited source."
21,"Lord Aizag, it's not about ideology, but about the fact that Hong Kong still has the freedom to choose. When you go to a bookstore and ask the clerk for a book about 'tanks', and the book they bring out has 'armored vehicle' on the cover. Hong Kong is not yet a place with only one voice; there is still freedom to choose information."
22,"Please carefully read the legal concept of unowned land, I have explained it above. Don't show off with superficial knowledge."
23,
24,
25,"The official view of (the German Bundeswehr and NATO) is that Rommel was an apolitical (genius) soldier, but he was also a kind of soldier-statesman! He was not just a soldier who 'sacrificed himself for the country,' nor did he want to become a politician."
26,"I happened to see this entry, as well as entries related to suicide, and I actually feel quite sad. On this discussion page, there are even people talking about wanting to commit suicide and others getting involved, which is quite shocking. I don't know how many people have lost faith in life and browsed suicide-related entries on Wikipedia before committing suicide."
27,"It only means that neither version constitutes vandalism, and both versions have their supporters and opponents. Since you often emphasize that you are only 'against vandalism', then if it's not vandalism, what does it have to do with you? Edits without sources are certainly considered vandalism and also violate the long-standing consensus of the article."
28,The following facts are not clearly stated in this entry. 1. The twelve zodiac signs of Western astrology are a pseudoscience that uses the name of 'constellations' (which are actually twelve equal divisions of solar terms unrelated to real constellations) to perform divination and make judgments about fate and personality.
29,"In Taiwan, does 'zìyóuchē' specifically refer to a competitive sport? Or is it also used in daily life? For example: 'Today I rode my bicycle back to school.'"
30,"First, if everything can be viewed on a single page, there is no reason to ask readers to look at 12 pages. Second, this entry can consolidate the highlights of each month's entries, and both have their own uses, so there's no issue of redundancy."
31,"""Diverging viewpoints""—the perspectives are not diverse enough. ""Unreasonable weighting""—the mainstream views of the Chinese Communist Party are certainly not among your evaluations, are they? ""Resist the temptation to label and moralize—readers may not accept your well-meaning attempt to tell them how they should think."""
32,"Oh, so you meant 'the new name has now taken effect'. The newspaper did not specify that 'the new name has now taken effect', so we cannot add it ourselves. Since no one suggested immediately using the new name at existing stations, I might have answered too generally and caused a misunderstanding."
33,"Because the symbol '◇' is not commonly seen in academic articles, the academic community has strict formatting requirements and prefers that people express things in a standard way. This kind of expression is more suitable for popular books on the market."
34,Keichō period. Change it to the Keichō era. Please add all the history prior to the Keichō period.
35,"Because the Korean and Mandarin pronunciations of '耎' are the same as '軟'. Wishnote - Stop mispronouncing it! Jeon Jungkook, Cha Hak-yeon..."
36,"Cncs changing the 'source' section to 'history and changes' is incorrect. In the original text, I only described the process of people's understanding of the source of the Yellow River, not the entire history and changes of the Yellow River. So I changed it back to my original edit."
37,"It is recommended to keep the original song title and note a reference translation. Translating song titles into English is quite difficult, and the translated names are often awkward. Even translations with sources often differ across various publications and cannot be standardized."
38,"To IP 103.122.22.21: As both a fan and a Wikipedia editor, I have done my best to maintain neutrality while editing this article. Regarding the incident involving Hyunjin, I personally believe it is still a fact that should be documented, and therefore I have added a separate section for the controversy."
39,"""Hongkongers First,"" as a group that speaks for Hongkongers, represents the views of a large number of Hong Kong internet users. Looking at major forums such as HKGolden, LIHKG, and Uwants, there is a lot of content praising the 'Uyghur warrior,' and many Hong Kong netizens have expressed happiness or approval."
40,"I'm really curious why Palau, a country that's only 40% the size of Hong Kong, is divided into 16 states. Hong Kong, which is two and a half times larger than Palau, is only divided into 18 districts. Its population is only one 340th of Hong Kong's, roughly equivalent to the population of 1.5 district council constituencies in Hong Kong."
41,"The full explanation of this policy should be: ""This policy does not restrict the content of everyday calculations""—clearly stated. ""For example, adding two numbers, unit conversions, age calculations""—these define the aforementioned 'everyday calculations'."
42,"Are you sure the sources for this entry are complete? The section 'Initial Organization (May 1919 - March 1920)' has almost no sources, and the section 'Military Conflict (March 1920 - March 1922)' also has almost no sources, so I oppose it."
43,"(Discussion) Amnesia → Memory loss: Request for reason. The content of this entry introduces memory loss, which is a general term for a group of symptoms with many possible causes. Amnesia is merely a type of temporary memory loss and should not be equated with memory loss as a whole."
44,"You are too paranoid. I already reminded you earlier not to generalize and use examples of people who only deal with Korea; yet you still used 'hiring a Korean translator' as an example, which means you didn't read a single word I said and were just eager to stick to your own opinion."
45,"Refined the introduction a bit: They have unique songs and often appear in poetry. → Their songs are unique and commonly found in poetry. Like other passerines, they are affected by internal and external parasites and are preyed upon by cats and birds of prey."
46,"This has already been discussed and archived on this page. Once the Netherlands government changes the Chinese name of their embassy, it's not too late for the Chinese Wikipedia to update it."
47,Please have the editor take a look at the Sega Saturn #reference section. The website provided by source number 8 has no content. Source number 37 is invalid.
48,"Sorry for bringing up Scientology, that was just a metaphor. Anyway, what I want to say is simply this: Toxicology is a natural science, it's something clear-cut, there is right and wrong. If I say that consuming creamer with melamine causes cancer, that would indeed be wrong and would go against my conscience as an intellectual."
49,"If 'Dir' is German, then it doesn't mean 'silver coin'. It is the dative case of 'you' in German. If you insist that it means 'silver coin', then it's not German, at least not standard German (maybe it's an old dialect of German, to be verified)."
50,"Thank you for your detailed explanation, I have benefited a lot from it. In fact, I have also refuted Mewaqua on the topic of logical fallacies using a similar approach. Overall, I basically agree with what was said above."
51,"1. When I first started writing this entry, it was meant to correspond to the English version. The key point is whether the term 'monarchical absolutism' in these documents is unique to the Chinese-speaking world, or if it corresponds to an English term. If it is unique, then we can consider creating a separate entry for it."
52,"In most Western shooting games, health is not represented by a health bar, but by how red the screen becomes. If the player's character continues to take damage, the screen turns increasingly red, and once it exceeds a certain level, the character will be knocked down or die."
53,"""Primitive accumulation"" and ""righteous anger"" are common terms. Primitive accumulation refers to the process of accumulating from nothing to something (just a little). Righteous anger can be seen in Lu Xun's article commemorating Liu Hezhen. ""Consecutive victories"" was a typo; I meant ""re-election."""
