,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u41039,我必须在此表明，我从未支持过那种意见。,3.0,3.0
1,u209075,巨浪将那艘失事的船只冲击得支离破碎.,1.0,1.0
2,u6930,我想我们还是来为新娘庆贺一番吧。,1.0,1.0
3,u146641,因为没有电机器就不能运转,1.0,1.0
4,u44099,抢劫银行，然后用水枪射击出纳员是违法的.--路易斯安那州。,1.0,1.0
5,u16393,老师走进教室后，学生们安静下来了。,1.0,1.0
6,u17714,他以前一直很懒，但他将改过自新，努力工作。,1.0,1.0
7,u184162,他们想顽固坚持。他们想依靠未来。,3.0,3.0
8,u179523,我真地想要找到孩童媒体的新方向,1.0,1.0
9,u37694,今天是印度第七大国按地理区域和第二个世界上人口最多的。,1.0,1.0
10,u60926,你们有没有25张一小包的那种航空邮票?,1.0,1.0
11,u41675,老师问到难题时，全班都沉默无言。,1.0,1.0
12,u133044,但一直无法很好地模拟出这是否可行,3.0,3.0
13,u67966,和以前相比，现在一国公民的想象力关系更加重大。因为作为个人而言，他们正是在他们自己的想象上行动更远、更快、更深，花费也更少。,2.0,2.0
14,u158475,接着他会用手摸遍书页,1.0,1.0
15,u138856,我们在东京附近做了标记，一个月之后，,4.0,4.0
16,u17420,组织是一组具有相同的一般机能的类似细胞。,1.0,1.0
17,u196513,那就是让人们更生动、更真实地设想未来,2.0,2.0
18,u4937,"尽管有我的呵护,这些凋谢的花至今仍经不起阳光。",3.0,3.0
19,u40852,我们应使国民经济不断增长。,1.0,1.0
20,u96860,来自于伊利诺伊大学的肯 萨斯里克和尼尔拉科。,1.0,1.0
21,u98328,"来自肌肉的信号说它没有手臂,对吧?",3.0,3.0
22,u108665,如果我在某次晚宴上喝到这种酒，,5.0,5.0
23,u111306,我的目的是紧密衔接这两个世界.,3.0,3.0
24,u37391,关键是要找到一个你信任的能关爱和理解病人的医疗专家。,1.0,1.0
25,u209662,我认为她比我们都聪明。,1.0,1.0
26,u7146,店员要轮流休息。,1.0,1.0
27,u70938,是什么推动了中国苯胺和硝基苯生产的增长呢?,1.0,1.0
28,u60657,该叶轮改善了涡轮分子泵的抽气性能。,1.0,1.0
29,u219520,经她叔父介绍，他让她担任了这工作。,1.0,1.0
30,u141015,这些相机安放在冰川边的岩石上，,1.0,1.0
31,u32726,午睡起来，它就极其显眼地在那儿，斜着，几乎不移动。,4.0,4.0
32,u13042,我们打算躺著晒太阳，晒上两个星期.,1.0,1.0
