,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,transitions,self_mentions,hedges,code_glosses,chronological_markers,adverbs_of_degree,attitude_markers,place_time_svo,engagement_markers,causal_markers,explicit_references,boosters,deontic_modal_words,always,therefore,situation_dependent_references,then,frame_markers,negative_connotations,self-mentions,evidentials,emotional_self_disclosures,positive_connotations,idioms,endophoric_markers,additionally,slang_and_colloquialisms,and,purpose,figurative_language,pleonasms
0,u207160,但是我们常常忽略了测试--比如，牛顿的地球引力定律,2.0,但是<transitions>我们<self_mentions>常常<hedges>忽略了测试--比如<code_glosses>，牛顿的地球引力定律,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u191528,基本上，这个系统包括两个部件,1.0,基本上<hedges>，这个系统包括两个部件,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u190284,路的两边躺满了马的尸体,1.0,路的两边躺满了马的尸体,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u109907,听胸腔和腹腔,1.0,听胸腔和腹腔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u85730,孩子们见到女王时，腼腆得话也讲不出。,1.0,孩子们见到女王时<chronological_markers>，腼腆得<adverbs_of_degree>话也<attitude_markers>讲不出。,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u91678,一年内搬一次或两次家。,1.0,一年内<place_time_svo>搬一次或两次家。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u20553,我们的每一个人，在人生的某些时候，都是非常孤单的。,1.0,我们的<self_mentions>每一个人，在人生的某些时候<hedges>，都是非常<adverbs_of_degree>孤单的。,0.0,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u146251,这使我想到，如果我们在阿富汗减少了70%的暴力事件，,4.0,这使我<self_mentions>想到，如果我们<self_mentions><engagement_markers>在阿富汗减少了70%的暴力事件，,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u128082,让他很不满意,4.0,让他很<adverbs_of_degree>不满意,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u192217,正如同大脑产生时一片混乱一样，,5.0,正如同<causal_markers>大脑产生时一片混乱一样，,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,u114590,40个州已经面临严重的护理人员短缺的局面，,1.0,40个州<explicit_references>已经面临严重的护理人员短缺的局面，,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,u32864,我爱电视游戏、电脑游戏，尤其喜欢修改游戏!,1.0,我<self_mentions>爱电视游戏、电脑游戏，尤其喜欢修改游戏!<boosters>,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,u82407,给我爱，让我微笑，直到生命的尽头。,2.0,给我<self_mentions>爱，让我<self_mentions>微笑，直到<chronological_markers>生命的尽头。,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,u76696,非英语母语人士为什么要在意英语母语人士的看法呢?,1.0,非英语母语人士为什么<causal_markers>要<deontic_modal_words>在意英语母语人士的看法呢<engagement_markers>?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,u18123,简总是等待比尔都等烦了，因此当他没按时来到时，她就自己离开了。,1.0,简<explicit_references>总是<always>等待比尔<explicit_references>都等烦了，因此<therefore>当他<situation_dependent_references>没按时来到时，她<explicit_references>就<then>自己离开了。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,u202694,没有人真的知道如何利用电脑制作短片。,1.0,没有人真的<boosters>知道如何利用电脑制作短片。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,u36729,探讨了双塔连续逆流操作的超临界萃取和浓缩天然维生素E的工艺路线。,1.0,探讨了双塔连续逆流操作的超临界萃取和浓缩天然维生素E的工艺路线。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,u17425,纳税人连自己所付税款的十分之一都拿不回来。,1.0,纳税人连<attitude_markers>自己所付税款的十分之一都拿不回来。,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,u162073,我这就要谈谈爱因斯坦，,1.0,我<self_mentions>这就要<frame_markers>谈谈爱因斯坦，,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,u16470,他讨厌老是做这份枯燥乏味的工作，可是找不到别的差使。,1.0,他讨厌老是做这份枯燥乏味的工作，可是<transitions>找不到别的差使。,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,u167390,劫持我们大脑的，是思想，不是虫子,2.0,劫持我们<self_mentions>大脑的，是思想，不是虫子,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,u129925,玛丽亚?卡拉斯17岁时便首次献唱托斯卡？,1.0,玛丽亚?卡拉斯17岁时<place_time_svo>便首次<chronological_markers>献唱托斯卡？<engagement_markers>,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,u49305,妓女已成为各地年轻姑娘仿效的主要社会形象 (埃伦古德曼),1.0,妓女已成为各地年轻姑娘仿效的主要社会形象 (埃伦古德曼<explicit_references>),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,u136902,因为，我在波士顿作这个演奏,3.0,因为<causal_markers>，我<self_mentions>在波士顿<place_time_svo>作这个演奏,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,u5822,他在一条装配线上工作或他是一名装配线上的工人。,1.0,他在一条装配线上工作或<transitions>他是一名装配线上的工人。,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,u119257,那个楼里有上百人工作－,1.0,那个楼里<place_time_svo>有上百人工作－,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,u109824,恐怖的是，不光我真写了,4.0,恐怖的是<frame_markers>，不光我<self_mentions>真<boosters>写了,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,u15627,她倒车时撞著了一棵树.,1.0,她<situation_dependent_references>倒车时<chronological_markers><place_time_svo>撞著了一棵树.,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,u4011,嘴上真君子，行动烂小人。,1.0,嘴上真<boosters>君子，行动烂小人。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,u131091,这个提示够吧，你们应该知道这个花样的套路了对么。。好,4.0,这个提示够吧<hedges>，你们<engagement_markers>应该<deontic_modal_words>知道这个花样的套路了对么<engagement_markers>。。好,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,u103393,在四维，五维或六维的世界里也不成立,3.0,在四维，五维或<transitions>六维的世界里也<transitions>不成立,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,u131963,而且对社会带来好处,2.0,而且<transitions>对社会带来好处,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,u197373,一个最佳家庭可持续发展建议奖,1.0,一个最佳家庭可持续发展建议奖,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,u121823,并且愿意跑长跑以及,5.0,并且<transitions>愿意跑长跑以及<transitions>,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,u44285,如属联名户口，所有户口持有人均须签署. 如属公司户口，请加盖公司印?,1.0,如属联名户口，所有户口持有人均须<deontic_modal_words>签署. 如属公司户口，请加盖公司印?<engagement_markers>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,u137371,他们本不应这么做，但他们还是想出了对策,2.0,他们本不应<deontic_modal_words>这么做，但<transitions>他们还是<transitions>想出了对策,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,u61512,弗洛伊德着力研究神经病，但他的结论与整个人类相关。,1.0,弗洛伊德<explicit_references>着力研究神经病，但<transitions>他的结论与整个人类相关。,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,u17420,组织是一组具有相同的一般机能的类似细胞。,1.0,组织是一组具有相同的一般机能的类似细胞。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,u196971,也许真正想说的是陈旧的和新颖的是辩证的，,4.0,也许<hedges>真正<boosters>想说的是<frame_markers>陈旧的和新颖的是辩证的，,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,u122482,因为我背后长着眼。 “,2.0,因为<causal_markers>我<self_mentions>背后长着眼。 “,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,u195122,我是说，这可以给你们一个比较--￡,5.0,我<self_mentions>是说<code_glosses>，这可以<deontic_modal_words>给你们<engagement_markers>一个比较--￡,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,u107881,我希望能做出像芭蕾舞这类的动作来，,2.0,我<self_mentions>希望能<deontic_modal_words>做出像<code_glosses>芭蕾舞这类的动作来，,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,u31931,预先配页同样对一些机器装订的活件不利。,1.0,预先<chronological_markers>配页同样<transitions>对一些<hedges>机器装订的活件不利。,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,u94701,这样要不严肃对待还很难,4.0,这样要不<transitions>严肃对待还<transitions>很<adverbs_of_degree>难,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,u85663,工人们举行罢工，反对资本家的残酷剥削。,1.0,工人们举行罢工，反对<attitude_markers>资本家的残酷<negative_connotations>剥削。,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,u44531,有了计算机就不必再做很多重复性的劳动。,1.0,有了计算机就<causal_markers>不必再做很多<boosters>重复性的劳动。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,u38917,苦瓜洗净.剖开.去籽.切大块，放入排骨内再蒸二十分钟。,1.0,苦瓜洗净.剖开.去籽.切大块，放入排骨内再<chronological_markers>蒸二十分钟。,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,u20357,例如在2000年初，牛津大学的研究人员合成了一种折纸模式叫作“水炸弹基地”来进行一种心脏斯滕特氏印模设计。,1.0,例如<code_glosses>在2000年初<place_time_svo>，牛津大学的研究人员合成了一种折纸模式叫作“水炸弹基地”来进行一种心脏斯滕特氏印模设计。,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,u141576,不管相关国家部分是否希望人们获得这些信息。,3.0,不管<transitions>相关国家部分是否希望人们获得这些信息。,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,u210165,警察向司机提出警告后就让他走了。,1.0,警察向司机提出警告后<chronological_markers>就<chronological_markers>让他走了。,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,u204781,尽管我们的人均经济提高了百分之八十。,3.0,尽管<transitions>我们<self_mentions>的人均经济提高了百分之八十。,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,u143673,"这是荷欣尼亚的交通要到,在埃斯特拉达,",4.0,"这是荷欣尼亚的交通要到,在埃斯特拉达,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,u195297,他们派人把鞋送了过来。,1.0,他们<situation_dependent_references>派人把鞋送了过来。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,u194122,这是一只掠食性螨-- 和蜘蛛螨一样小，,1.0,这是一只掠食性螨-- 和蜘蛛螨一样<transitions>小，,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,u1527,服药的最大优点是：除了暂时忍受一下令人作呕的味道外，对服药人别无其他要求。,1.0,服药的最大<adverbs_of_degree>优点是<frame_markers>：除了暂时<chronological_markers>忍受一下令人作呕<negative_connotations>的味道外，对服药人别无其他要求。,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,u100496,我们把你的等级,5.0,我们<self_mentions>把你的<engagement_markers>等级,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,u126377,第一个电脑是用笔和纸来设计的 - 现在我们用电脑来设计。,1.0,第一个<chronological_markers>电脑是用笔和纸来设计的 - 现在<frame_markers>我们<self_mentions>用电脑来设计。,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,u183391,我们也认识了一些新的传染病，它跟过去30年出现的流行传染病不大一样,1.0,我们<self-mentions>也<transitions>认识了一些新的传染病，它跟过去30年<chronological_markers>出现的流行传染病不大一样,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,u197977,? 是他把天使带到我身边 ?,4.0,?<engagement_markers> 是他<situation_dependent_references>把天使带到我<self_mentions>身边 ?<engagement_markers>,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,u163492,我认为，我们这间屋子理所蕴含的智慧,2.0,我<self_mentions>认为<hedges>，我们<self_mentions>这间屋子理所蕴含的智慧,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,u144544,但是，因为我做了这些出色的东西，于是我遇到一个问题,4.0,但是<transitions>，因为<causal_markers>我<self_mentions>做了这些出色的东西，于是<causal_markers>我<self_mentions>遇到一个问题,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,u53978,Radicati称，这将给选择哪种目录标准造成混乱。,3.0,Radicati称<evidentials>，这将给选择哪种目录标准造成混乱。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,u126827,拥有了所有这些技能。,1.0,拥有了所有这些<situation_dependent_references>技能。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,u39666,我虽然是个音乐爱好者，但对中国音乐了解甚少。,1.0,我<self_mentions>虽然<transitions>是个音乐爱好者，但<transitions>对中国音乐了解甚少<adverbs_of_degree>。,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,u62236,我从没有想过，有一天我能住在纽约。,1.0,我<self_mentions> 从没有<boosters> 想过，有一天<chronological_markers> 我<self_mentions> 能<deontic_modal_words> 住在纽约。,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,u83137,作为替代，这些孩子中有一些就会入学于那些被称为非正规或非正式的学校就读。,2.0,作为替代<frame_markers>，这些孩子中有一些就会入学于那些被称为非正规或非正式的学校就读。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
