,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u207160,2,1,2,6,2,3,5,1,2,1,1,1,1,1,1,1,3,1,3,1,1,1,2,2,2,3,4,1,1,1,5,1,2,1,1,"['present', 'future']",2,2,5,4,4,1,4,2,6,2,1,5,5,3,2,3,2,1,1,2,1,4,1,1,6,3,2,4,3,2,2,2
1,u191528,2,1,2,6,2,3,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,6,4,1,1,1,1,['present'],1,2,6,5,5,1,3,2,6,2,1,6,4,5,2,1,4,1,1,4,1,4,3,1,5,2,1,2,1,1,2,1
2,u190284,2,1,2,6,3,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,1,1,2,1,1,1,1,"['present', 'past']",6,6,2,5,2,2,6,3,6,1,5,5,4,6,6,1,1,3,3,1,2,2,3,1,6,5,6,1,2,1,1,1
3,u109907,2,1,1,6,1,3,7,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,4,1,1,7,3,1,1,1,1,['present'],1,1,6,5,2,1,6,3,7,1,1,6,3,6,5,1,2,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1
4,u85730,2,1,1,7,2,6,4,1,1,2,1,1,1,1,6,5,2,3,1,1,1,1,1,4,1,1,4,1,1,6,6,1,1,1,2,['past'],3,2,2,6,2,1,6,4,6,1,3,4,6,6,2,4,2,4,4,2,3,2,1,2,7,3,4,6,6,5,6,5
5,u91678,2,1,1,7,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,['present'],1,1,2,6,2,1,6,3,7,1,1,6,4,6,4,1,1,1,1,2,1,1,1,1,7,2,1,1,1,1,1,1
6,u20553,2,1,3,6,1,4,2,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,6,5,2,1,3,4,"['present', 'past', 'future']",2,3,5,4,5,1,2,3,6,1,4,4,5,5,2,1,2,1,1,2,1,3,1,4,6,3,2,1,1,1,1,1
7,u146251,2,1,2,4,1,2,7,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,3,4,1,1,5,4,2,1,1,2,"['past', 'future']",1,2,7,3,4,1,4,2,5,2,2,2,4,3,1,2,2,2,2,2,1,5,3,3,4,2,1,4,2,1,4,4
8,u128082,1,1,1,3,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,7,4,1,1,1,1,['past'],1,1,7,4,4,1,2,4,7,1,1,6,4,3,1,5,2,1,1,2,1,5,1,1,2,1,1,6,6,4,1,1
9,u192217,2,1,2,4,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,6,2,2,1,1,1,['past'],4,4,6,2,6,4,2,3,6,1,2,5,3,2,1,1,2,2,2,2,1,5,1,1,4,2,3,4,4,3,4,2
10,u114590,5,1,2,7,2,6,5,3,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,3,2,1,2,1,1,2,4,1,1,1,1,['present'],2,2,5,6,2,1,6,5,6,1,2,6,4,6,5,1,2,1,1,3,1,1,1,3,7,2,1,1,1,1,1,1
11,u32864,2,1,5,7,2,5,2,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,1,3,7,4,1,1,1,2,['present'],2,5,2,2,2,1,6,1,7,1,6,1,5,6,2,1,1,1,1,1,1,1,1,1,7,3,1,1,1,1,1,1
12,u82407,1,1,4,7,1,6,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,5,1,2,3,1,7,6,1,1,6,1,"['present', 'future']",4,6,4,2,5,3,2,2,7,1,7,1,5,6,3,1,1,1,1,1,1,1,1,3,6,5,2,1,1,2,1,1
13,u76696,2,1,3,7,1,5,4,2,2,1,4,4,1,1,5,3,6,1,1,4,1,2,5,4,2,1,4,1,1,4,4,4,6,2,1,['present'],1,3,2,3,5,1,2,4,7,1,2,6,5,6,3,5,1,1,1,1,1,2,1,2,7,5,1,3,1,1,1,1
14,u18123,4,1,1,7,3,6,3,1,5,5,1,1,1,1,1,1,6,1,1,4,1,1,4,4,4,1,4,2,2,2,4,2,1,2,3,['past'],4,4,2,5,2,2,6,3,6,2,5,2,4,6,5,1,2,6,6,2,5,2,1,2,7,4,5,5,4,6,5,6
15,u202694,2,1,2,7,1,5,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,3,3,1,1,1,['past'],1,1,6,6,2,1,6,3,6,1,1,6,4,6,4,1,2,2,2,2,1,2,1,1,7,2,1,1,1,1,1,1
16,u36729,3,1,1,5,2,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,6,4,1,1,1,1,['present'],1,1,4,6,3,1,4,6,6,1,1,6,4,5,2,1,5,1,1,6,1,4,1,1,5,2,1,1,1,1,1,1
17,u17425,2,1,3,7,2,5,5,3,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,6,4,1,5,2,1,4,2,2,4,2,1,present,2,3,5,5,5,2,2,3,6,1,4,5,4,6,5,2,1,1,1,2,1,2,1,2,6,3,2,1,1,1,1,1
18,u162073,2,1,2,7,1,6,6,1,1,1,1,1,3,2,4,5,4,4,2,1,2,1,2,3,4,1,4,1,1,6,6,1,1,4,1,"['present', 'future']",1,2,3,5,2,1,5,4,6,1,2,2,6,5,1,3,1,1,1,1,1,2,1,4,6,2,1,4,2,1,1,1
19,u16470,3,1,2,7,2,5,5,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,2,1,1,1,2,2,1,1,2,['past'],2,3,4,5,2,1,6,2,6,1,5,4,3,6,5,1,2,3,3,1,2,2,1,1,6,3,2,1,1,1,3,2
20,u167390,3,1,2,6,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,6,6,1,4,3,3,3,1,1,['present'],5,5,4,3,6,6,2,2,6,1,3,5,5,5,2,1,2,1,1,2,1,4,1,1,6,4,5,1,1,1,2,4
21,u129925,2,1,2,7,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,['past'],1,1,2,6,1,1,7,3,7,1,1,6,4,6,2,5,1,1,1,1,1,1,1,1,7,3,1,1,1,1,1,1
22,u49305,3,1,2,6,2,5,5,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2,2,4,1,1,['past'],2,3,4,5,2,1,4,4,6,1,3,5,2,6,6,4,2,1,1,2,1,1,1,1,6,4,2,1,1,3,1,1
23,u136902,2,1,4,6,2,3,7,1,1,3,1,1,1,1,1,1,4,1,1,2,1,1,3,1,1,2,6,1,1,6,4,1,1,1,3,['past'],1,2,6,5,3,1,4,2,6,1,1,2,4,5,2,2,1,1,1,1,1,5,1,1,3,2,2,2,1,1,1,1
24,u5822,3,1,1,7,1,6,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,1,1,5,7,5,1,1,1,1,['present'],1,1,2,7,1,1,7,3,7,1,1,7,5,7,5,1,2,1,1,2,1,1,1,1,7,1,1,1,1,1,1,1
