,utterance_id,english_utterance,chinese_utterance,english_avg_labeled_utterance,chinese_avg_labeled_utterance
0,u41039,"To set the record straight, I must say now that I never supported the idea.",我必须在此表明，我从未支持过那种意见。,1.0,3.0
1,u209075,The huge waves battered the wrecked ship to pieces.,巨浪将那艘失事的船只冲击得支离破碎.,1.0,1.0
2,u6930,I suppose we shall be having some sort of celebration for the bride.,我想我们还是来为新娘庆贺一番吧。,3.0,1.0
3,u146641,Because her machine doesn't work when there's no power.,因为没有电机器就不能运转,1.0,1.0
4,u44099,It is illegal to rob a bank and then shoot at teller a water pistol.,抢劫银行，然后用水枪射击出纳员是违法的.--路易斯安那州。,1.0,1.0
5,u16393,The class sobered down as the teacher came into the room.,老师走进教室后，学生们安静下来了。,2.0,1.0
6,u17714,He has been very lazy but he is going to turn over a new leaf and work hard.,他以前一直很懒，但他将改过自新，努力工作。,1.0,1.0
7,u184162,"They want to hunker down, they want to look to the future.",他们想顽固坚持。他们想依靠未来。,2.0,3.0
8,u179523,I really want to come up with new ways of children's media,我真地想要找到孩童媒体的新方向,1.0,1.0
9,u37694,Today India is the seventh - largest country by geographical area and the second most populous the world.,今天是印度第七大国按地理区域和第二个世界上人口最多的。,1.0,1.0
