,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,place_time_svo,transitions,chronological_markers,adverbs_of_degree,causal_markers,deontic_modal_words,explicit_references,evidentials,frame_markers,situation_dependent_references,code_glosses,engagement_markers,negative_connotations,boosters,endophoric_markers,hedges,self_mentions,attitude_markers,figurative_language,idioms,positive_connotations,pleonasms,also,during,but,slang_and_colloquialisms,in_addition,even,then,self-mentions,you,in_advance,consider,even_though,as_long_as,and,can,emotional_self_disclosures,in_the_same_way
0,u290204,星期四的亚洲股市涨跌互见，欧洲的绝大多数股市早盘有所上扬，但是最后都以跌势作收。,1.0,星期四的<place_time_svo>亚洲股市涨跌互见，欧洲的绝大多数股市早盘有所上扬，但是<transitions>最后<chronological_markers>都以跌势作收。,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u92498,戒掉坏习惯很难，所以最好用好习惯代替不想要的习惯。,1.0,戒掉坏习惯很<adverbs_of_degree>难，所以<causal_markers>最好<deontic_modal_words>用好习惯代替不想要的习惯。,0.0,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u286636,美国房市的困境去年8月蔓延到全球金融市场，造成严重的信贷紧缩和数百亿美元的银行损失。,1.0,美国房市的困境去年8月<chronological_markers>蔓延到全球金融市场，造成<causal_markers>严重的信贷紧缩和数百亿美元的银行损失。,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u350426,朝鲜中央通讯社说已经开始准备对其进行起诉和审判。,3.0,朝鲜中央通讯社<explicit_references>说<evidentials>已经开始<frame_markers>准备对其<situation_dependent_references>进行起诉和审判。,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u381070,虽然，她的电影作品多为人熟知，但她也曾成功塑造过一些经典的电视剧角色，比如《射雕英雄传》中的黄蓉，《大明宫词》中的小太平。,2.0,虽然<transitions>，她的电影作品多为人熟知，但<transitions>她也<transitions>曾成功塑造过一些经典的电视剧角色，比如<code_glosses>《射雕英雄传》中的黄蓉，《大明宫词》中的小太平。,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u366209,晚上，哈里·杜鲁门喜欢坐在一张旧摇椅上。,1.0,晚上<place_time_svo>，哈里·杜鲁门<explicit_references>喜欢坐在一张旧摇椅上。,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u389066,吃些你喜欢的东西，像巧克力蛋糕或者冰淇淋。,1.0,吃些你<engagement_markers>喜欢的东西，像<code_glosses>巧克力蛋糕或者冰淇淋。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u164486,邪恶,5.0,邪恶<negative_connotations>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u257635,最安全的办法就是朝一个方向航行直到你又回到出发地。,1.0,最<adverbs_of_degree>安全的办法就是<boosters>朝一个方向航行直到<chronological_markers>你又回到出发地。,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u424935,中国石化集团目前在西部非洲控制着500多万吨的石油。,1.0,中国石化集团<explicit_references>目前<chronological_markers>在西部非洲控制着500多万吨的石油。,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
