,avg_labeled_utterance,frame_markers,situation_dependent_references,chronological_markers,explicit_references,code_glosses,transitions,causal_markers,adverbs_of_degree,hedges,place_time_svo,self_mentions,boosters,engagement_markers,attitude_markers,deontic_modal_words,endophoric_markers,evidentials,figurative_language,idioms,negative_connotations,positive_connotations,emotional_self_disclosures,slang_and_colloquialisms,pleonasms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.013364761867472354,0.02304439108584669,0.0014301536635792707,0.0009361586821286967,0.03795669411686839,0.0723545071724881,0.05953841922450066,0.01268141667501874,0.07465406106749425,-0.027519588791375296,0.08505072798873325,0.06975779273967828,0.1196504718867247,0.06115389913734908,0.016604022718863923,0.005524254133516684,-0.00487744850471168,0.04521976016829581,0.0018387663519191463,0.012983453719644438,-0.006596767488579946,-0.007201841720530857,0.03455329357662672,-0.016694109405968247,-0.3227654237607612,-0.022493281506477093,0.09734812456115172,-0.41549645123761547,-0.22078724243445924,-0.44395621628502235,0.4530011702850276,-0.005155274000396807,-0.058361641946061506,-0.008462058941185707,0.04516345993055825,0.026681602229969265,-0.03136052434087735,-0.0140608518189852,0.01631182833569245,-0.053077760213103564,0.004352603579907861,-0.008917972102011904,-0.019157207962768767,-0.032208784601643475,-0.04077934986929018,-0.03461965023349123,-0.03273975476329215,-0.01623897643677899,-0.03341347924255393,-0.11191498625457359,0.4099692027733615,0.137515301422605,-0.0028382161880952336,-0.005912806990057244,-0.15193508245005186,0.09600410466964804,0.09423154953146169,0.006527981196669004,0.008307246780129219,0.04479498562760566,0.08193875689822179,0.3933855287091318,-0.38650519911021536,0.2166044340551143,0.15227499527851543,-0.2923916394062838,-0.2561871813158591,-0.04366094817823451,-0.04238136657647774,0.13808763505726435,-0.16995636790699373,-0.168537063365433,-0.33227691411970245,-0.053021351158004514,0.09436459876603952,-0.2603834117068963,-0.01017183258640086,-0.011565954585771513,-0.2720308385058057,-0.007227926417466645,0.34686637856156477,0.18182574545313474,-0.07466798350746764,-0.4902831348164675,0.08491264703323785,0.06386138318836232,0.0913141069526623,0.0005222144771788984,-0.03393435062099017,-0.01044732740074827,-0.03427901996874077
frame_markers,0.013364761867472354,1.0,-0.03210190528898284,0.030694645903359675,-0.042017723574380016,-0.032920666260093254,-0.03197023670925651,-0.03476163340362801,-0.03227816308566724,-0.024227361777817577,-0.05083450748805855,0.09499995232852361,0.022050373211725625,0.031287849335470234,-0.022814780012380385,-0.009309090313444861,0.016851974269164408,-0.018964131397323475,-0.019183883285299526,-0.01062104771118832,-0.0031852285277934474,-0.012520657095373517,-0.00945911402924812,-0.011095452787837745,-0.006068925061360762,-0.06305968067550982,-0.005553682336983595,0.02970518382859771,0.017981121219006073,-0.0673198386794974,-0.04075740733896114,0.07673731585177161,-0.023652932600695058,-0.03471597157171421,-0.03146417126835214,-0.03142051744963865,-0.02491784855781654,0.02494807650204865,0.020474696898837498,0.006333529751198801,0.0183888985236957,0.07003429672134935,0.026127187022181093,0.009065838807382683,0.017131619137879528,0.016739938841416165,0.013803510982899263,0.02374609177126237,-0.03550472074810537,-0.0068952232885863,0.07785842528882604,0.016880881703231543,-0.03136498367399691,0.01847046830681565,0.025680638542235772,0.03416326613933565,0.0004028208192158704,-0.021097110213522063,0.019849615741124895,0.010265389258869825,-0.057940572949099794,-0.04318779647927429,0.07113159982788443,-0.014368108751415812,0.04223300163708337,-0.027722770773907206,-0.07244812337869624,-0.02129969424716581,0.02143405167450811,-0.020849341047985928,-0.006208706197111811,-0.06917295305243774,0.015847711128279863,-0.0012846098253578128,-0.02988070086523629,-0.022660096263116557,-0.05089438949074255,-0.020839350198815464,-0.0204725784540006,-0.049237928678874034,-0.013768643747991974,0.005859903529153557,0.05067294193502906,0.03380655654888122,-0.002667348050050149,0.003901063348744609,-0.04416459335543908,0.01864365510776977,0.010905899117087562,0.01769346472101237,0.0237614107414887,-0.04785725963199851
situation_dependent_references,0.02304439108584669,-0.03210190528898284,1.0,-0.013029124284008991,0.07350517372588743,-0.024631895558510142,-0.032157268417878755,-0.023012660115941972,0.03292935222268624,0.003619039552262692,0.0031891508461211614,-0.01784448861960473,-0.00639665319831506,0.07110923239306069,0.04198516077006179,-0.010768396488216132,-0.034422422745271165,0.014565884685775696,-0.002233209295801961,0.020007996413184036,0.027690250119421764,0.03356481878835629,-0.010209709144299745,0.005955092902060327,-0.006866062376380697,-0.08032726464893167,-0.0480058528497009,-0.047280346378636824,0.024046815172353055,-0.08589885501515036,-0.015875294505876006,0.05259125869898185,-0.0598321006546948,-0.07725496163489533,-0.015815286752224357,-0.040109989364514716,-0.03478001899512793,-0.012250528845517753,-0.0025763058648168254,-0.002052361187942856,-0.0064070839049063695,-0.012762523604918502,-0.01571386933526008,-0.009431683709951502,-0.02061277051125378,-0.018305188795121375,-0.026942779626202704,-0.013731699517650145,-0.029721336173734906,-0.00840822654380114,-0.01382611413444518,0.00036731114918752393,-0.019994296971126035,0.007083025566262433,0.02350110189977882,-0.024105506850123262,-0.04268007418932477,-0.05855835029745538,-0.02652013886710731,-0.02558783644424561,0.006428501881662496,-0.02313716226608985,0.05232589654244264,0.003631444911008731,-0.030582730870656716,-0.01498043902044662,-0.0012685634636473654,-0.0762997242470261,0.08586660949978672,-0.07119505881241077,-0.0014022272703773848,-0.010438208176363217,-0.0369515077264171,0.041101844915572595,0.015260814617050837,-0.06711658533866426,-0.09924888179044611,0.012150360122985697,0.012324284507397408,-0.10188014304544288,0.01448872477925507,-0.02405310188205599,-0.005764228360616445,-0.027520092646464423,-0.0027326970508548616,-0.04252747244281831,-0.008608063407762302,-0.04553724306725236,-0.018705081678245857,-0.019644320586815145,-0.07279213246688096,-0.06041322163958102
chronological_markers,0.0014301536635792707,0.030694645903359675,-0.013029124284008991,1.0,-0.01755457090575135,-0.01708467157717628,-0.04722272620102959,-0.012393254953297706,-0.035462001210046924,-0.02910759685208804,0.007702158872761502,-0.0038133608737666268,-0.026411239834108004,-0.02185068439232222,0.008217510843535033,-0.02908890463957578,-0.0007251296965283373,-0.012029514657176523,-0.01082397177562063,-0.02103345518557487,-0.012111487297490372,-0.014668617740565467,-0.019987253762459876,0.006877964715908636,-0.000554301549230474,-0.017138872622132355,-0.03187659061671395,-0.05134955064358913,0.018269038789662267,0.0003737643360065434,-0.030684536920283244,0.025397813621168566,-0.08267107205038614,-0.05995839254704363,0.0736534749609264,-0.04662885869476356,-0.037435578032067346,-0.0535433725238494,-0.03588512762439414,-0.014553295078139175,-0.018885373567441188,-0.019874645573362767,-0.033559929043239796,-0.024678635060762174,-0.006014649912007693,-0.03522545466096461,0.003975026729800577,0.0015975809148796487,-0.02800965842880546,-0.031222118851512746,-0.005216796208410527,0.004504514248088165,-0.0027575719648310903,-0.0301342578888228,0.029038837583687565,-0.02487912745634006,-0.04777353236068295,-0.0724867007742745,-0.05701361455354554,0.018061426432652464,0.009812733707041733,-0.029300659325050195,0.022248023068443798,0.03394003059562546,-0.0606727038871685,-0.005154966667959615,0.04792319499132882,-0.03298239049549998,0.035191051761983845,-0.046305889939442464,-0.02069803106878588,0.0029187059725160583,-0.028452881707399163,0.003800187279629718,-0.006720886927092577,-0.03155085546290987,-0.03388909579029187,0.11105112807423768,0.11028674501560494,-0.03380710311677156,0.09210972892766797,-0.01964131132595674,0.054315412957732866,-0.054991719816724266,0.009639254345578595,-0.036801069509653256,0.03278440097886988,0.120167706558421,0.1605374524586938,0.3306900673932688,0.18490510931342835,-0.005350143633537429
explicit_references,0.0009361586821286967,-0.042017723574380016,0.07350517372588743,-0.01755457090575135,1.0,-0.041045801937289766,-0.09263532636626516,-0.06891535382954482,-0.02555922799063631,-0.0680315132344517,0.04886161182193623,-0.04509628710479334,0.011069485007826872,-0.02374495481472681,0.0005886603785833185,-0.015402895582855758,0.00821883942278925,0.0052898829912522835,0.0005983527466297176,-0.0067823040917964665,-0.01204761684241823,0.009137441862305282,0.007727496312394368,-0.008692073708523275,-0.009860191973965152,-0.032783562549139326,-0.0707170801912785,-0.06842750121320568,0.06025074314063358,-0.059685983514677396,0.020544588525202537,-0.003460784115803761,-0.09648999566187054,-0.12354675210385234,-0.031121606690035084,-0.03596914534098237,0.013444803085138821,-0.04839601301805912,-0.04849661103061744,0.08221531927179021,0.07559176435710592,-0.04844220511173779,-0.029031191481024118,-0.015866510009460502,-0.044877465195987565,-0.03507647891036994,-0.05219517000558483,-0.0638204920268732,-0.009171960325886092,8.668435307167466e-06,-0.04703082704967484,-0.06508316886167531,-0.04487152083760894,-0.017044917465319866,0.046017306411428795,-0.008113736558838123,-0.07972057644290372,-0.0652985425321654,-0.04424551948431324,-0.020213242899159392,-0.03387025723896258,-0.05877794830693541,-0.02030128799118028,0.059699536852577534,-0.10276749489207998,-0.04738528354290722,0.07235937993118159,-0.005564274715339947,0.08853956676931952,-0.08950621771630746,-0.02986052692486226,0.022255457281159564,-0.027943835731999173,0.08966512468052862,0.005916483989055664,0.06341000184588404,-0.0743066317246165,0.01915901755062409,0.020141814496110206,-0.07216064221766544,0.019266281872932375,-0.08946675161013182,0.0016610142126335474,-0.052102568187277744,0.053659036825287214,-0.05698234340482392,-0.057903168259301536,-0.06149170769856635,-0.003461034818633047,-0.02839747712241234,-0.08736511634799927,-0.11629593121700797
code_glosses,0.03795669411686839,-0.032920666260093254,-0.024631895558510142,-0.01708467157717628,-0.041045801937289766,1.0,-0.02231039650827302,-0.027864394800302957,-0.030711658363076544,-0.014435238914849952,-0.02340510387365792,-0.024958907100370936,0.029166029762857777,-0.035810370935267725,-0.023225664075124903,-0.019058983447994098,-0.012340259276348743,-0.021677434518068556,-0.00986237981933993,0.0013172400765720713,-0.011056484612359535,-0.014468439244480118,-0.010172793374313198,-0.012577296812483438,-0.004076110469970027,0.05384850261612063,0.039929001168389835,-0.0186091923779623,-0.037322815422523664,0.04720821512440159,-0.01536845049937579,-0.01354117833480645,0.012292066220032783,0.04178792726805287,-0.029341468327930557,0.006023386810803061,0.013959994543421235,-0.025169249167201316,-0.026693663514005577,-0.029959780016309463,-0.013755521346580956,-0.0340979123663171,-0.010765060141395395,-0.0013809269614182035,-0.010664935338560319,-0.010891167702241623,-0.0018490530436066639,-0.025063168047953877,-0.0028080738921662323,-0.003827129120834749,-0.013651856045873559,0.0010958845180562334,0.006205831895066174,-0.002506037091367027,-0.002853465623171575,0.0034258682057023253,0.0033488170393118155,0.013621611047889951,-0.00832558154955618,-0.02797141939679782,-0.02449841898839161,-0.03246693236948679,-0.0037063217259217314,0.008541818642550464,0.009341635986351892,0.004726545924203446,-0.0017678170039315915,0.017910288613590706,-0.055931540770922085,0.02440950591940974,-0.06694881128423452,0.044104478463700914,0.02541315585287023,-0.03064938457891425,-0.020677430240757765,0.023200605059273557,0.06359618148813755,-0.04857034474136279,-0.04858087092896156,0.06807208796250494,-0.037694678504517624,0.024472138912072963,-0.009677373834552324,-0.011821931089303704,-0.025082516646714473,-0.026925446040770334,-0.0013588976820637514,0.013547384665590642,-0.019791131072687845,-0.03289306197243824,-0.001302715981832722,-0.0033577133185355794
transitions,0.0723545071724881,-0.03197023670925651,-0.032157268417878755,-0.04722272620102959,-0.09263532636626516,-0.02231039650827302,1.0,-0.07257406720080353,0.022093929112416234,0.000952238493197587,-0.043387992664913895,0.016619719183877474,-0.019540266659297142,-0.029276200036625358,0.01730749823490766,0.021400134159179438,-0.027371311007223387,-0.03904766030670219,-0.025978549321846674,-0.016827074047478276,-0.012072150828715426,-0.010512867556905,-0.021254685975967608,-0.012370098007028834,0.013357772457379916,-0.045481032116196037,0.016490535546232678,0.033260587472272424,-0.01381719510355717,-0.033342140257195355,-0.042004778588059476,0.04262870141341971,0.020134144550525295,0.02439709984285492,0.0028637203588531106,0.0027974627223964986,-0.01887895409339259,0.017492598591371613,0.03154473439188142,-0.03782235328327535,-0.043089830526750056,0.01396281650798658,3.51171433937055e-05,0.0042737291569827736,0.017722079424944474,-0.005763632910730626,-0.003307687473567156,0.01600373531571243,0.004735870213559727,-0.014474641773991746,-0.014451884790153921,0.062161637448251185,-0.00794772837465086,0.0021236931194987796,-0.010493674126558205,0.00886587633143651,0.06142815821046419,0.02546708416991523,0.03592246456998267,0.014501233242989285,-0.01609375414369332,0.016188541982070582,0.04603087254413153,-0.04057212314585335,0.018110336736933342,-0.008154793831959254,-0.03150695043175884,-0.05796727794660135,-0.049323978900787165,0.01699485291139312,0.02071043735088162,-0.04168519105050646,0.013749525939948496,-0.05774465693640056,-0.00995246346448227,-0.030876647372156955,-0.03437459792328604,-0.021527435163912676,-0.02067227985031511,-0.033948304277771756,-0.01675805018063726,0.07791371502405776,0.04313522381976191,0.002939715799292137,-0.04337310304754212,0.004196646575599024,0.007748012159437659,-0.020684274721155707,-0.046702983391230274,-0.006534227044203696,0.10842834992085278,-0.010031523926271378
causal_markers,0.05953841922450066,-0.03476163340362801,-0.023012660115941972,-0.012393254953297706,-0.06891535382954482,-0.027864394800302957,-0.07257406720080353,1.0,0.03756169917641333,-0.03330683550429717,-0.041732641832433984,0.035882816740460684,-0.021536203874605416,-0.002208114213928698,-0.00425982615197393,-0.0022707259850651518,-0.010255630480052366,-0.03046303193597528,-0.021200265898905706,-0.01786978787334201,-0.009778594669350032,-0.011313508773012768,-0.016454867705859536,-0.004010827982091388,-0.010105968796224453,-0.015597164024798273,-0.002575323160886878,0.009751949309723312,-0.03184662352813285,-0.03529343647170873,-0.021007445276020414,0.021334416660940863,0.04904513695292597,0.1547317767871459,0.01209629383672326,-0.008508563074824595,-0.015983121901195937,-0.0001327847661774982,-0.005978351427496831,-0.02012580728165633,-0.034140880048194315,0.07301447707761853,-0.009889697512575697,0.004851619187370161,0.04707008125386935,0.0012385587118217676,0.019949733687453657,0.05803455837333853,0.0809561461041702,0.026296286087707583,0.006378918652972027,0.0405043079882168,-0.017350626922659033,-0.011976978121114219,-0.009766334114666632,-0.0015154629131199126,0.03299070074446261,-0.007255727610114479,0.0047260991765355215,-0.00015855463986401424,-0.013763165217750088,-0.0017417304047783926,0.03448518215893035,-0.007927581536512008,0.03282251384485091,-0.014834116573461417,-0.038113990915247566,-0.030401074755029185,-0.012912039283396074,-0.004953779638829842,-0.005633550921348404,-0.012023432840387156,-0.006612079255648202,-0.03722965317574729,0.013406633995663681,-0.04170941925575509,0.012772679557011531,0.006431676564768657,0.006509356431421494,0.011941680384010308,-0.004328184135744722,0.04551311017147982,-0.0007323816484406407,-0.0007463957044627896,-0.030944289162589952,-0.021367942360592015,-0.018607731908540277,0.053502585793441325,-0.021367554445358945,0.02530492599313571,0.13181683110956194,0.369071291792702
adverbs_of_degree,0.01268141667501874,-0.03227816308566724,0.03292935222268624,-0.035462001210046924,-0.02555922799063631,-0.030711658363076544,0.022093929112416234,0.03756169917641333,1.0,0.05680199330497691,-0.020098479535850894,0.0236870263617651,0.07284547634459011,-0.0037861436546524577,0.11478800154946019,-0.007951272228695228,-0.008044330192757363,-0.024810940601237074,-0.005684259596636217,-0.010500147364640515,0.044500476253289775,0.01680168543437946,0.01644035699987817,-0.012383903418209037,-0.0007680014585366975,-0.11939361498765953,0.0014381578486156014,0.06536360776484412,0.03298263814107761,-0.08754143571134317,-0.021971178710295705,-0.0029895946150050585,0.02230275094577196,-0.03288122497484018,0.0030397371017470798,-0.0163160324296826,-0.05456841828966635,0.04896725449107001,0.0394763117786991,-0.05868229065081028,-0.04074938975170682,0.03636732152064028,-0.00349042773253047,-0.03168230431787503,0.0006204981082722023,-0.006347421777962895,0.010445337638874732,-0.007021277334830412,-0.036059061124216175,-0.0462764526947752,-0.0625994616959918,0.06347072622378716,-0.0184252950603983,0.015922775010142515,0.004277073703487466,-0.01417442149142131,0.03822092609604944,0.0005781946610133067,0.007498810823272017,0.007104473869995565,0.028034687281548804,0.09218184710329652,0.06558044266000204,-0.11194822710613461,0.034116161525603664,-0.023009748833823614,-0.08711024803207575,-0.12411437001904933,0.0574938896117394,-0.03890076536601435,0.13901294180869966,-0.10712905581387984,-0.018451809342074636,-0.019837793270907084,0.009406674715293951,-0.07422566262238975,-0.1172525561163376,-0.0209165813931863,-0.020372459978885638,-0.11696465840970012,-0.01511058636283236,0.032442155536815724,-0.022146808878051205,0.001765406850717021,-0.0035926408060351824,0.03266273514058002,-0.023805008194324247,-0.056363338874425586,-0.047110827791567514,-0.058184729354330694,-0.048417952352982054,-0.018789100610726927
hedges,0.07465406106749425,-0.024227361777817577,0.003619039552262692,-0.02910759685208804,-0.0680315132344517,-0.014435238914849952,0.000952238493197587,-0.03330683550429717,0.05680199330497691,1.0,-0.05774986797452203,0.11857202261504307,-0.01360002458316061,0.0002976647192947283,0.034071251369843826,-0.01234309525346155,-0.017145213701250443,-0.026216738896580792,-0.010933966116099862,0.001316275845554482,-0.012653952385024612,0.026598059987700595,-0.00796912322885804,0.020763557137256174,-0.005324442948605944,-0.06772800272787087,0.027966801735133707,0.08776255508126592,-0.008312445603715336,-0.05587208118713725,-0.10233888934666481,0.05270663546255589,0.014665205961690478,0.0032018336507244035,0.005016986776873631,-0.02198715777284983,-0.02862578618202734,0.03951463278030785,0.046400652322959215,-0.051213477848600565,-0.0353400617712281,0.033527859231185564,0.008477971393326664,-0.005645404920584159,-0.009976422766809703,-0.020659700321765097,0.011143555346913518,-0.01990453345856997,-0.019400946721938976,-0.018774253833206737,-0.07491803198153961,0.10852263988577858,0.01678521457169483,-0.01106536883266123,-0.01734773305960525,0.022796347847177746,0.12682547951753365,0.02764720890062565,0.0668310345203966,0.03213543570968553,-0.014720969376655874,0.019624956356608006,0.12351143769583305,-0.13275181867797398,0.07807861501378695,0.018897697782084822,-0.11159889928217237,-0.09903591595167754,-0.0037700100045655284,-0.010779288312122222,0.041510483324946335,-0.11048116181290861,0.04913166433422361,-0.1369353242616183,-0.07868793106763768,-0.038577232561771764,-0.07358697365521723,-0.04831084111179865,-0.04834806794338593,-0.07280912539422651,-0.0403659087327949,0.1755153664348793,0.0119233610572408,0.009567697313001665,-0.06505603639175048,0.009167258976519183,-0.016419135809530215,-0.01962413712513666,-0.04179509903581588,-0.05732271913445258,-0.027475435183076106,-0.01786052115266828
