,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,transitions,causal_markers,place_time_svo,explicit_references,evidentials,hedges,code_glosses,situation_dependent_references,engagement_markers,negative_connotations,boosters,self_mentions,deontic_modal_words,attitude_markers,idioms,endophoric_markers,chronological_markers,frame_markers,adverbs_of_degree,positive_connotations,slang_and_colloquialisms,emotional_self_disclosures,figurative_language,pleonasms
0,u290204,"While Asian markets were mixed, all major European markets reversed early gains and finished with losses.",1.0,"While<transitions> Asian markets were mixed, all major European markets reversed early gains and finished with losses.",0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u92498,"Stopping something cold turkey is hard, so it's best to replace the unwanted habit with something positive.",1.0,"Stopping something cold turkey is hard, so<causal_markers> it's best to replace the unwanted habit with something positive.",0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u286636,"The troubles in the U.S. housing sector spilled over into global markets last August, causing a severe contraction in credit and billions of dollars in bank losses.",1.0,"The troubles in the U.S. housing sector spilled over into global markets last August<place_time_svo>, causing<causal_markers> a severe contraction in credit and billions of dollars in bank losses.",0.0,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u350426,The Korean Central News Agency (KCNA) said preparations were under way for indictments and a trial.,3.0,The Korean Central News Agency (KCNA)<explicit_references> said<evidentials> preparations were under way for indictments and a trial.,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u381070,"Although she’s mostly known for making movies, Zhou Xun has portrayed a couple of classic TV characters, such as Huang Rong in Legend of the Condor Heroes and the young Princess Taiping in Palace of Desire.",1.0,"Although<transitions> she’s mostly<hedges> known for making movies, Zhou Xun<explicit_references> has portrayed a couple of classic TV characters, such as<code_glosses> Huang Rong<explicit_references> in Legend of the Condor Heroes<explicit_references> and the young Princess Taiping<explicit_references> in Palace of Desire<explicit_references>.",0.0048543689320388345,0.0,0.0,0.024271844660194174,0.0,0.0048543689320388345,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u366209,Harry Truman loved to sit in an old rocker in the evenings.,1.0,Harry Truman<explicit_references> loved to sit in an old rocker in the evenings<situation_dependent_references>.,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u389066,"Eat something you like, be it a chocolate cake, or an ice-cream.",1.0,"Eat something you<engagement_markers> like, be it a chocolate cake, or an ice-cream.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u164486,1.evil; wicked; vicious; immoral; devilish; foul; sinister 2. debauchery,1.0,1.evil<negative_connotations>; wicked<negative_connotations>; vicious<negative_connotations>; immoral<negative_connotations>; devilish<negative_connotations>; foul<negative_connotations>; sinister<negative_connotations> 2. debauchery<negative_connotations>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u257635,The safest way is to sail in one direction and not stop until you’re back home.,1.0,The safest way is to sail in one direction and not stop until you’re<engagement_markers> back home.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u424935,The Sinopec group currently controls more than 5 million tonnes of oil in western Africa.,1.0,The Sinopec group<explicit_references> currently controls more than 5 million tonnes of oil in western Africa<explicit_references>.,0.0,0.0,0.0,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
