,avg_labeled_utterance,transitions,self_mentions,hedges,code_glosses,chronological_markers,adverbs_of_degree,attitude_markers,place_time_svo,engagement_markers,causal_markers,explicit_references,boosters,deontic_modal_words,always,therefore,situation_dependent_references,then,frame_markers,negative_connotations,self-mentions,evidentials,emotional_self_disclosures,positive_connotations,idioms,endophoric_markers,additionally,slang_and_colloquialisms,and,purpose,figurative_language,pleonasms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.10811181871088524,0.15413144681558663,0.11976274859095024,0.11595966907238946,0.05017404957399269,0.027157729155814547,0.04524675877777258,0.018063693493637737,0.09430939650744946,0.06338351950074285,-0.03244330434745991,-0.007674999563199185,-0.01615235512840379,-0.022000011000008226,-0.022000011000008226,-0.01313401817363948,-0.022000011000008226,0.07571020202558118,-0.031188034856260195,-0.022000011000008226,-0.002646892235762087,-0.025984457565445835,-0.021944881887498723,-0.007648366890484153,0.015868359095202993,0.0030000015000011446,-0.004105220949727281,-0.022000011000008226,-0.022000011000008222,0.02540207129017447,-0.024187757410376896,-0.43763109389783444,-0.06383809098854856,0.07212808052462173,-0.6402614678299491,-0.3273492295005218,-0.6878063265550596,0.5952163122480992,-0.0786992487752824,-0.06914638969683455,-0.019599624389155725,-0.047036133751074634,-0.005359391131250346,-0.0542213292812806,-0.0315220617470805,-0.04789426715291038,-0.1444466064960702,0.026535893141052053,-0.07371224654508911,-0.033225640247821445,-0.01575224269139497,-0.10268477507249184,0.0027151191898682567,-0.05270750260983575,-0.06956162373687251,-0.041564287084426624,-0.16043408097338638,0.5653485465453666,0.17666012735244688,-0.05852873520285652,0.009857383312522906,-0.17129664386990887,0.17545890492511987,0.03829591158939757,-0.002912745254430264,0.052766826020672924,-0.009902453018101118,-0.004319687010096842,0.6140225700419362,-0.5037303015685659,0.3685527077329673,0.18500471771931493,-0.43337404210168406,-0.2521923246531688,-0.1541869762294168,-0.03810412538445208,0.027687180580218622,-0.16113929819724454,-0.17883203779189888,-0.5643054928126243,-0.2573520305366659,0.03121256147952886,-0.31069173542676604,-0.00928133886462332,-0.014555781788641255,-0.31525827319905764,-0.026493246007990145,0.5968417781500708,0.3441470337268909,-0.1250289360245066,-0.6833307584295137,0.03023507756253214,0.07017104133780816,0.29619237576717283,0.12882150986204147,0.029338479836788067,0.09149899433354422,0.02602350885811883
transitions,0.10811181871088524,1.0,0.020266428490965552,0.020222256051487742,-0.02059009314109011,-0.04112368099745234,0.014963350061442853,0.018920653625020312,-0.1201464585724667,-0.06078004039478077,-0.08365440212664248,-0.10530876072983175,-0.03169239182814915,0.01315790710343883,-0.013902937253914088,-0.013902937253914088,-0.07013827549272296,-0.013902937253914088,-0.02171015852333045,-0.034052038769191426,0.02098055420593442,-0.004804852057739461,-0.03087968386966049,-0.01696472085424097,-0.02351839709885237,-0.046987897415209014,-0.013902937253914073,0.00841610281526172,-0.013902937253914076,-0.013902937253914074,-0.042061817652822,0.048392418053825305,-0.041411142083675447,0.02280463214482138,0.008127781795157994,-0.08154281181744524,-0.05050102061172048,-0.08364867390395275,0.1007945971071684,0.044890571098637845,0.057313121164961726,-0.032198810392267005,0.04197463702800489,-0.002668841878635587,0.04853378301216413,0.06108555679000606,-0.057481499956912235,-0.06989272525623248,0.028883631249779936,-0.023855790547224434,0.0019293613236420104,0.04576037973509329,0.013436978675140408,0.011847266847181029,0.04606181567003154,-0.020801606909886146,-0.031486885905606686,0.020147774612039673,0.07260331994592735,-0.014524973990808465,0.0017622825925268906,-0.017842872981293008,-0.006108822378844699,0.02752497817160938,0.05152602177907425,0.018357165514698764,0.0023703491412672387,-0.08219752086829694,-0.047195253692225214,0.09805512628255734,-0.021178774448089285,0.06813929726082492,-0.013129552127577172,-0.09413517394795805,-0.04822990036096802,-0.09011224976635826,0.0962704360491702,-0.00878788361196542,-0.008764398660740446,-0.004449838252415923,-0.09672318519217835,-0.031247670049345994,-0.03806185583784271,-0.0137452001964257,-0.05465682736451707,-0.05498113782727531,0.00551432133887969,-0.03914945379128453,0.11662458933193981,0.10225985199801128,0.006309672336756393,-0.10956417377774766,-0.06576638174178279,-0.05357713150570334,-0.0076848856240475825,-0.06556249760292153,-0.03265619423826291,0.128722845900631,-0.022868284729929092
self_mentions,0.15413144681558663,0.020266428490965552,1.0,0.12999531018883942,0.0013985907909141641,0.008314651365071335,-0.03311516567721461,0.027619536578759197,-0.03409157128706894,0.05473711567601754,0.018432563621478125,-0.059983483053709694,0.11086030338220704,0.062230235298548174,-0.01845104202167198,-0.01845104202167198,-0.07896049267597724,-0.01845104202167198,0.19996709116954958,-0.030346649783093305,-0.018451042021671984,-0.03507215744275663,0.16870381586644634,-0.01720019270220015,-0.03509668854811218,-0.05262524190296767,0.034549926388638366,0.032800151449082215,-0.018451042021671926,-0.0184510420216719,-0.036670125954475725,-0.010791259719031726,-0.288875962551457,-0.046777309059530064,0.49266134761612496,-0.01956058517480414,-0.22091951365943063,-0.16113040577725757,0.15106474768324946,-0.063810670626968,-0.10897198975747567,0.2084411365175561,-0.03073878040794302,-0.04305836976701522,0.06934518371597101,0.09483007682740273,-0.01627431569068395,0.03853384223167414,0.2726715388663695,0.11672777500581098,0.11093324390317387,0.13818114744223314,0.029348998189512445,0.07666460574738616,0.12880004559622232,-0.06446329233770184,0.04357537662539979,0.007777778846331499,0.17327576406291476,0.024424315279338804,-0.031457110550238906,0.05489251355744212,0.06900381492765373,0.07194549639150624,-0.0006955852711871576,0.11584930136350509,0.32994690441217417,-0.04864863262443011,0.1117264230158604,0.18566570556032916,-0.2483457792863254,0.10078466860669082,0.03850386605073411,-0.1561794483868541,-0.26790049170276353,-0.05576295477492755,-0.05226062508534314,0.2217886065256927,-0.5874974728163573,-0.01897407907289211,-0.1386005023053917,-0.14026659129518615,-0.056519411438195125,-0.30556931029359535,0.0395765676085234,0.035628931667490746,-0.3099307443951962,0.013020891008788277,0.1745334064740219,0.1206197341422529,0.09467206079340923,-0.08245474823493303,0.1248253659678682,-0.0004422174553884506,0.028509336011763857,-0.009068260810795906,0.009135168881350878,0.006686414978554774,-0.06753463735686062
hedges,0.11976274859095024,0.020222256051487742,0.12999531018883942,1.0,-0.019123031607028638,-0.012061469760526829,0.0066507807664718055,0.03310764254231488,-0.06551308938910187,0.0346197307242237,-0.04092095313980656,-0.10097585227247986,-0.009856423409555996,-0.01648345019107863,-0.011214624762820641,-0.011214624762820641,0.009084498538458637,-0.011214624762820641,-0.026369938360491472,0.0077200836700384535,-0.01121462476282062,0.014820151847478908,0.006936657658719362,0.044611385294908906,-0.017461704581106664,-0.03790218054513093,-0.011214624762820615,-0.022019323281855234,-0.011214624762820615,-0.011214624762820653,-0.013826796065556228,0.0015290541168675592,-0.08659276665535641,0.023051830945300607,0.09101503603930762,-0.04497414969955944,-0.08967541341456932,-0.12765740798709163,0.06751219330768882,0.027937146834766353,-0.008658828662284223,-0.02881453961897205,-0.0005218086172701505,-0.008225695364316553,0.030215753271125564,0.026713527821832724,-0.02539316674977002,-0.03855234578288309,0.008382666634410348,-0.014736795113858158,-0.03126785178819346,-0.03270455472744022,-0.05082258477794548,-0.032701027113776905,-0.04038624928081118,-0.048512445087949274,-0.03772240913061013,-0.12927071176852428,0.1428599427133075,0.06754376587979842,-0.04498018229377066,-0.05428201595712238,0.011508692684020418,0.11044665140495549,0.06835751997616422,0.06266369294426566,-0.006944177487523008,-0.005977647347522526,0.024754702603813423,0.13441772535208218,-0.15654826901138164,0.12181356020205494,0.06583448178902156,-0.13180831200022333,-0.08559248438904213,-0.04341205618504796,0.016126377382847914,0.03578385896417738,-0.10213934768601536,0.05496566251394537,-0.16649836221935854,-0.11460628468436453,-0.028321835187140165,-0.0757908256994284,-0.03241318783291164,-0.03332247013751218,-0.06199803850302156,-0.02487365092415753,0.1869222008036436,0.03941796605289043,-0.016174244411915808,-0.0941027852588601,0.05760341086604702,0.0018243861632822283,0.03148436933789438,-0.030688573000097415,-0.05114447075703467,-0.015292801239342454,-0.03489763247734296
code_glosses,0.11595966907238946,-0.02059009314109011,0.0013985907909141641,-0.019123031607028638,1.0,0.02353560645153865,-0.013763562183222385,0.01246097512560446,0.004783148369426427,0.004671738979423064,-0.01925474565652343,-0.03950805811791355,0.0527563363685544,0.0012764278582338613,-0.005508200444688457,-0.005508200444688457,-0.027888161886349343,-0.005508200444688457,-0.03761508737863805,-0.01349106679153025,-0.005508200444688464,-0.02256805250574272,-0.012234212477281934,-0.013290531102143312,0.000339756533221484,-0.018616120659291992,-0.005508200444688456,-0.01081506058900439,-0.005508200444688457,-0.005508200444688483,-0.01666445862973693,-0.009029195463371217,-0.008124274386537879,0.03758262603892185,-0.028381477392494588,-0.06274105307221468,-0.007706987481712204,-0.08621151045248054,0.03397303753412935,-0.03134469562602107,0.009556582786667316,-0.054576315764500116,-0.032681987809162136,-0.011125867846414677,-0.04166765141253071,-0.029203641375941718,-0.04456965375589265,-0.01778362684638326,-0.007028679699182658,-0.03874684234947145,-0.03667670105399261,0.01972035031818915,-0.03891347999936893,0.02814072319933627,-0.02373280784720492,-0.040851827506988576,-0.04424569482439275,-0.05237213711122854,0.04460277561605163,0.00897417276828441,-0.003964295507828085,0.007630741329517875,-0.011378976645904676,-0.013113390385946517,-0.022866944272105196,-0.029583993629016335,-0.05683359900917966,-0.022133173170559736,-0.03878709086713883,0.0667712649098632,-0.043965733055233165,0.004242679329162756,0.002245389764823987,-0.011020505681126514,-0.004785652156872059,-0.055408577877793394,-0.01839066962670994,-0.06937501708536861,0.014123800325585224,0.02373307299730906,-0.051006355306208104,-0.057166059682738704,0.041674041404471694,0.017761017787186258,-0.0634023359589911,-0.06281567763353706,0.03211501850086656,-0.05516867232681406,0.04526370707445367,0.013331903804392541,-0.036658181749369995,-0.0521106812408174,-0.0466650152800813,-0.0015992795548957076,0.014960410883892383,-0.027014307992810748,-0.03495812132016084,-0.009710020702952404,-0.0013621796069275005
chronological_markers,0.05017404957399269,-0.04112368099745234,0.008314651365071335,-0.012061469760526829,0.02353560645153865,1.0,-0.0834403826919844,0.08428956984156784,0.05638171873626103,-0.006655826846344994,-0.0033795236598137194,0.02997466642136124,-0.01069262228513141,-0.03680094622551475,-0.012473532815595063,-0.012473532815595063,0.01841299081259004,-0.012473532815595063,0.002124269857960904,-0.017480377829729107,0.027311216838995563,-0.02972104663796515,-0.027704847044100128,0.008980619326582487,-0.035108203954544975,-0.013819780599183783,-0.012473532815595023,0.021173485720485073,-0.012473532815595057,-0.01247353281559498,0.015330169828522557,0.007900309224850204,-0.04049484354015044,-0.014383167841382057,-0.07702212492737058,0.0010916433864298937,0.02042006269905184,-0.07185798372056182,0.03875337495351189,-0.11123541525547179,-0.09231907145287928,0.06966575022494877,-0.06791288750519922,-0.03639023851008419,-0.05224094729316762,-0.02849274593453844,-0.025161034711793328,-0.008828515950711604,-0.02706576999019981,-0.012243287597583901,-0.03431868012971299,-0.0024417606705531888,-0.05733572011060731,-0.005122068782852631,-0.012861028561319075,-0.05413034546265296,-0.05522526974268949,-0.018004157386867472,0.023169820647509613,0.014740971852829493,-0.022097035518030335,0.04436188562161395,-0.05249782248477594,-0.05382803406631025,-0.08457355495684275,-0.017349215844717065,0.04970423013582204,0.031943304942605937,-0.007203476322849023,0.038651243698285646,0.02642537862538927,-0.06579893559499052,0.006188565067670281,0.03004220741549559,-0.02471081491645341,0.053748044061057085,-0.051661600428508946,-0.02262241464672447,-0.009784694189205296,-0.024213632579137192,-0.042989790686015245,-0.04640001745568021,-0.007935392892890254,-0.0499582455900628,0.1597875695113894,0.15772585005485326,-0.05605994867568455,0.13443384794431423,-0.0007025553006561949,0.10493109270566955,-0.03888409602348786,0.006021700767146502,-0.015290725144056832,0.07640036561094768,0.17252259992840255,0.21307560226842168,0.43625905155608674,0.28143342534717325,-0.007315287439739104
adverbs_of_degree,0.027157729155814547,0.014963350061442853,-0.03311516567721461,0.0066507807664718055,-0.013763562183222385,-0.0834403826919844,1.0,0.01948676363982794,-0.03703089249022891,0.036165901723282115,0.0008183651581925004,-0.05861039719009758,0.0010478435850705353,0.014618804089655454,-0.010571404136195296,-0.010571404136195296,0.004537468421710973,-0.010571404136195296,-0.027079884746150678,0.13196072863170685,-0.010571404136195258,-0.009264370587627753,0.08028043253166812,-0.00999046964474468,-0.018473514686993153,0.02979252757087882,-0.010571404136195275,0.010621428928450954,-0.010571404136195273,-0.010571404136195254,0.022618239000224114,-0.017328939864568817,-0.1343824987208724,0.04027492944812337,0.08356939178319656,-0.0007293821729370313,-0.07127262328040064,-0.027288337946784993,0.05306937019502232,0.05408084350067844,-0.008618251123419381,0.04820435168491771,-0.015387695716611055,-0.033477964465776416,0.04702064764369378,0.015791372474914665,-0.0755258024591869,-0.048874244603502544,0.03907039563961197,-0.03383518928915784,-0.06625203468200257,0.01428622610424588,-0.04241161763012828,0.00025672529120142215,-0.0013658320336528305,0.004523299647437545,-0.05405019605761312,-0.07715630743127985,0.09398259490762907,-0.012262414335786922,0.003744309417711168,-0.003126262848902338,-0.01985432165557114,0.0451081361724854,-0.00025125323625773186,-0.006952682237315073,0.010103313826172553,0.030800825734421583,0.0678062098674892,0.07189726837227961,-0.09125415354203724,0.062260589627175775,-0.026698335824875383,-0.0962722930848624,-0.13089274509653068,0.09182427363868813,0.013235670955787064,0.1384747076217674,-0.09259381430857348,-0.03494506879069413,-0.01923820960321861,0.05366014358229272,-0.061152866613441506,-0.11095769996185802,-0.03367652600702937,-0.032152621010295195,-0.11743400493214298,-0.023449721753463604,0.011132032268017893,-0.03461327731135094,-0.02279884324668257,-0.041216133916471935,0.0001247040727501705,-0.024126029402583554,-0.029726565276679558,-0.047195169787729,-0.06791702741102904,-0.04852280689509049,0.025061926628443507
attitude_markers,0.04524675877777258,0.018920653625020312,0.027619536578759197,0.03310764254231488,0.01246097512560446,0.08428956984156784,0.01948676363982794,1.0,-0.022155900308362862,0.06616577647758007,-0.05307225058117079,0.011492484724854155,0.011707240143646599,-0.03081139488146837,-0.005965866500248201,-0.005965866500248201,-0.02041415278605381,-0.005965866500248201,-0.040765262095977424,0.056036636471283936,-0.005965866500248218,-0.004688529052434009,-0.013250730271719984,-0.014394816432151073,-0.004720027231936613,-0.02016289924832789,-0.005965866500248197,-0.011713663711768763,-0.005965866500248192,-0.005965866500248201,0.025251243258087044,-0.00977941439859238,-0.09763055997919896,-0.033282425416991925,0.03886568243607858,-0.0009667031632917464,-0.075267220320156,-0.03583119863296124,0.090697042948961,-0.0254302586575709,-0.0731526624633849,0.028748136528074137,0.020046392441140072,-0.02442309108990058,0.06970613654904241,0.06350707948342711,0.014997833950542588,0.011932851301426232,0.0005659423319545113,-0.020359918717994117,-0.013074982679859789,-0.011665361172768481,-0.02787759144414614,-0.04296621984138017,-0.03540363400831086,0.006426564468794632,-0.03674246604198909,-0.05617508559041375,0.0932020116946868,-0.012535040379799892,-0.02392819808034045,0.06926284183423542,-0.009049808574074324,0.08833765005031978,0.05608005898464762,0.04436576364001157,0.0718235364202305,0.01737571503418527,0.08338814571954084,0.06803008315302235,-0.09410960418185098,-0.0032386817605524394,-0.030655817135636296,-0.04736271660806776,-0.05546920179884061,0.005094151981661851,-0.006772649646864208,0.13487378348990484,-0.08655378218217974,0.020646176653053423,-0.0861007872308905,-0.02273680987699965,-0.005037942258697844,-0.11436783216598749,0.0441783234957902,0.04532405363892091,-0.10478975835176566,0.035221376099288944,0.10453751040468652,0.011234733911345593,0.005305364308088649,-0.027006282252928494,0.06002984127460973,0.03836576040967677,0.06447548929489216,0.013976083035824515,0.02121884873917536,0.015045489741187634,-0.025428545197494212
place_time_svo,0.018063693493637737,-0.1201464585724667,-0.03409157128706894,-0.06551308938910187,0.004783148369426427,0.05638171873626103,-0.03703089249022891,-0.022155900308362862,1.0,-0.035757281590901864,-0.0476718256416824,0.019879652855980406,-0.05349407144807371,-0.0594168283808543,-0.009533248340232213,-0.009533248340232213,0.007441551452943766,-0.009533248340232213,-0.05825781593793338,0.00041598956319285245,-0.009533248340232213,0.004786094067812911,-0.021174208702873877,0.027332025951213024,0.006860289979825492,-0.03221961567282716,-0.009533248340232215,-0.018718029498918872,-0.009533248340232238,-0.009533248340232222,-0.0016886018992063711,-0.015627165991720593,-0.021650764142244296,-0.05263132033407582,-0.05437992245316829,0.055324941389986636,0.036068259673989814,0.009081205851995577,-0.030924990018027704,-0.12145147391823112,-0.08658301709688515,0.10007183657064257,-0.03668792719690246,-0.0004206518280835104,-0.09235566465955139,-0.0727780130105012,-0.04788473590427359,-0.02717301218301945,-0.07029174673857816,-0.06350337776235274,-0.05278322011352696,-0.0706061541871687,-0.08642956642657525,-0.049522264031207186,-0.08194551086051131,-0.08738791333353518,-0.08242366540088558,-0.08765628652656383,-0.05645580667510088,-0.009447488281820703,-0.038236432984992776,-0.03138192159697992,0.009065382205068744,-0.10084618260558949,-0.0805325933963617,-0.10644811433997377,0.02838179168351683,0.06003011999501313,-0.01584226153226522,-0.0714335457787896,0.09353144607319933,-0.12912598580411166,-0.027211366559775678,0.12049396256687955,0.013593228309288096,0.06575581947839484,-0.061112444074148904,-0.0712710470415888,0.02751290596226738,0.032645852029759316,0.06808422537045129,-0.05945767179481995,0.0679571229757525,-0.030844550508176687,0.06950649790014538,0.06775721342531568,-0.0397831121085528,0.04947765775187065,-0.0756755470562265,0.08415660156333987,-0.11488474478490598,0.06549440341061422,-0.01674529546595474,0.0893269786770419,0.2436193783240093,0.38718231371098755,0.20678024804595296,0.09738502909433018,-0.06468657729657869
engagement_markers,0.09430939650744946,-0.06078004039478077,0.05473711567601754,0.0346197307242237,0.004671738979423064,-0.006655826846344994,0.036165901723282115,0.06616577647758007,-0.035757281590901864,1.0,0.028559529527131713,-0.047800646411803434,-0.0014673297355920585,0.07428759019965897,-0.011921011720590395,-0.011921011720590395,-0.046231605106672916,-0.011921011720590395,0.011361220442821139,-0.021847532741704007,-0.011921011720590359,-0.038440262109361245,0.021950191790337907,-0.028763763888494828,-0.02462438156046429,-0.040289563678704496,-0.011921011720590374,0.027123550325141608,-0.01192101172059035,-0.0119210117205904,-0.01840893145135628,0.014457942129866551,-0.19339519852429926,0.1638760350763525,0.10569464885022471,0.006510691305163578,-0.1864405410361053,-0.018775037365337338,0.047110904793509795,0.11144144133411651,-0.018897769289630252,-0.07636951028937826,0.0972530023300573,-0.01548414347167159,0.14786575702038368,0.16866110860581737,0.026787920271938374,0.07299590632252821,0.13968560327434967,0.05418736784071354,0.030171862324914124,0.054082100518364845,-0.0014249299918285665,0.046971699310683845,0.09909632556351855,-0.04934287717755102,0.04578635178343539,-0.0058058738162622015,0.10779809838972211,0.05242516962962688,-0.011348954298851967,-0.010107194310502362,0.060405545964492394,0.0964995236467585,0.15017848209738707,0.08926054920603754,0.037468818834388955,-0.032111616545834824,0.05755350334771599,0.05323695529742255,-0.1949722094924694,0.0044684981535845604,0.0557333998305026,-0.03758445223116484,-0.2136803204780891,0.07397458076615415,-0.07233517366060435,0.1260000945383066,-0.2512318986202639,0.016040928468242545,-0.015340118715399705,0.005993771073113974,-0.013966146766685663,-0.20917227030509175,-0.11759922908932395,-0.11624084854793437,-0.19616885494813044,-0.09407130231777924,0.10705154105163942,0.026482925080127444,0.13111462060576243,-0.02591158380640694,0.27335596255864597,0.025607104498869045,-0.030143605237956762,-0.05237465131414636,-0.09156788670336571,-0.09121475147003286,0.0012179167005081089
