,utterance_id,english_utterance,chinese_utterance,english_avg_labeled_utterance,chinese_avg_labeled_utterance
0,u176708,"Based on intensity attenuation and after-shock distribution, we obtain the parameters of a rectangular slip fault model, and by applying the analytical expressions for the displacement field of a finit-slip inclined fault given by Mansiha and Smylie, the average dip-slip dislocation is calculated. The results are as follows: fault strike, N6°W;","依据烈度衰减和余震分布特征建立了矩形滑动断层模式参数,并应用曼辛哈(Mansinha)和斯迈利(smylie)给出的倾斜、有限滑动断层位移场的精确解析表达式,求得平均倾向滑距。",1.0,1.0
1,u57261,CDB's and ICBC's participation in the Cocobod facility had less to do with chocolate than with China's policy of cementing ties with resource-rich African nations.,与其说国家开发银行和工商银行针对加纳可可协会的融资安排事关巧克力生产，莫如说是中国执行巩固与资源丰富的非洲国家关系的一贯政策。,3.0,2.0
2,u423193,"Servicon Hunnebeck manufactures moulds and scaffolding and has been exporting its products to Angola for the last two years, via Brazilian companies Odebrecht and ABH, which operate in Angola's construction market.",莫央行货币政策委员会发表声明称，今年1至3月，增幅最大的行业是农业和工业，分别增长11.8%和8.4%。,1.0,1.0
3,u327975,"The company's main products cover series of oil impregnated bearing, all kinds of gears and powder metallurgy components including copper baste, iron - copper base and iron base.",公司的主要产品为铜基、铜铁基、铁基等各系列含油轴承、各型齿轮及其他粉末冶金结构件。,1.0,1.0
4,u174045,This is a despicable fraud. Just imagine that he has the effrontery to say it.,这是一个可耻的骗局。他竟然有脸说这样的话。,2.0,2.0
5,u267637,"To begin with, the government must act with conviction, rather than wish the problem away.",首先，政府行动必须坚决果断，而不是希望问题自己消失。,2.0,1.0
6,u357219,South Korean left - back Lee Young - Pyo may make a return from an ankle injury.,韩国球员李容杓可能会上场，他刚从踝关节伤势中恢复。,1.0,1.0
7,u435497,"There are also plans to build memorial towers for him, state media said, and his 16 February birthday will be marked as a ""Day of the Shining Star"".",据官方媒体说，朝鲜还将为金正日建造纪念塔，并且将金正日2月16号生日那天定为“光明星节“。,4.0,1.0
8,u308704,"And let us remember that the autumn of life will come on apace; and that what we now sow, we shall then reap.",让我们记住，人生的秋天很快就会来临；我们现在播种什么，到那时就会收获什么。,3.0,2.0
9,u195247,Congress and a number of States have provided robust support for biofuel development.,国会和一些州已经为生物燃料的发展提供了强大的支持。,1.0,1.0
