,avg_labeled_utterance,engagement_markers,frame_markers,transitions,self_mentions,hedges,explicit_references,deontic_modal_words,boosters,situation_dependent_references,positive_connotations,chronological_markers,attitude_markers,causal_markers,adverbs_of_degree,slang_and_colloquialisms,place_time_svo,code_glosses,evidentials,emotional_self_disclosures,idioms,negative_connotations,figurative_language,endophoric_markers,hedges_adverbs_of_degree,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.00013596239812833794,0.11793333513802172,0.07592385389323024,-0.12967702013818524,0.01038376787951281,-0.04188863835339576,-0.022368505141167203,0.008268220958240263,0.01956450919846458,-0.030288845814113854,0.050032858128243006,-0.010581525121314115,0.06750863968448771,0.027580259543189028,-0.030591210455207726,-0.0406419625197422,0.03518155514333533,0.0355478003575379,-0.024313423089966726,-0.0043077216835559415,0.010899876114062026,-0.009797935148625226,0.027090377810330867,-0.022929443452753825,-0.24305476391593378,-0.08405843704033755,-0.1163498806315793,-0.43002374140270483,-0.14984799604157323,-0.522648850544882,0.569352433997146,-0.07614065935974236,0.03123798373640251,-0.03393310875950344,-0.013619017393715,0.020511607444921125,-0.10826149934028609,-0.060831681329302514,-0.05035579374698064,-0.11118128119854298,-0.13514920664417196,-0.055658676822609054,0.001948908822027577,-0.032931960236653936,-0.03852607469709256,-0.07032093433513699,-0.08537300689460327,0.017494847669814385,-0.0343172964564746,-0.053750373258594865,0.447422196646637,0.13050725327709362,0.02318551050971876,0.0605756422105533,-0.10486753772435993,0.15966901721335244,-0.0006213683725117364,-0.03260217845003923,-0.07654699327803428,0.03798490552892596,-0.0002576361038582025,0.5026216839818138,-0.33103981707981084,0.3598703437391375,0.13862821469491765,-0.4153647094242774,-0.07864620058748112,-0.22848135527478272,0.05591030691249198,0.002051287461059758,0.0855011203358936,-0.11932623800501967,-0.37841113698572454,-0.11058288760928534,0.04510148300588965,-0.10977484760981049,0.03249348868342311,0.03069819106074702,-0.11146572729255044,0.022723140093698944,0.4253738457104384,0.19328281864308072,-0.13066367343916394,-0.5683637006445079,0.022378523463576855,0.1362824519712154,0.21784608455163537,0.003343511637519244,0.03700844037322987,0.09581220895286632,0.08522625009361351
engagement_markers,0.00013596239812833794,1.0,0.014932029249532106,-0.071879878479779,-0.06579852423820037,-0.03204404828297061,-0.03560801693400417,0.12418638036621195,-0.018277740049085563,-0.013295301240583679,-0.0457638446046778,-0.05263083904656627,-0.06002949739537007,-0.01591778804537116,-0.03226939437270182,0.045464419030082456,-0.056713833412777574,-0.01971665071548302,-0.04229068702442145,-0.049809424581442774,-0.01334066580854613,0.008969096387799863,-0.04012282114882597,0.0036947660357110946,-0.02297062365556258,-0.12943072874797484,0.1467768107069656,0.00859652018885253,0.0504153515200468,-0.24411846566704645,0.14568055710734018,-0.032522613006091106,0.24388069411907795,-0.03285469171204613,-0.19232915664177827,0.13669115990022437,-0.03684172454813041,0.18219780111772332,0.17112493281391836,0.14198596697573587,0.22034172758041592,0.16375687746236564,0.033698191738842725,-0.06270783132392488,0.03382562009351099,-0.03821505666085085,0.046489819999501886,0.18222564974802488,0.007137007365178675,0.1074361656488149,0.1087197744551044,0.00028136201443881403,-0.09725879356421478,-0.03320101932930541,0.04609022520286054,-0.020876401094529953,0.04050330992882038,0.23471554551261883,0.1441927499132688,-0.06593787173070664,-0.10829636759777037,-0.0007584552431557279,-0.07039877240722396,-0.13505698024546445,-0.10139913917329466,-0.06106537658228086,0.06062893838957064,-0.10979163490560315,0.1442814147979188,-0.08661492837634363,0.1395760939529458,-0.2484927362234092,-0.07746047614227626,0.1656668253435068,0.13601685668695926,-0.13080016826966956,-0.22099821774342762,-0.21651792208745427,-0.21809191879871412,-0.20557144840679853,-0.17565717187261928,-0.054305012307948874,-0.05299665140354056,0.16627321187471653,0.05560610854456388,0.2402493247566763,-0.10456483767236424,-0.07036055746326376,-0.09923509815426287,-0.08601363263116639,-0.09518931574391892,-0.017232102097582025
frame_markers,0.11793333513802172,0.014932029249532106,1.0,-0.04344464490487462,0.09830232013488284,0.056462068763744544,-0.07549306512812867,-0.01311602388963926,-0.018974314047651018,-0.06611732780149103,-0.019503015232619474,0.021869085346104086,-0.0372164959469161,-0.024969512677423346,0.010272071120340372,-0.06663055975264207,-0.0337003796077937,0.025746455134982457,-0.01816382239046444,-0.02122710569296422,0.027920109197057456,-0.022070765179169824,-0.023330380853009244,0.13584341895147276,0.05748750284969077,-0.04115852179074744,-0.024684295603108978,-0.002292445828463672,0.0003100758896739244,-0.10506909348061404,-0.08356140655763693,0.09624978240342238,-0.04016031059359242,-0.0299743637693961,-0.03999079668415348,-0.00602664610301313,0.020039562661909493,0.004046931388546512,0.00511600167924125,-0.0013791783377789248,0.05008461656246289,0.013798704409552026,0.030581772216578807,0.0408070845521315,0.017810717682304217,-0.0009561427820241318,-0.005534523634351931,0.04218430326174213,-0.06809795654833944,0.014143188767012076,0.032460072456033495,0.06674372387628918,-0.006474767578266895,-0.02372414035113734,0.020346356853236505,0.04660630118522204,0.03949768879413971,-0.04061800601092481,-0.01644147295437386,0.03848859996967063,-0.05968953813954069,-0.03557049521511317,0.05114603501350047,-0.03532289482744298,0.045862644695213436,0.004145717196403857,-0.051856537685586686,-0.0018884872583973986,-0.024687727484939262,-0.03812700841546734,-0.011050313423578947,-0.03532232556630565,0.035583972701863094,-0.061145098384940894,-0.05464178688902027,-0.012888382910816301,-0.06371873418072524,-0.041207159252242734,-0.044906236276158334,-0.05813789067110905,-0.05335954928617057,0.06337608985320027,0.07257691766719838,0.022367651560015727,-0.057908970488603405,0.00439439430952318,0.004211555127884202,0.04734646838349732,0.004375682189949405,0.05539704234355905,0.08764215517633854,-0.04802345230995222
transitions,0.07592385389323024,-0.071879878479779,-0.04344464490487462,1.0,0.06725116723934647,0.03295606581222433,-0.06514956965263399,0.028957804889526737,0.03506794576982999,-0.0602060941992336,-0.024219498204201783,-0.038558895891329936,-0.006928767753197936,0.0034657054567172195,-0.04925319592674034,-0.04591288078135739,-0.009281001778424993,-0.009281100716501433,-0.03695134408469759,-0.02636053154238848,-0.008839004278824891,-0.027408216178194937,-0.0004759952181542791,-0.02920516682797574,-0.012156692322970288,-0.02488003796081486,-0.010742375097793546,0.021946204380400264,0.0011679060245016674,-0.02752275322371059,-0.01436760997646589,0.04976888704515089,0.004459482930404612,-0.013069370261085022,0.02584220142816508,-0.030210040340702637,-0.047298346026655946,0.00627372663134105,0.04698512405749752,-0.020040016732620937,-0.0035960370752370955,0.040987633711434455,0.030868363244857488,0.03416770988066262,0.02529510465882953,-0.016267432219104105,-0.036600784080354824,0.01342154300813053,0.024827361309102187,-0.03736265840329531,-0.031634879578650625,0.0008782114789266972,0.0003298322596837312,0.08069112302005477,-0.02037352427839706,-0.025895133887484812,0.08014964784436655,0.02688177770493465,0.054710566627150535,0.07165994306501015,-0.019456054015161428,0.0040616279268174795,0.024862874415068414,0.0006807517673908372,0.0026000934610290656,0.0029346595999110666,0.026771357864581694,-0.02765724411683726,-0.03987642090881591,0.053726773302473045,0.013186840525119859,-0.04874370593469462,-0.0011505662247955346,-0.05060609907375135,-0.00418155256430558,-0.022486812984783295,-0.04028330899635012,0.034145507319288435,0.03494735615343154,-0.02315938062714592,0.016929671190729113,0.048107488968613825,-0.003597831088088195,0.022746525747783387,-0.011369918513448377,-0.031019637460404863,-0.004161984768499847,0.005086516561062095,-0.01684524678312988,0.010512790834745945,0.1517591245474812,0.024355513251154527
self_mentions,-0.12967702013818524,-0.06579852423820037,0.09830232013488284,0.06725116723934647,1.0,0.11130515829790756,-0.10503122779327201,0.07563706371995885,0.10466816896212146,-0.1029350755966704,0.011265782789115632,-0.007498053742415458,0.017158669263141777,-0.022981268552372182,-0.055648108000266344,0.020984657095074258,-0.03283135318694761,0.014705539586002318,-0.04101952601986635,0.040609077108579014,0.0023141282531012326,-0.024423914810824086,-0.014481697760817513,-0.002008201552310592,0.02920295377259724,-0.07383975808036503,-0.11185545946467318,0.38558393177560263,0.19280212890316223,-0.08545520898668355,0.10034879404647014,-0.09627867216793995,-0.034105990538189114,-0.0724069432926029,0.1588787900003486,-0.08949650670100676,-0.01910059147720823,0.02343078847778504,0.0052506658344306555,0.06560430358498909,0.09214869965683269,0.242899099706551,0.15811804489808007,0.18722982172200736,0.18632592500452289,0.06253166522813905,0.03675251923993799,0.15660534554858166,0.03353138635204452,0.12353257655394571,0.09414846472923143,-0.029479500210599134,-0.1003144113907596,-0.0023768931571744208,0.043120659584559205,0.0749049199939617,-0.04952897620942542,-0.01667539158227187,0.06898641484381042,0.25660040703497083,-0.09196150089449694,0.05170598900858341,-0.023249712823451226,0.029204970040408618,-0.046830173704322825,-0.08946350868891198,0.01980401254918212,-0.08441738224895073,0.0984082194434935,-0.03792692476837053,0.14247536513303163,-0.4452627290571263,0.056488519727532084,0.10378238124597423,0.01558317069677521,-0.08918268241640105,-0.1797458469985618,0.007525872367732645,0.0072978710200696665,-0.16928785065507268,-0.006782885674604567,-0.08272531193204434,-0.02537164696100595,0.0880759270941463,0.12361409594007072,0.005641694999618061,-0.07221004290260873,-0.09745968085809176,-0.08604826715678658,-0.04703397460562251,-0.042526247224448324,-0.08112822790431036
hedges,0.01038376787951281,-0.03204404828297061,0.056462068763744544,0.03295606581222433,0.11130515829790756,1.0,-0.11892723079746119,-0.06110496011063115,0.008514292458389972,-0.07437913058385054,-0.026448914368431414,-0.043030916382392786,0.001149792422937281,-0.029416173758343975,-0.05880919538154861,-0.03184846461313918,-0.024932900255120915,0.030370715968987144,-0.04035273263114343,-0.02878703082915287,-0.040781716256247505,-0.029931155326858524,-0.03163937668120536,-0.03189351612639416,-0.01327572155057397,-0.06961274747641188,0.021319445936770133,0.06061144718690108,0.07138677840015215,-0.08657986141340479,-0.1220501212017361,0.0470864649977625,0.03739152921028835,0.011502270700727214,-0.013392214759690772,-0.028747933300342834,-0.04998041627591875,0.070115913221879,0.0644147649119552,-0.10839883451950452,-0.053106516596086374,0.08116122420528747,0.05067635418225906,0.019094709521588885,0.04128827721154988,-0.003631388843603753,0.06533971637964087,-0.007330907940456773,-0.054153392899256414,-0.03271353985959964,-0.04449153588128945,0.06335961446857169,-0.0790298619866165,-0.037422023360390896,0.032056145537015086,0.11209395228716082,0.15667465445758802,-0.028056577957116798,0.09593200061955781,0.041690050673527566,-0.08947308587571073,-0.04321073964440341,0.11300219671813998,-0.11150379172643982,0.09340038386484976,-0.07059234294270653,-0.1419149441399264,-0.07827741298453711,0.018071124529737432,0.010095572176186394,-0.01598962924294431,-0.060156658421164085,0.1036321153840616,-0.17682631011925923,-0.12608439979714695,-0.09711947200247215,-0.08067087034810712,-0.05514782222929004,-0.05047857567975531,-0.07258441837123768,-0.0418424941587301,0.20175868575173886,-0.03485469630424517,0.03870259746013863,-0.042796963160595496,-0.013198810723270107,0.021640357388734276,0.043546382344987575,-0.04755749212877188,-0.04043107861135671,-0.018904992508128105,-0.02141750649216361
explicit_references,-0.04188863835339576,-0.03560801693400417,-0.07549306512812867,-0.06514956965263399,-0.10503122779327201,-0.11892723079746119,1.0,-0.029733657620684646,-0.04668123474858252,0.08625276340018108,0.038676023377218524,-0.02074582087734186,-0.026395449615523064,-0.02929140875431676,-0.020386032035083042,-0.026974057237671448,0.04617886824219676,-0.02687367356361657,-0.003442381165911634,-0.028714444862057313,0.05053075795114941,0.0015336909896742656,-0.01122415783130628,-0.02007708561345141,-0.013242247063630204,0.0775771758643944,-0.0455911655471586,-0.10301271653273929,0.08955202507469037,0.09023493338683986,0.1408038982039275,-0.0318666030607751,-0.10878448926548366,-0.08017803814540406,-0.04219114125228366,-0.0592716117068676,0.05091062963155862,-0.004256386889016111,-0.033421708001624896,0.12377032764618114,0.15857814287240662,-0.08006183040238028,-0.01606872081200657,-0.03693619258758232,-0.09596435709179797,-0.043726836927987685,-0.0727774443424318,-0.09836931988736987,0.03852435839635609,0.04684021989231298,-0.015115337464860148,-0.14038355326620672,-0.05203497422706724,-0.026178673840055195,0.01749611689983996,0.08799943629384259,-0.11143896082254849,-0.08423896748023935,-0.04368805171908172,0.00648231700337284,-0.03581015395594726,-0.0949720155044125,-0.16445322282074942,0.17297760806220963,-0.1847859661773091,-0.04487863009839849,0.1848691329188662,0.17784919692926082,0.12278437564496246,-0.04983902787337793,-0.08980148889387488,0.06114414177881851,0.09591613317712562,0.14251881236563196,0.006893004337852981,0.24549034521844768,0.08546415853092384,0.06657926575371845,0.06804627708238778,0.08583019851274368,0.04268585052280577,-0.16145030932462623,0.01744043185337658,0.024296352287748842,0.1538558485264574,-0.038104313761210686,-0.04126908815656914,0.011670551644796644,0.04846623764270054,0.007216832928469503,-0.031057813034714644,-0.0061617551810694985
deontic_modal_words,-0.022368505141167203,0.12418638036621195,-0.01311602388963926,0.028957804889526737,0.07563706371995885,-0.06110496011063115,-0.029733657620684646,1.0,0.03593686020075875,0.0007849667996001553,-0.021326706437506643,-0.02056686408740575,-0.03069451166439385,0.03454906102064616,-0.04834340190456628,0.014174713266968616,-0.02988990595498235,-0.020981894458436793,0.010234371364774734,-0.02321201343649725,-0.03288375766578819,-0.008772085061804071,0.06189070550528699,-0.025716883733395764,-0.010704689512439993,-0.0280131360304133,0.14020246029683964,-0.00039292637518221265,0.011294012957343278,-0.10395236217148766,0.03136156659013162,-0.006902687268009268,0.15735048879193927,0.06895519416344496,-0.08911708137918453,0.08049310142301289,-0.03034902009481121,0.12951539109424645,0.060276540020621584,0.001255757565590816,0.003065721177084733,0.09850798892269158,0.05185578788149053,0.0642084718710396,0.16865430812604396,0.059837325413234485,0.12136217806533697,0.15304982691800575,0.010140083633583106,0.08412455803275587,0.13721342409039705,0.022650474012061172,-0.007353302431351692,-0.031102830358674807,0.07643068883003068,0.03797233991258309,0.014299501428927108,0.0496612597802832,0.08141914625697583,-0.05654492748762895,-0.063821750180183,-0.043365326863357194,0.047439071627053686,-0.051061622505288,0.035821834597356134,0.021369396252073968,-0.052005344421672345,-0.02158599716059453,0.030062399577571865,-0.037588938886407304,0.015658125281457973,-0.02034009558060894,0.016511152221699636,0.06570861706438015,0.022950401434762294,-0.034696884706686526,-0.06680808749792165,-0.11739315423891875,-0.11780004296540753,-0.03959001914326997,-0.09505829709905676,-0.004334370385885436,-0.07382177805539722,0.09947446078978435,0.01830785659558684,-0.011610028181717713,-0.056173662905790143,-0.07632678345314334,-0.038754348576142655,-0.08706963332421226,-0.05801101187738309,0.0030800561593477735
boosters,0.008268220958240263,-0.018277740049085563,-0.018974314047651018,0.03506794576982999,0.10466816896212146,0.008514292458389972,-0.04668123474858252,0.03593686020075875,1.0,-0.0823860225319388,-0.024514925819572136,-0.022358442998093406,-0.06253880773067963,0.07073102346169975,-0.04020718628531688,-0.038953874426022855,-0.05455314869210187,-0.012148412671423142,-0.02976874847514848,-0.026682075321198526,0.012861952437168415,0.0030859852759450757,0.0015258246020692851,-0.029561409253798715,-0.012304978740528796,-0.07423213292534035,0.042273336102883446,0.10169827386505828,0.07270242817678298,-0.052831123192411324,0.011883625578255697,-0.037221496286842556,0.05616767949557622,0.0207925852777438,0.02464254218510737,0.04577990348711226,0.010776168452097027,0.042069156554901926,0.06894821270494562,-0.04142024550101054,-0.08026275182045124,0.0689980614000518,0.0211044149162117,-0.0244161712496731,-0.018890164051390435,-0.0262234562755484,0.009192603324745249,0.040000675704882964,-0.07253088690260183,-0.035956600515767746,-0.03238644819748615,0.025190958256584066,-0.05360895447730135,0.03344475245551538,-0.00602471005955886,-0.023358384734074446,0.004508273926138601,0.027705454128711345,0.013303888335744904,0.06084171721738845,-0.0724772284412854,0.025189517223964432,0.015567447463852791,0.003940040316135105,-0.01757342587893546,-0.04246522524366673,-0.023101682743148836,-0.1054158910619191,0.03595506736441969,-0.008878746081373401,0.08692591165830221,-0.11717516263854307,-0.025339690179722704,0.02173955093185448,0.02966508118633468,-0.06073813254483814,-0.08130815290715,-0.06714495896424667,-0.06578569885681165,-0.08404312310817287,-0.07214267656946313,0.00296287493225383,0.0037978128321624572,0.021241884471134405,0.044544485133597926,-0.008339692875544057,-0.040744021608307486,-0.042654697771031445,-0.0416921228618915,-0.07023615450974394,-0.036406857597460325,0.012010901602382983
situation_dependent_references,0.01956450919846458,-0.013295301240583679,-0.06611732780149103,-0.0602060941992336,-0.1029350755966704,-0.07437913058385054,0.08625276340018108,0.0007849667996001553,-0.0823860225319388,1.0,-0.021027178195379415,0.031231124869492383,-0.05689558132163463,-0.04607675907839017,-0.00016667650252234144,-0.019473994536638863,-0.03936169274689193,0.005166633718074423,0.1301781748319127,0.009619977883642016,-0.03242191353823697,0.17225791626335768,-0.01130871163497188,-0.0253556965524203,-0.010554344833500701,0.024948198597919472,-0.03973047073432811,-0.08578183453651686,0.02670071293355435,0.030879462684052405,0.029428295752791264,0.10190450452380814,-0.050828065498326226,-0.04299763079195597,-0.011344495033186113,-0.02933985698615682,0.03811003470938755,-0.049645868535887795,-0.054681287536371116,-0.0141762329373127,-0.01796286876420278,-0.10119576631797583,-0.03668853384421305,0.0001828800426575168,-0.0574078283617689,-0.016863418282792576,-0.05749713962968565,-0.055671196876223794,0.03662657377007925,0.03979607357657092,0.049952107653730926,-0.006823741453669736,-0.02485187120503639,0.11382759466340645,-0.05065047771767204,-0.050256530801110526,-0.028477882152569058,-0.024026653611416558,-0.06660005423871217,-0.06819253624204862,0.045735178996633805,-0.01657239063855452,0.07315560315618541,0.09479806187158625,-0.051210226943400335,-0.04053229791195941,0.056994604723395695,-0.026423102576536784,0.03926777706287889,-0.027427593304296054,-0.030641325862493653,0.09469878021914009,-0.05988871516513069,0.08490624940363654,0.06970202036717561,-0.0325232780894535,-0.0394592500472212,0.06171576923469907,0.06024375280174606,-0.03514765515271595,0.0682025116601215,-0.05896111513616624,0.0430295036219445,-0.04850549895107269,-0.013674220717296359,-0.02183762705602125,0.05648521161989043,-0.014506367047273032,0.0143760741474319,-0.020241849252332043,-0.0774622852975017,-0.05985749254809251
