,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u4326,"In fact, the United States Military requires a bachelor's degree for commissioning. This does not preclude enlisted men from recieving a commission, but they have to acquire the bachelor's degree for commissioning.",1.0,1.0
1,u2436,"It's circular logic to say that it's clearly a broad term because of the wikipedia article when the debate is over changing the wikipedia article. As in the talk section up above, of the first 6 dictionaries with their 19 definitions, one includes a rather broad or clause. 0.5 vs 19 is less conventional.",4.0,4.0
2,u3975,"The sentence reads Directors as diverse as Jim Jarmusch, Wim Wenders, Abbas Kiarostami,[12] Mike Leigh, Deepa Mehta, Aki Kaurismaki, Kiyoshi Kurosawa,[13] Alexander Payne,[14] Takeshi Kitano, and Pedro Costa have said that they were influenced by his films. Try to read that sentence. Do you notice anything?",4.0,4.0
3,u3037,"As a measure against Wikipedia: Recentism, I'd suggest shortening coverage of the recent incident in this article a lot.",2.0,2.0
4,u743,"Barry, you are absolutely right. I brought this error in the wiki page up a number of years ago, but it was decided by...someone who wasn't alive in 1970 and held a CD in their hands...to maintain that the compact disc was invented in the 80's by Philips. James Russell did, in fact, invent the compact disc in 1965.",3.0,3.0
5,u1641,Support The 741 definitely qualifies for a separate article but that doesn't mean it needs to have a separate article. 741 theory of operation is instructive to understanding the internals of an op amp but it would be just as effective in this role as a link to a stand-alone article.,2.0,2.0
6,u2504,I question the accuracy of this statement: Sundials are not as common in the Southern hemisphere as in the North. This is possibly because when Europeans arrived the mechanical clock was accurate enough for their purposes of time keeping and there was no need to erect sundials.[8] It points to History of the Sundial by Helga Nordhoff.,2.0,2.0
7,u2632,The article as it stood mentioned that Carmen Lawrence was a significant political figure which Fremantle had produced. It then went on to say that she was the first female Australian Premier etc. I have removed it to this talk page for discussion because it did not have a citation.,2.0,2.0
8,u4308,"Well you asked for some copy edits, so I've already made a bunch of non-controversial ones. Here are some more to consider: Capitalization of non-proper common names such as Golden Everlasting and Australian Painted Lady should perhaps be golden everlasting and Australian painted lady.",1.0,1.0
9,u2567,"I have removed the following from the article as it doesn't seem relevant: Shortly after the earthquake ceased, a bolide meteorite was observed in the skies over Fukushima. Some have speculated the meteor to be connected to similar bolide sightings in Florida and Spain that occurred around the same time.",2.0,2.0
10,u1256,"I know I'm back after a long time, but I feel like I need to check in every now and again (and I apologize in advance if norms have changed since I last edited). I wanted to throw out some thoughts on the Traditions section...it feels clunky, and has the potential for getting clunkier.",2.0,2.0
11,u3044,Turkey was one of the producer countries. Turkish companies produced thousands of parts of the plane. also; so the map instead of removing Turkey from the producing countries should be indicated as another color Unresolved political causes and consequences remain.,4.0,4.0
12,u4334,"Rock's motivation in the film is not completely about his not wanting to see his father overshadowed by a robot. The Duke had Tima created so she could run his machine, the Ziggurat, on his behalf. She's an important part of Duke Red's plans.",1.0,1.0
13,u879,"You guys need to come over to Nairobi Kenya sometime, if you think the engine braking in your place is loud. we got commuter service mini-buses with modified exhausts that would rapture your ear drums. It sounds similar to passing all the exhaust gases from the engine through a whistle. there is no transport law governing exhausts so they try out doing each other as far as loudness is concerned.",2,2.0
14,u2448,"Interpol seems to be treated as a noun, by your terminology, throughout Interpol's official website (www.interpol.int). In other words, nowhere on the site is it in all caps. I've updated the article replacing all instances of INTERPOL with Interpol.",1.0,1.0
15,u2750,"The lead of an article summaries the article, and the article discusses some of the influences you've removed. I've reverted you but then removed French and Turkish. One book I see says Various cultures have influenced Polish cuisine, including Jewish, Ukrainian, Russian, Hungarian and German.",4.0,4.0
16,u2816,My understanding of some of the comments in the recent debate about the Blair Force One article was that the squadron's rôle is changing and in fact it will become less dedicated soon. So I'd be against merging with the squadron's article. I'm actually fairly happy with the current position.,3.0,3.0
17,u1707,"She (Evelyn) also begins a blog chronicling her adventures. Maybe I missed it because of the people chattering away behind me, but I didn't hear anything about a blog. I didn't think her her journal was for anyone's consumption but her own.",2.0,2.0
18,u2034,"It is both a period of time and a name for the country under Franco, just the same as Nazi Germany. A sentence such as During Nazi Germany, Jews and other ethnic groups were persecuted. makes perfect sense, as does the sentence In Nazi Germany, Jews and other ethnic groups were persecuted. The same goes for Francoist Spain, Stalinist Russia, Revolutionary France, etc. etc. etc.",2.0,2.0
