,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,engagement_markers,self_mentions,deontic_modal_words,slang_and_colloquialisms,adverbs_of_degree,transitions,explicit_references,frame_markers,chronological_markers,hedges,boosters,situation_dependent_references,causal_markers,place_time_svo,code_glosses,evidentials,figurative_language,attitude_markers,emotional_self_disclosures,positive_connotations,negative_connotations,self-mentions,endophoric_markers,additionally,idioms,pleonasms
0,u102511,你有两个小孩在领福利金,1.0,你<engagement_markers>有两个小孩在领福利金,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u261588,任务完成，那贱人已死了,1.0,任务完成，那贱人已死了,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u151423,“我们得让你丫的工作起来”,2.0,“我们<self_mentions>得<deontic_modal_words>让你<engagement_markers>丫的<slang_and_colloquialisms>工作起来”,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u77334,我一点儿也不相信,2.0,我<self_mentions>一点儿<adverbs_of_degree>也<transitions>不相信,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u21322,大卫：下一个项目，是设计一个水榭,1.0,大卫<explicit_references>：下一个<frame_markers><chronological_markers>项目，是设计一个水榭,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u232703,那你们就是大骗子,1.0,那<transitions>你们<engagement_markers>就是大骗子,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u32937,有人提了关于Java语言的一个问题,1.0,有人提了关于<hedges>Java语言<explicit_references>的一个问题,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u74101,加冕典礼你想要戴什么?,1.0,加冕典礼你<engagement_markers>想要戴什么?<engagement_markers>,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u219717,直接咬着吃就行了嘛,1.0,直接咬着吃就<boosters>行了嘛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u7038,但是我知道的完成这个任务的,4.0,但是<transitions>我<self_mentions>知道的完成这个<situation_dependent_references>任务的,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,u247173,Farhad也许能把他们辨认出来,2.0,Farhad<explicit_references>也许<hedges>能把他们<situation_dependent_references>辨认出来,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,u237824,我正在做我最拿手的 柯彼特式西班牙大餐,2.0,我<self_mentions>正在做我<self_mentions>最<adverbs_of_degree>拿手的 柯彼特式西班牙大餐,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,u56046,然后我就想，“那么我就去一些小作坊,3.0,然后<transitions>我<self_mentions>就想，“那么<causal_markers>我<self_mentions>就去一些小作坊,0.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,u99210,15年,5.0,15年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,u109943,把你们这帮逆天叛道之众收拾了,2.0,把你们<engagement_markers>这帮逆天叛道之众收拾了,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,u146783,我在听 - 好，我们来打个赌,1.0,我<self_mentions>在听 - 好<frame_markers>，我们<self_mentions><engagement_markers>来打个赌,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,u121556,我8年前搬了家 枪应该是在某个盒子里面,1.0,我<self_mentions>8年前<chronological_markers>搬了家 枪应该<deontic_modal_words>是在某个盒子里面,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,u150593,小犀鸟的建议,5.0,小犀鸟的建议,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,u130300,这是个道德问题,3.0,这是个道德问题,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,u202324,家里总是这样漂亮的,1.0,家里总是<boosters>这样漂亮的,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,u133098,我得来犯罪实验室看看,1.0,我<self_mentions>得<deontic_modal_words>来犯罪实验室<explicit_references>看看,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,u2276,好的先生，先说下是哪一年？这就是为什么我要先从男士开始。,4.0,好的先生，先<frame_markers>说下是哪一年？这就是为什么<causal_markers>我要<self_mentions>先<frame_markers>从男士开始。,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,u49050,但是现在他们中很多人在这是因为他们没有钱,1.0,但是<transitions>现在<frame_markers>他们中很多<boosters>人在这是因为<causal_markers>他们没有钱,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,u178834,提前付款,1.0,提前付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,u144425,嗨 - 嗨,1.0,嗨 - 嗨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,u259990,所有人都怒气冲天 还有人受了伤,1.0,所有人都怒气冲天 还有<transitions>人受了伤,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,u209521,孛尔帖，我不能没有你,1.0,孛尔帖<explicit_references>，我<self_mentions>不能<deontic_modal_words>没有你<engagement_markers>,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,u175442,因为 你为我改成绩吗？,2.0,因为<causal_markers> 你<engagement_markers>为我<self_mentions>改成绩吗？,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,u27653,"没有单独厕所,大家用着仅有的一个公共厕所",1.0,"没有单独厕所,大家<engagement_markers>用着仅有的<adverbs_of_degree>一个公共厕所",0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,u278657,大城市嘛 有很多人得讨好,2.0,大城市嘛<frame_markers> 有很多<boosters>人得<deontic_modal_words>讨好,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,u155610,他替我们发言 我们得以用人类语言交谈,2.0,他<situation_dependent_references>替我们<self_mentions>发言 我们<self_mentions>得以<causal_markers>用人类语言交谈,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,u112301,可能对社会的某些阶级来说是这样的,5.0,可能<hedges>对社会的某些阶级<situation_dependent_references>来说<frame_markers>是这样的,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,u50327,因此，其实这就是我想要对它的[人类衰老]描述。,3.0,因此<causal_markers>，其实<boosters>这就是我<self_mentions>想要<frame_markers>对它的[人类衰老]描述。,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,u273162,晚点再问达拉斯分公司的问题,1.0,晚点<chronological_markers>再问达拉斯分公司<explicit_references>的问题,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,u123620,“游艇上有个小浴室……”,3.0,游艇上<place_time_svo>有个小浴室……,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,u190186,你可没有乖乖呆在车里啊，不是麽？,2.0,你<engagement_markers>可<boosters>没有乖乖呆在车里啊，不是麽<engagement_markers>？,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,u198609,ÅĞÇ áä äÓÊØíÚ ÍãÇíÉ ÇáäÇÓ ¡ ÓäÙåÑ ßÇáÖÚİÇÁ,5.0,ÅĞÇ áä äÓÊØíÚ ÍãÇíÉ ÇáäÇÓ ¡ ÓäÙåÑ ßÇáÖÚİÇÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,u189045,只要他们一到，我想应该用不了很久,3.0,只要<causal_markers>他们一到，我想<self_mentions><hedges>应该<deontic_modal_words>用不了很久,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,u32159,显示了七万年前到六万年前非洲的样子，,1.0,显示了七万年前到六万年前<place_time_svo>非洲<explicit_references>的样子，,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,u268641,保留了一些,5.0,保留了一些<hedges>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,u247235,不过现在 总统先生 我们必须都撤离联合国大厦,2.0,不过<transitions>现在<frame_markers> 总统先生<engagement_markers> 我们<self_mentions> 必须<deontic_modal_words> 都 撤离 联合国大厦<explicit_references>,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
