,translated_text
0,Fengjie has long since not been under Sichuan's jurisdiction.
1,That doesn't even include what you went through during your pregnancy.
2,"Remember, we don't like people slacking off."
3,A sandwich filled with cabbage and ham.
4,"I'm very willing to help you - Robert, you're so kind."
5,Because there is no river on the map.
6,"Why do you have to insist on those two ""dong-dongs""?"
7,The purpose of a bottle cap isn't only to prevent the liquid in the bottle from spilling out!
8,All you have to do is tell who the real culprit is.
9,"Everyone, her name is Rachel, another survivor from Lincoln High."
10,Let's perform some old church rituals.
11,Later developed arthritis and committed suicide.
12,"And to be honest, after I found out that my zodiac sign is Libra,"
13,"Alright then, the Tennessee Valley Authority is slightly restricted."
14,That's not right; you're already too old.
15,Do you have time? We'd like to talk to you.
16,"Once they arrive, I don't think it will take long."
17,I only know very little about her.
18,Do you mind giving me a ride since it's on your way?
19,I love you more than my own life.
20,"Bribery, extortion, murder"
21,We casually chat to see if we have any mutual friends.
22,"At the time, I thought I was doing well."
23,"This is why you send your child to a good school,"
24,"#No, the number of rioters is rising; they are desperately shouting#"
25,He said he came to hunt down the demon.
26,"Sweat tumor. Sled lungs: harm and plunder. Bright railing, clever turtle. Old railing. Rescue. The opening swings fiercely."
27,Kaili Ruisi and Zhen Kelao completely turned defeat into victory
28,… self-described evangelical
29,I was looking for my sister and they caught me.
30,Comrade Stalin has ordered: citizens are not permitted to leave the city.
31,You should take a look at what they did last year.
32,I won't let you do that.
33,You and I are enemies; I know you'll understand.
34,So we need to hire Booth.
35,Someone help hold me up; I'm about to crack up.
36,"No, I don't think it's about debt."
37,Do you mind if we go into the room?
38,India gave refuge to the Jews who were invaded by the Babylonians.
39,"Oh, right, pour it all over your body, you little bronze slut."
40,Can you do it or not? Can't you make it more pleasurable for me?
41,Come on. Having a few more drinks won't be a problem.
42,In my TED talk last year I introduced the LHC.
43,"Earlier in the elevator, I also saw a grandmother and her grandson."
44,['The reason I say this is that this system is significant in Turkey.']
45,Next year we hope to bring it back to the United States for the first time.
46,"No, I can't tell you where I am, Mom."
47,Why does he want to see me?
48,It's an even bigger deal in my small community.
49,#The mystery puzzles me#
50,['I still need to sell a pair to her.']
51,I can try to get rid of them.
52,"When I make a move, he wants to make a move too."
53,I am sitting on a trampoline smoking marijuana.
54,"But in fact, we just counted it here."
55,You arrogant jerk! What kind of trick is that — are you trying to sabotage the Foundation?
56,"There will be white herds of cattle everywhere, with sweet breezes blowing."
57,['Every day we live is a miracle.']
58,Sandy was baptized there by Father Frank. He is someone we will always remember.
59,"He said this is cycles, repetition, rebirth or something."
60,"[""Don't be too hard on Stephen; don't misjudge him.""]"
61,"Luoshan, how did you meet Lani?"
62,What do you think makes her so unusual?
63,"You know, I think this is very fair, Mommy."
64,I was forced to marry Minaelaus when I was 16.
65,And I fucking told him he shouldn't go down.
66,"The government was convinced — partly because of this story,"
67,Be sensible—Uncle is treating you to dinner tonight!
68,Your task is to figure out when the Earth will be destroyed.
69,So what happened after you got on the truck?
70,We called him someone who encourages smokers.
71,"Wendus, watch out for the camera."
72,I managed to hold onto my reputation.
73,"Uh, more or less. Most employment relationships end that way. No, not exactly."
74,Could you let me stay for one night?
75,I'm going to take legal action! What's wrong with you?
76,Can she really help us?
