,utterance_id,english_utterance,chinese_utterance,english_avg_labeled_utterance,chinese_avg_labeled_utterance
0,u124196,Fengjie is no longer under Sichuan's jurisdiction,奉节早就 不归四川管了,2.0,1.0
1,u205217,And that's not even counting the nine months of constipation leading up to it.,还不算你在怀孕期间所受的那些,4.0,5.0
2,u260396,You may have noticed that we don't like dawdling.,记住我们不喜欢有人打混,2.0,2.0
3,u193134,"Fresh-cut vegetables, raspberries, pita with hummus and sprouts.",夹了甘蓝和火腿的三明治,1.0,1.0
4,u218714,"That's very kind of you, Robert.",我很愿意帮你 - Robert 你太好了,2.0,1.0
5,u75457,Because the river's not on the map.,因为地图上没有河,3.0,2.0
6,u250035,Why do you want those things anyways?,为什麽你一定要那两个咚咚呢？,4.0,4.0
7,u162353,"There's more to a bottle cap than keeping liquid from leaking out of glass!""",瓶盖的用处 不止是防止瓶子里的液体流出来！”,2.0,1.0
8,u172094,Just tell me who the fuck killed Mike?!,你只要告诉真凶是谁,2.0,1.0
9,u150084,"Okay, everybody, this is Rachel, another Lincoln High survivor.",各位，她叫瑞秋， 另一位从林肯高中生存下来的人。,4.0,4.0
