,avg_labeled_utterance,engagement_markers,hedges,attitude_markers,frame_markers,boosters,explicit_references,transitions,self_mentions,causal_markers,chronological_markers,place_time_svo,endophoric_markers,deontic_modal_words,situation_dependent_references,evidentials,code_glosses,adverbs_of_degree,positive_connotations,emotional_self_disclosures,slang_and_colloquialisms,figurative_language,negative_connotations,pleonasms,idioms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.14338891249190946,0.10361497138175274,0.03238846510150709,0.11549667846107782,0.11525169033559625,-0.0020329828639437534,0.14717727062045577,0.11290905908398553,0.07826344313452581,0.026779740387444986,-0.01472542249308968,0.028117246640661387,0.015393064805151681,0.06624201748388889,-0.014684275902143698,0.046388590630635156,0.033665737629447724,-0.015131457228728341,0.001012078448886589,0.02784100704426709,0.007969827955044872,-0.009074036613738116,0.014035877346699446,0.011431316228556814,-0.37673303388810814,-0.06022738058328536,0.07605080468381333,-0.3485513693554629,-0.28960084499516237,-0.47284523159077646,0.5139917019063464,-0.04018389868377837,-0.10890670675528356,0.0076447293482530786,-0.004676163021376439,-0.019971640950755352,-0.011228371675632629,0.017921678086181538,-0.006213029417754828,-0.07760948353916937,-0.0004201378070834739,0.005556373261918668,0.016815973838482236,-0.018089638456332914,-0.03170591117418193,-0.03249484599652616,-0.028527417081050506,-0.029401945649447144,-0.01854414139334178,-0.08057072698394517,0.4510763350826063,0.13727751243710057,-0.006546206195148385,0.04032247610470152,-0.13593989757125644,0.11821720854001896,0.03736762118262253,0.006743837334367897,0.023065010738106666,0.046129261662121064,0.10001716783567252,0.47066954975018993,-0.4164334855296817,0.260136217639847,0.14556070862269405,-0.34539574460547484,-0.3202336514908176,-0.04315786656693074,-0.09905489817798244,0.16081726311073075,-0.20479729167793345,-0.16852415992464773,-0.3547387151530455,-0.07519823919437003,0.020766245546156626,-0.33965787734286707,-0.012886884859777197,-0.01438281096756991,-0.3459649966397964,-0.017101231929947214,0.4103748632130333,0.18581477772436117,-0.06529391757446004,-0.4867426407110562,0.08547707895572408,0.05310814004632251,0.10587648738437731,-0.030048491946916205,-0.019538996015242484,-0.01766831767137213,-0.04370792988063371
engagement_markers,0.14338891249190946,1.0,0.04644255071329326,-0.004407438283146431,0.04164045630015704,0.07300678721932412,-0.04932653684372532,0.006336881725481679,0.1466529551792579,-0.009911050606825756,-0.014810586897239937,-0.05701798805686295,-0.019007018194255203,0.17344789370273211,0.015813343709226463,-0.057287355392140554,0.004522632872004969,-0.0171948675238534,-0.021753574329312454,-0.0039329735233222625,0.08699845164438526,-0.021377754024129062,0.0037332346359510286,-0.020553868786969767,-0.007697158819985264,-0.24939714052187764,0.00640393895875406,0.07446498080193435,0.043703310381519415,-0.2589206268007543,-0.03212116450776938,0.07314542426758694,0.07896883054253859,-0.12541655876340604,-0.07029549578993492,0.041356692622984345,-0.05366165931279403,0.15836685856736246,0.190159874992724,0.06622592588760905,0.08235754494629036,0.1968525567229813,0.05257428564109272,0.005877761592616859,0.10770831971032094,-0.01692412597752709,0.08987180302466523,0.1809218790613754,-0.06429544940588301,0.052764119508698845,0.03531168289532978,0.12729238979959953,-0.025755367325417878,0.001591032789761379,0.03390915689169371,-0.03263244176778231,0.006057912465000133,0.07282847559220258,0.0745912551662713,0.03113571769886783,-0.02932181330312555,0.07780221157094826,0.09909493072805141,-0.2204281435672745,-0.01697743925288317,-0.004885254863753927,-0.06579283626132053,-0.28892525767069854,0.14662243242262776,-0.1578749336771731,0.20770938229086952,-0.30773235250153425,-0.10037814852937953,0.050644692650923175,0.0872857963593909,-0.12170794150642807,-0.286862854619587,-0.11894367825782265,-0.1184169559916558,-0.2824510814377705,-0.09163891302798086,0.03867224810672294,0.03955795361736546,0.1151242335140587,-0.008583842169909121,0.18984549580511495,-0.05550024923381691,-0.11136063453597059,-0.11227244452360027,-0.08724812722700602,-0.1179978689127846,-0.08151087436173345
hedges,0.10361497138175274,0.04644255071329326,1.0,-0.0035063479148026632,0.027677464308250584,0.02752294664523918,-0.09921400594005378,0.03795711159686725,0.13816605974489352,-0.007970186660462246,-0.04891012543004861,-0.03133089264555368,-0.022804587641629914,-0.004076369217374469,-0.0477973355854265,-0.03123652644246424,0.0169263318450301,0.019601773687561996,-0.0228210244550162,-0.012640173634359363,-0.0035912050937352315,-0.02056764941498389,-0.02511356168566053,-0.024287675278707434,-0.025438571803396117,-0.0703519303312498,0.03967338748235548,0.10152705266967585,0.022940392496216308,-0.0612630296167868,-0.08871146223072346,0.07773469824937927,0.03773424634235979,0.021104478590227512,0.01362310395328996,-0.01782847131668513,-0.0465769018528246,0.06320265371637447,0.06562215935463118,-0.044110139438592995,-0.0358023027994093,0.08274572242749174,0.03268518465615068,-0.004953051377076786,0.01512212805003951,-0.010883097325838979,0.005402916353731796,0.00305177853664336,-0.02845788865972734,0.0017286943325167132,-0.033207615806684986,0.0993447230298392,-0.02950811717638409,-0.033396010272950416,0.003989065382397873,0.04446889480011426,0.12765424697714964,0.00997974718060333,0.07204738725244271,0.05283134746514154,-0.04176573684207269,0.011464150089837664,0.11365911375667023,-0.1526197916666301,0.034458654949061696,-0.021103509300614342,-0.08472258697300693,-0.13163393024384606,0.00555581361550648,-0.009914792083479153,0.04212445484209606,-0.1310504476696802,0.040272184443353384,-0.15341774624612267,-0.07356707917208977,-0.05481918460162091,-0.08496481664128779,-0.02900088310277323,-0.028060014044008926,-0.08307783622326778,-0.026332776383342683,0.1839485885291586,0.02352992824693408,0.03332904688824177,-0.05269345716537168,0.04124966688896974,-0.012303034021663639,0.024012659755534738,-0.032916056772174775,-0.03866069711457448,-0.0015443480890861112,0.010961603907781226
attitude_markers,0.03238846510150709,-0.004407438283146431,-0.0035063479148026632,1.0,-0.027748459065766822,0.014750528709546356,-0.028340855726955848,0.005935663572750262,0.025724986076847856,-0.01796408481425721,-0.013816760057428656,-0.024291878639275722,-0.012710292445508857,0.0010193814768995643,-0.022243056712491997,-0.017451799341325486,-0.012483290400855376,0.0870659508868091,-0.01070102357816288,-0.00430271150365233,-0.006933037188156108,-0.0136895512793861,0.002598148227377776,-0.011617512363434068,-0.01008174876149427,-0.069715301589657,0.013008312266006428,0.07419848150262262,0.02058149535211962,-0.05064123368787528,-0.014177810755490123,0.047508819627428374,0.036931335563032894,-0.015398781959817228,0.00731189503279683,0.041028053172445005,-0.02201479801387519,0.06283384651399071,0.05830269220211292,-0.02025167564298693,0.010449950778216614,0.022797319081860327,0.04227515927593136,0.008450628869212964,0.00035278968270575223,0.007695143603042805,-0.004874937790591809,0.0029320700089118883,0.016566002172322496,0.004824604513479457,-0.01320046742288265,0.040105439184857185,-0.01662592177594953,0.024213379388522686,-0.005080697081770092,0.004028050221101648,0.05280107327929385,0.04030899805435219,0.04418946579417546,0.016241341268468518,-0.0029198461888415273,0.05748311713731148,0.03937782851270324,-0.09103073907238626,0.026073148970175247,-0.015067030159836273,-0.05225744020546132,-0.05220279440028128,-0.006713460504622797,-0.002457373876827326,0.10589282637056886,-0.08129855727194799,0.0018345051315049295,-0.05079362767600411,0.0072991412984844545,-0.02128464567322229,-0.06218179391366699,-0.026988301283546044,-0.027433469977706574,-0.06025657431719161,-0.018952025298687135,0.05087451187982808,-0.0022803396664891856,0.04167365628551639,-0.0034360558882753503,0.044120357896046444,-0.015055704333661065,-0.001245928418833117,-0.03881733247640182,-0.025370084451309602,-0.0023694133679442314,-0.01893941078684534
frame_markers,0.11549667846107782,0.04164045630015704,0.027677464308250584,-0.027748459065766822,1.0,0.018834965255197796,-0.033683124670562975,-0.012796181134689482,0.10687375879938975,-0.012452749236589445,0.06868715883178807,-0.03334558453764231,0.044803019663878646,-0.004758205396881811,-0.034064209720577096,-0.021282690665910563,-0.0022936189859500615,-0.006141317704323895,-0.0014444666535030522,-0.012237048037968769,-0.024935000172341393,-0.01176363352916247,-0.01441041315441261,-0.015250126777935316,0.006387039925329468,-0.09530691826908176,-0.020074978723551302,0.01499863760830846,-0.021484125412095254,-0.0968895174965074,-0.09582076128416733,0.0989003543372861,-0.04433268573900957,-0.058766147670611446,-0.012046549229738815,-0.03691170376621771,-0.029148830397866723,0.024960264502752145,0.023106263025019252,-0.021641533825717655,0.0056547606924557,0.058756121268041764,0.01811547968586145,0.006047186496210684,0.03260031539816902,-0.017529168047117048,0.02033791841017882,0.020008924951443414,-0.07487917823070657,-0.014128959831627649,0.013532966083096749,0.07277459684975339,0.0014176464429397782,-0.004401248114155246,0.04230932177912351,0.026890438951210998,0.016451057885708078,-0.03321267354100996,-2.4376844517297333e-06,0.029942062903384383,-0.029739343764512663,-0.010618199634076536,0.08797798917759103,-0.06863456671176696,0.037749377291840414,0.005715658098429817,-0.06663671845872497,-0.08252058764773829,0.021853408533497463,-0.058265541403633304,0.017577022013037815,-0.07358453135126508,0.0016020221947765183,-0.05540726910627883,-0.046670489626009705,-0.03699408118954299,-0.09196953018343783,-0.011778366651522433,-0.013271988001010948,-0.09180503551471644,-0.01119813915649716,0.050394712180290666,0.0743063020521743,0.004522790046706487,-0.06057057626236691,0.0034294745307930216,-0.012089187096223907,0.01941610895480496,-0.003627084176290618,0.037666199582345176,0.032576377776873625,-0.06356675169914544
boosters,0.11525169033559625,0.07300678721932412,0.02752294664523918,0.014750528709546356,0.018834965255197796,1.0,0.13156770783192767,0.008207524714981276,0.11128242434942325,0.012486336205484902,-0.023806872589599536,-0.043049561445762205,-0.02375517314107473,0.04398776985383839,-0.0400168745161377,-0.027543491371256758,0.03033045249477931,-0.005406734839649103,0.00585667694859231,0.002470765650885864,-0.0020755041658988087,0.0017348783749045118,0.022223667230152462,-0.001233754156822781,0.03599753303756986,-0.11169075994462947,-0.004768612497582174,0.10571816869339387,0.018300656991046736,-0.09599726037485314,-0.05162181212195034,0.05125726660231509,0.04228536838815772,-0.02894675839773913,0.03409241761729532,0.02555754567479979,-0.027483435371815634,0.038615073684355315,0.04834905063709419,-0.02172023313957958,-0.034295559543445334,0.05512153431022116,0.015796943555753753,-0.007243342103584552,0.02149695116687696,-0.01911484735470415,0.03627640457748129,0.04144877965497413,-0.03985850921014737,-0.011962572792367468,-0.032083352337332026,0.07752794025546587,-0.0016377836955065875,0.04469626675620716,-0.01146997750753367,-0.03043547007436566,0.017266994257569897,0.03824882040646455,0.006667108472224707,0.06294098478692581,-0.010019299144013888,0.07146911712509732,0.0686622477712929,-0.11836604978634996,0.010667632947134699,0.003153372637313892,-0.05387517726683837,-0.16534381436832546,0.024180711723192184,-0.039776842772735875,0.13706469511965325,-0.16165950060662443,-0.05529877741403978,-0.03177163438234701,0.026557835943757723,-0.04069900068703973,-0.12886014286249187,-0.02323379057640037,-0.023622100114342254,-0.1268226918645085,-0.015908352047469338,0.034804152219232325,0.050116754208960036,0.014108972494203698,-0.02142500648628066,0.07185151085184291,-0.02116491589970009,-0.026186243171063706,-0.05197054111509746,-0.04851154179100666,-0.03247108890617035,-0.02789307576667789
explicit_references,-0.0020329828639437534,-0.04932653684372532,-0.09921400594005378,-0.028340855726955848,-0.033683124670562975,0.13156770783192767,1.0,-0.08274182312982872,-0.0823280441939569,-0.029264517037528918,-0.007127178177996392,0.05513823414654656,-0.019627147387120188,-0.04073662186535833,0.0654408388047308,0.037752294533610786,-0.03807909989050511,-0.039354208652856305,0.016513444547306914,-0.01814135126361611,-0.009880960844705175,-0.005988060282155193,0.011284318967321598,-0.016432724282414216,0.010187610864368767,0.016827225901939195,-0.04906678244645308,-0.062018818167497845,0.08280521155467627,0.011271889116720137,0.06429269513471261,0.0002937712796816432,-0.08215490168922732,-0.07386307548615383,-0.014935165245158524,-0.013775126957294968,0.050907446074320954,-0.04034456841286722,-0.05068948678416116,0.11167053950341359,0.1169292067112753,-0.05463307177690357,-0.007140712272635964,-0.02421209023459593,-0.06075561250648776,-0.014567754923569107,-0.05790373112371523,-0.061148954769325414,0.01142236402198847,0.019915759622393482,-0.03383723928679657,-0.06656603720618444,-0.0472931932836338,0.013442209708517987,0.01860735465991329,0.01883744412639561,-0.06600884487636419,-0.030552945548400882,-0.03569315533829423,-0.02623167527632652,-0.02803733324255142,-0.06478780053890087,-0.0686443123406814,0.09808192541932265,-0.1351329911410881,-0.04864857975600551,0.12402708114386465,0.06232075575389214,0.07847825529855043,-0.031121041902601076,-0.045248383372896515,0.04068341922046986,0.018533579888435046,0.10160785207484284,0.0349792205393979,0.16930818153230268,-0.011273201782256277,0.032418650834336434,0.03396428467140259,-0.01719654747148346,0.030206710873814817,-0.10432417171624332,0.006459085268329732,-0.0150428524342928,0.10286393829142557,-0.027610400871955362,-0.048218794044975345,0.001337988436238404,0.03297228559384386,-0.006448488933926164,-0.05356707410355423,-0.0678720310622648
transitions,0.14717727062045577,0.006336881725481679,0.03795711159686725,0.005935663572750262,-0.012796181134689482,0.008207524714981276,-0.08274182312982872,1.0,0.10207767983774314,-0.008011294409635782,-0.04020071918067373,-0.049974137669453446,-0.027481324167981692,0.008161213322011201,-0.032390994751753936,-0.028922558704658867,-0.004609650118043987,0.015014420222114268,-0.008167501455164075,0.0021994291256178288,-0.02082077079051245,-0.01705023166693472,-0.01831551122456716,-0.023804131397498512,-0.011261986391419199,-0.1028324103392762,-0.016616712620727437,0.03684097068581391,-0.018378315202718917,-0.0812122518842924,-0.07764107210463232,0.09689930334916601,-0.010054678519926336,-0.02397215252252743,0.02017915097603863,-0.021747324900324588,-0.037294967915268935,0.02768002493538571,0.040394522658502345,-0.03603754646869061,-0.038456016346339626,0.03668863087800593,-0.0005102384488031527,0.0025187688177109057,0.03364434809366071,-0.01848453314348605,0.010597010281575975,0.018867062130138296,-0.01624955919932221,-0.025620398529854323,-0.021457154794933,0.08690971622158383,0.022955264244662894,0.006556085488463351,0.006797184782948156,-0.009076130938929087,0.0645699173667038,0.011222972025322337,0.03649555022128136,0.054926903875885676,-0.001434019922920581,0.037021917045112616,0.09846636880643309,-0.0953704353287638,0.0401357616493406,0.021187279944504398,-0.06222140824243679,-0.13339037018946776,-0.007438583498221302,-0.03312295806563603,0.051674986509296035,-0.09453356443817985,-0.01958957226764953,-0.0755427560229474,-0.025952871170393303,-0.03574802422389654,-0.10009920428793546,0.01809439551922682,0.020041342407797525,-0.1009140095390264,0.015302512379621038,0.09426440576293574,0.04873990998722326,0.006119147654431142,-0.0646470976468708,0.03010347761588804,0.018132578322518834,-0.008967672078476315,-0.055683933119572246,0.010658145520886272,0.11534296765046212,-0.00734323785067361
self_mentions,0.11290905908398553,0.1466529551792579,0.13816605974489352,0.025724986076847856,0.10687375879938975,0.11128242434942325,-0.0823280441939569,0.10207767983774314,1.0,0.03018540798587545,-0.0029041701555516395,-0.0388925364259029,-0.010988285268087823,0.12227569339488924,-0.02105077163912324,-0.062004951345366294,0.03733806802183766,0.010937302763634232,0.0007334896454714879,0.06347309072793758,0.06586423547973724,-0.010246411878792182,-0.02027241763119441,-0.01397299032864475,-0.003723666694946887,-0.2756210714852675,-0.07134895952867037,0.3310279218857298,0.07697866824194496,-0.23931562063895695,-0.08787456680738853,0.09239795330988618,-0.07138687297358833,-0.16333009827930084,0.16620153777800564,-0.0502003741950165,-0.07255841878161141,0.07105941781671136,0.11212981565832039,0.019266884223813178,0.04607084723939628,0.2338750576297284,0.136952652796535,0.1440220460566083,0.14009696487969642,0.02572831564477434,0.049107488635029554,0.15772340111527663,-0.02677243643341439,0.08005990695540455,0.04504675991236259,0.14327549947228863,-0.01546833170953865,0.003741076626672279,0.061596131225145186,0.030818459657892285,0.009137525837062156,-0.03863565356440566,0.07258187770049951,0.28909596659731096,-0.020498960788493423,0.1092159448684049,0.1406886991969747,-0.19787292657287558,0.010542149480630269,-0.0019478045126653026,-0.09156716081613961,-0.3110917508440666,0.0947703683861713,-0.1433611472603653,0.24159985187538727,-0.4894014948278959,-0.02672967446962177,-0.029847048378219665,-0.01145122722211143,-0.13002007986245273,-0.31985568734615066,0.0223615243718722,0.020826745667524165,-0.32512863082692306,0.011629964386411493,0.06765243424923245,0.07683402749498114,0.08807450948449336,-0.010042715102651995,0.09501819786712422,-0.011744264861385616,-0.082043512130132,-0.09057900047079658,-0.029768899161278478,-0.07626020430255448,-0.10196021959225705
causal_markers,0.07826344313452581,-0.009911050606825756,-0.007970186660462246,-0.01796408481425721,-0.012452749236589445,0.012486336205484902,-0.029264517037528918,-0.008011294409635782,0.03018540798587545,1.0,-0.02750220228982254,-0.03292158185475519,-0.01663271873764436,0.031284174615952905,-0.025929647423243166,-0.03299638374608633,-0.02632193032302565,-0.016361613700097505,-0.013179121983006237,-0.00016787640072225008,-0.00428488793334234,-0.020672127428882657,-0.0026421247325720152,-0.014083558479141483,-0.009047518144013424,-0.032351643913781876,0.0018340923455295753,0.01793173421524196,-0.049843749825472676,-0.019434927708892137,-0.05071518265229668,0.022113970043203694,0.017622692580157598,0.0815076959495301,0.007323047299135828,-0.008289852955367494,0.016513068523014943,-0.0011778383758378201,0.006802513101275145,-0.0063882524896749305,-0.012162301623480925,0.008377363483313756,-0.00042073186647289726,0.0075974430750518525,0.021775075496087978,-0.012399019902403073,0.021390303201456615,0.01991987779780184,0.033483138593209116,-0.00620133326884059,-0.009969592181578132,0.03767358303366771,0.006934764769548591,0.04163854172281964,-0.005358376107481559,-0.017397039826931124,0.01406716042485451,0.004736743112475934,0.016529713275707694,-0.0062062213648824355,-0.0052377780661568216,0.008806762609725292,0.027748401381383674,-0.03652037402062522,0.04588176683137291,0.009321032793514289,-0.05108574368640567,-0.040010184464603714,-0.05698421502832693,0.024313596664679825,0.01120881451113489,-0.021743617581714912,-0.011174714779707388,-0.051515851978477266,-0.020392481445999387,-0.011801168770078332,-0.001971702122754877,0.0225624613677244,0.022918530451755636,-0.010264029832846288,0.01750259032687442,0.05224630731707064,-0.003267357937047921,0.00027620202870297844,-0.045926561744513664,-0.00035368290491341863,0.01511875223239385,0.04461204037123926,-0.004744913525765791,0.02265819492210526,0.07932674652465938,0.18471899525557575
