,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u176708,"依据烈度衰减和余震分布特征建立了矩形滑动断层模式参数,并应用曼辛哈(Mansinha)和斯迈利(smylie)给出的倾斜、有限滑动断层位移场的精确解析表达式,求得平均倾向滑距。",1.0,1.0
1,u57261,与其说国家开发银行和工商银行针对加纳可可协会的融资安排事关巧克力生产，莫如说是中国执行巩固与资源丰富的非洲国家关系的一贯政策。,2.0,2.0
2,u423193,莫央行货币政策委员会发表声明称，今年1至3月，增幅最大的行业是农业和工业，分别增长11.8%和8.4%。,1.0,1.0
3,u327975,公司的主要产品为铜基、铜铁基、铁基等各系列含油轴承、各型齿轮及其他粉末冶金结构件。,1.0,1.0
4,u174045,这是一个可耻的骗局。他竟然有脸说这样的话。,2.0,2.0
5,u267637,首先，政府行动必须坚决果断，而不是希望问题自己消失。,1.0,1.0
6,u357219,韩国球员李容杓可能会上场，他刚从踝关节伤势中恢复。,1.0,1.0
7,u435497,据官方媒体说，朝鲜还将为金正日建造纪念塔，并且将金正日2月16号生日那天定为“光明星节“。,1.0,1.0
8,u308704,让我们记住，人生的秋天很快就会来临；我们现在播种什么，到那时就会收获什么。,2.0,2.0
9,u195247,国会和一些州已经为生物燃料的发展提供了强大的支持。,1.0,1.0
10,u384529,在媒体报道打压事件之后，许多中国网民义愤填膺。,2.0,2.0
11,u317684,榨干更多字节也许是可达到的目标。,1.0,1.0
12,u263440,在意大利每走一步都是争吵和打斗。,2.0,2.0
13,u350365,这对双胞胎兄弟是在伦敦长大的。,1.0,1.0
14,u200893,法庭文件清楚地记录了这次特别调查，记录下的证据揭露了一个毫无神圣可言的腐败社会。,2.0,2.0
15,u217090,这种强调功能性的心态可能来自于十年前里德尔决定重返校园时设计的自行车。,3.0,3.0
16,u254491,我把自己当成普通人，所以我就得记在脑子里，我犯的每个错误都会被夸大，成为新闻。,1.0,1.0
17,u94558,请记住：个人成长靠的不是嘴上功夫——而是日复一日的具体行动。,1.0,1.0
18,u213958,"注意约翰福音是如何反复地,将这些问题归结到基督论上的。",2,2.0
19,u146288,（Ellamitchell饰真的“超级妈妈”）：我是真正的“超级妈妈”，是那幢房子的主人。,2.0,2.0
20,u200963,“终于自由”使它自由到无力地躺在尘土中，无助地任风沿著地面将其吹走，碰到第一个障碍物便毫无生命地滞留在那�了。,4.0,4.0
21,u346771,两个阀门的安装形式，其整体性能应该等于或超过系统的需求。,1.0,1.0
22,u392154,“亲爱的班纳特先生，”一天，班纳特夫人对她丈夫说，“你听说了吗？尼日斐庄园到底还是租出去了。”,1.0,1.0
23,u139301,"何况海丝特·白兰在众人间的声名已经大有改变,即使是镇上以恪守妇道最为著称的妇人进行这种谈话,都不会比她少受风言风语的指责。",3.0,3.0
24,u209580,"通常,房地产经纪商们都会对强制出售房这种手续烦琐,不确定性很高且利润率较低的交易避而远之,但现如今,这样的交易对许多经纪商而言,就是黄油和面包.(完)",1.0,1.0
25,u147748,"偏离久树1年生枝条氨基酸含量越远,紫胶蚧在该寄主植物上的死亡率、怀卵量越高。",1.0,1.0
26,u368992,据悉，4日，这4人进入俄罗斯境内找工作。,1.0,1.0
27,u399523,妻子死后，他在农屋附近开始种植橡树——形成了一个灌木围成一英亩大的爱心。,1.0,1.0
