,avg_labeled_utterance,engagement_markers,hedges,attitude_markers,frame_markers,boosters,explicit_references,transitions,self_mentions,causal_markers,chronological_markers,place_time_svo,endophoric_markers,deontic_modal_words,situation_dependent_references,evidentials,code_glosses,adverbs_of_degree,positive_connotations,emotional_self_disclosures,slang_and_colloquialisms,figurative_language,negative_connotations,pleonasms,hedges_deontic_modal_words,idioms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.13433828611562337,0.057407680392102714,0.03314409449240216,0.030470956864624876,0.09619988643406001,0.021488529397624266,0.0676253783330343,0.04925436333841129,0.005992450731069011,0.06740622969963425,-0.06706463610873117,0.08048320160936233,0.010193816671613207,0.02981409716864407,0.034761507489473556,-0.002234486945146707,0.009151543065552634,-0.005183427465411464,0.002792965199070027,0.011743406436834573,0.04728363182493231,-0.059705204486467024,-0.03509622579468919,0.02681303837046222,0.02681303837046222,-0.2625587315760456,-0.02604687948368318,0.11323549635398888,-0.27703582294815876,-0.20648332005468828,-0.292428839589674,0.4812770666687716,0.06323962585466801,-0.04303123552150643,0.03627636782353839,0.09145769402138755,0.05741945012477941,0.041038204353993496,0.05180063173933217,0.086352376029364,-0.0013403219045396294,0.0036564525716729925,0.07075393823730354,0.06734328432192795,-0.04609007301017667,0.05598886884770911,-0.03155947773013245,-0.01597591402629148,0.06709256012280498,0.03394833179786138,-0.03079269521769097,0.30389545293813175,0.12350035993129767,-0.05332257441117627,-0.07049383321640115,-0.16162678413541923,0.03883670471408282,0.11736073874815535,-0.005998299097911556,0.029374793453802832,0.0899070267664629,0.1615903957596992,0.27596112208912366,-0.3025457200948167,0.06021891547843579,0.12228366899169935,-0.17582870754072685,-0.22927180982205123,-0.09336621698653674,0.017726000324245098,0.24427307006418197,-0.1680511497569596,-0.18024424986126117,-0.1246217002181525,0.09006780341054368,0.14491387334263672,-0.26358612402556375,-0.0178998253993475,-0.017245264756227962,-0.2658684128449773,-0.023596760831357987,0.14351592202534177,0.04396892199023312,-0.02162649796859218,-0.33584773814728525,0.19329518165396523,-0.023304095026876064,0.03244584168067231,-0.014133362456140369,-0.011323377096966701,-0.0575048418067921,0.03068794155217099
engagement_markers,0.13433828611562337,1.0,0.021528676061490035,-0.015586596438345568,0.033165579827832754,0.048882159604457326,-0.021998423169435947,-0.037100015318622385,0.08889537026653471,-0.02686790226081522,-0.01596621362190289,-0.05185064940385393,-0.013167532357027055,0.09858996750549594,0.011618220940694856,-0.043197265749815764,-0.006421958106176616,-0.014377896405313985,0.04381483957888482,-0.01149752713412051,-0.019604963660721196,0.018436281283376783,0.006076874712779865,-0.027323179148453752,-0.017232281686489295,-0.017232281686489295,-0.18957915794840757,0.07155804378653956,0.03698283843248647,-0.03547525799990955,-0.23965279174339824,-0.06438566857922794,0.1741288175081902,0.08652428838824967,-0.10447674733864747,-0.05582761041207773,0.1366166279651164,0.041949832859100304,0.11942630909449643,0.16281456214558002,0.13356962923042787,0.10666394322992043,0.1372688124520934,0.18218182271846156,0.13051409812865908,0.09146327476488866,0.1441204410831217,0.0352979666937254,0.2489264554765027,-0.03392698062250381,0.1252634407926032,0.11132666310003496,0.04146817145070939,0.03976603857259862,0.028471617886287284,-0.01297057012816188,-0.09153197848309944,-0.000349981497423396,0.1330153374639163,0.02594470098380419,-0.018248806902052602,-0.005093933979101181,0.11677228028575516,0.034941323426769554,-0.16188754569943803,-0.05093704128398517,0.054823463500687244,-0.006438955710098159,-0.1765547360227053,-0.025258641862440104,-0.045100568794067854,0.23407024688853065,-0.19236106521305352,-0.14515986200962702,0.002131459426995969,0.11556779068221895,-0.016652638790436075,-0.2482803898605704,-0.12050462991532783,-0.11759645324817218,-0.23586115675023606,-0.0772521518632878,0.010553903899625464,-0.05949815790959214,0.12475079394294165,-0.04484556864235015,0.141149235314372,-0.05282081167913424,-0.03681396879178778,-0.053046116909678226,-0.059409436084237356,-0.05084955500304999,-0.04700800846319208
hedges,0.057407680392102714,0.021528676061490035,1.0,0.022684637617010877,0.03946090842651348,-0.04027304159433435,-0.10792819291405538,0.011007319378943399,0.12804712798154555,0.003990349062489209,-0.0056831817021454345,-0.008406345711620305,-0.013354443578441077,0.08231390715549201,-0.030303071607477982,-0.051145216006637885,-0.07541366455640772,0.08344998907458391,-0.026374696094495303,0.03318495328173551,-0.0016136664989622152,-0.015728083910634925,0.03664496813927918,-0.03164342231552297,-0.026374696094495234,-0.026374696094495234,-0.0904610130378493,0.21177652457749926,0.10109175497502601,0.0849379403173831,-0.12183076187256142,-0.11725254506686808,0.09379384987367644,0.07588338143941101,0.033504644335777156,-0.017995670224409375,-0.07458987167635057,-0.08679191485485445,0.18332043986325,0.14490112842901426,-0.06525144870467375,-0.007934257868143847,0.11835576313924669,0.07085182396509714,0.0007370896774299602,-0.007425219546179769,0.030312755216854698,0.027232268131286447,-0.004503376489332345,-0.04073879697036938,0.006231675088663915,0.044457575446323686,0.08265920971324145,-0.03179172541354627,-0.07842723979933094,0.05730682577898157,0.14942501079448584,0.3066885846696173,-0.03174699344183511,0.22159001116914795,0.015355969453365233,-0.08249826969265403,-0.00981887058474328,0.17801673222892703,-0.22284473948721692,-0.014555507742729599,-0.03442484792936765,-0.0770375791099535,-0.11286673043719245,0.0229424634763745,0.036795537665622095,0.008111708218399932,-0.15732433794133266,0.1372136681753959,-0.301475143332638,-0.19756908087805108,-0.08512268978498252,-0.14609799978865873,-0.11383694532468129,-0.11273678561723245,-0.13399026950666318,-0.1226276669639685,0.3665720062770873,-0.04023827059546466,0.14556880897871985,-0.022957543689548554,-0.021477791638314973,-0.08380946857261189,-0.003982468018246732,-0.03840967978289451,-0.1104228808608443,0.0006614234235320543,0.044813036913185486
attitude_markers,0.03314409449240216,-0.015586596438345568,0.022684637617010877,1.0,-0.021877638760156814,0.05309935711921336,-0.025719442300138614,-0.01432676363365753,0.07350450681081162,-0.04538746483378215,-0.013554646651791074,-0.028859075002733277,-0.046978349846825654,-0.025845952180785527,-0.005489815561034768,-0.03555598111392603,-0.018692250631497705,0.017570501041585314,-0.010585106458455654,0.053336318137599495,0.1313085999392577,0.03035220171625353,0.09605639352351582,-0.01678354412559284,-0.010585106458455652,-0.010585106458455652,-0.16600324532408497,0.015444765986950179,0.08529860923012737,-0.03708471260290165,-0.11965347211559561,-0.09271858914589581,0.12413722485246717,0.047808561928262036,-0.03228396019935077,0.024866624551400613,0.08794380992089129,0.0120886724074689,0.12446796195543364,0.10835883125584046,-0.021744391060183214,-0.0018840341195932703,-0.004468986090820039,0.12362938119890232,0.03519676128873615,-0.05386058764276942,0.04636856267504109,-0.03361685319803482,-0.020723079513984187,0.03809841138825208,0.04099796634823117,-0.014524654185239717,0.14186878476798215,-0.02308132218852715,-0.002993609805889372,-0.02926462906953412,-0.04729514892298584,0.07736546543296514,0.05553973769187242,0.08940687750483782,0.004956594819625897,0.01394903741707044,0.11396933982373798,0.05822463384862385,-0.16295784392364904,-0.014460862454530545,-0.03680073385642786,-0.0655545785380111,-0.10363256160127082,0.001540071450565857,0.014798990041215146,0.1506238403146717,-0.12271688481752345,-0.04521192239020508,-0.06775836119540679,0.030086508983619305,-0.017995938227272187,-0.13668700387230817,-0.025059643614347787,-0.023633200505665534,-0.13927753108366714,-0.014119406185045282,0.10628484619310219,-0.0059731375954239965,0.058854098485159045,-0.07314403832656237,0.05355076299462801,0.006867706055112308,-0.0327498118879876,-0.06890793574793998,-0.02795474901946723,-0.014376186398333086,-0.07522571917448366
frame_markers,0.030470956864624876,0.033165579827832754,0.03946090842651348,-0.021877638760156814,1.0,0.023802500577354228,-0.05134700850556924,-0.006829348598126527,0.12272809607560266,0.07387350964670444,0.037025475085213755,0.044458744730728486,0.08530716954599248,-0.00688895817634364,-0.0472871690577597,-0.06850082037467664,-0.04236222871848018,0.0034959404191595863,0.05203663568014287,-0.025041953606222352,-0.032334596177998914,0.023357256755841632,-0.025278238214904707,-0.020418094041617388,-0.01287735757668198,-0.01287735757668198,-0.019226326514960382,-0.0011483755127828076,0.07072346889686916,0.018161639995064326,-0.05762317905044644,-0.060168313305169134,0.058496332796102966,-0.03928568956125191,-0.0637850570339132,0.02838948424413797,-0.05519319659864405,-0.010259250627215789,0.08704130546058853,0.14007927806563367,-0.04282008165284675,0.017184062638370856,0.15956900433438806,0.12211637759445906,0.054838291494395154,0.07792047464481378,0.03911135648980178,0.1092031757181372,0.0853643130960727,-0.03422575602095403,0.0005569028126985541,0.03423134093547872,0.024581274691776556,0.039104755615905706,-0.01147618212562284,0.07208945353575567,0.08373836334044392,0.06490865504432368,-0.06726994467907348,0.09605488041471362,0.09022909740653126,-0.00484353830352984,0.02399677698829746,0.058163590794363514,-0.04714154698858051,0.03694144034805964,0.016223407078772577,-0.04992817667785085,-0.0066549520915973395,-0.027982321536833377,0.04414094656173721,0.02631656702168024,-0.11773402527243336,0.07082208233521094,-0.10195228105116873,-0.09070076810022804,-0.03824570308949419,-0.05067577573952792,0.06094488601099058,0.06339427354087225,-0.04959474801933463,0.04031250180704106,0.07543215049705752,0.013753382054612436,0.10402887094489256,-0.006553742087088593,-0.021715860420636193,0.0032778615005095257,0.07948815393155816,0.07042906974063713,0.12682728034474341,0.11988931084762282,-0.018109304777130367
boosters,0.09619988643406001,0.048882159604457326,-0.04027304159433435,0.05309935711921336,0.023802500577354228,1.0,-0.08184882513196402,0.0151909694896477,0.1267188995899914,-0.026660782396631954,0.008639018924155192,-0.04678118263989619,-0.01793634994956025,0.007322802478716202,-0.09415385170252588,-0.10815301232415117,-0.018273176546059162,0.042082395426588294,0.02402162366921585,0.0223404831178497,-0.019449637336706883,-0.034392515217963805,0.049630015053370065,0.05526568696113331,0.045743843263357044,0.045743843263357044,-0.1534585530773179,-0.04777900350337528,0.1511155560937763,-0.037854796493388736,-0.12496180890674242,-0.043336400885571974,0.05899256721508152,0.039207206392031575,-0.08801228050325297,0.09745842720178861,0.01756511804475478,-0.07474281438431057,0.0784887332727464,0.05439766988365526,-0.015375131811978946,0.016919407565230866,0.035379376534371995,0.06937893368623921,0.10553633776845919,0.04651592947834412,0.06579016360505759,0.05426970046597265,0.017565280915760005,0.040563655131011345,0.07535683525169212,0.04929085336939368,0.066178483396851,0.013998540392750008,0.05758642978550272,0.02018676025794739,-0.027001846837013305,-0.05979397249282315,0.019632196337865965,-0.0034970501876934786,0.1474200005090593,0.042452467977497924,0.11708037739547619,0.07016344903248367,-0.17751964949668006,-0.041164080231788705,0.014415919145391231,-0.020719260536715956,-0.2030065742820619,-0.03197559765519272,0.019593318438237188,0.20070163435624844,-0.15720822512482635,-0.05961613619514272,0.005748166459177445,0.03523939689097329,0.002037277070889297,-0.1867844263812673,0.0037059298255108543,0.0023257944986381307,-0.18961243181324935,0.005757154431488719,-0.02530885594920772,0.005063663693478557,0.06514338391738428,-0.04834566322986948,0.1370945625360069,-0.009511376564353406,-0.045057772617655374,-0.03437466922705827,-0.009443836432232528,-0.03878087000022444,-0.027651723598103004
explicit_references,0.021488529397624266,-0.021998423169435947,-0.10792819291405538,-0.025719442300138614,-0.05134700850556924,-0.08184882513196402,1.0,-0.03936354035064093,-0.0882006435919475,0.02449493623511748,-0.015646695590297813,0.015044762827159395,-0.03232989494372197,-0.07733757217921294,0.12794277619350372,0.054962803046485306,-0.027238585179317865,-0.07359021131510053,0.0037285163465417596,-0.03008876034031055,0.015717804856896198,0.04284364080931494,0.004335174104719515,-0.024533035556439046,-0.015472583810114205,-0.015472583810114205,0.007225635067335702,-0.07554148349653433,-0.057922201540726866,0.10078078687562646,0.034875659320082304,0.09448274591295629,-0.015188317995456136,-0.03416592065932431,-0.10964246710124673,0.004812435160757917,0.04038900720204286,0.09294221334613711,-0.08244288285792996,-0.07695723817407342,0.00396577171202891,-0.011922150009123205,-0.07750334139178906,-0.03787637826031872,-0.049641589386307756,-0.06831757190655818,-0.02367364163113723,-0.06505027067873445,-0.07033171040569847,0.01450707931891613,-0.004364239290038998,-0.08397076501476441,-0.04837691900539445,0.014052879461721528,0.05004180446042302,-0.026075851374965587,-0.022647647068515655,-0.09923672337510041,0.0061524725042652875,-0.07169636340710223,-0.021324559529832584,0.01962231508211825,-0.013724530415241428,-0.07552618703600791,0.07806002662560965,-0.14946593530746038,0.014039081171351735,0.10951924813853191,0.01872515398393818,0.07705108173406953,-0.059759478825559736,0.006915712467969272,0.06871141904882226,-0.0374456910622499,0.08233694552549876,0.06111420707241773,0.1430509687630453,-0.03444282730579387,0.020327713996178907,0.02113028140543119,-0.047869432324345436,0.027511632831279567,-0.10603693266976767,0.05896748421777828,-0.039803369431814235,0.06252448458210128,-0.044243817154981935,-0.02803904290229633,-0.06231108077796389,0.0337557577412245,0.01208125569895349,-0.08682798231252715,-0.07518876565673924
transitions,0.0676253783330343,-0.037100015318622385,0.011007319378943399,-0.01432676363365753,-0.006829348598126527,0.0151909694896477,-0.03936354035064093,1.0,0.06711865881386754,-0.08962189548865156,-0.061364858419083235,-0.013105659307144158,-0.053013129386587386,-0.016702624158509812,-0.037076678411756984,-0.036423950618188046,-0.03567740754534096,0.028098718221454974,0.00788444681104177,-0.04609996679894364,0.02881210524424043,-0.04096991569982162,-0.033279944112632055,-0.03758786044481718,-9.902065325416785e-05,-9.902065325416785e-05,-0.05561813395518136,-0.01795363309886923,0.03951031483538001,-0.032409737597775254,-0.024858130325281422,-0.12752652312579588,0.053771888377669524,-0.054410114165730064,-0.00523728818523774,0.03294402475096759,-0.05613255408215934,-0.06742244575927199,0.0848889739618438,0.06135885868143046,-0.05145778606750565,-0.06751911298646912,-0.0018005992381638987,0.01126053144442294,-0.014472794826511003,-0.03234674202433721,-0.043759392080242106,-0.006254188529687279,-0.06272748902650864,-0.054868439730682436,-0.004338357887302103,-0.011279555126943334,0.022536817980851033,-0.029437752355473034,0.04287530958954749,0.07340420754871499,0.0850357609531893,0.1031722130742197,-0.04150826808354746,0.07776770534548011,0.007393931460405578,-0.05934873444957003,-0.004783799922204416,0.1024591827048962,-0.07511883778272914,-0.01974363561626747,-0.026756620612150558,-0.0466551018065254,-0.1265901133888613,-0.050165437338849414,0.002973879773389793,0.009388086682855007,-0.08862653912424022,0.04866241782317782,-0.11279501416041492,-0.07166673444480555,-0.017143276518489358,-0.034314358487576864,0.006684145233528787,0.00933244670401859,-0.03847454832185422,0.0009574270112160558,0.1028907987037665,-0.013678457579254686,0.018461604517643188,-0.06945910378606271,-0.0013844420968773007,0.00016728623226249653,-0.06115713588806533,-0.07799923489335892,0.03181224675672646,0.19129046321381063,-0.021951552166013355
self_mentions,0.04925436333841129,0.08889537026653471,0.12804712798154555,0.07350450681081162,0.12272809607560266,0.1267188995899914,-0.0882006435919475,0.06711865881386754,1.0,0.020452969777906588,0.04250711608370449,-0.09550926840116299,-0.018114947655231316,0.08546959496244508,-0.07364854288858654,-0.07338780961367773,-0.10349354609697319,0.08111178204272769,0.05728271690503501,-0.0021900816039927065,-0.005203201230927486,0.008907642975339525,0.008408487942408838,-0.02760645817857477,-0.026945196151455245,-0.026945196151455245,-0.2616581372972932,-0.05964084472023472,0.35802643412647356,0.018010031156172,-0.22472443694735278,-0.2125266756625789,0.16664904697527638,-0.14517080674645086,-0.21303113141581898,0.31097005262071575,-0.13308358748275367,-0.09748865571933217,0.23591994228122648,0.26732969927543926,-0.01932349931553017,0.1568286642452606,0.3708571552533916,0.3011775157390546,0.2820367457218127,0.3032734595712524,0.21704643860203274,0.1427364694932333,0.2951526379983842,0.09873167419430799,0.2133862588511401,0.23983888568552283,0.060753837283658255,0.024099364178245885,-0.010156155773658871,0.178130139197091,0.24657922025656756,0.19807663290907632,-0.18598405193160525,0.24212877893378532,0.4828459039337313,-0.09092706490744012,0.05244281334779114,0.20894350702245054,-0.21367151554262065,-0.031550412071355255,0.016137616731438965,-0.12953297619191373,-0.21267981044385334,-0.02195552744617166,0.005927301561340957,0.13384446727901264,-0.5553764876156291,0.1967471118825005,-0.19128035759308049,-0.26000459309940416,-0.1604641202695505,-0.311340860552097,0.2019333103848132,0.20253249949055155,-0.3175642353653962,0.13641490437597606,0.1813003289920881,-0.039865185852791155,0.30133706751196304,-0.056611813916086336,0.07058980045650126,0.007937799855109222,0.053752223349710325,0.05601487472490356,0.17150307896421144,0.07868778425572501,0.0002628235668040702
causal_markers,0.005992450731069011,-0.02686790226081522,0.003990349062489209,-0.04538746483378215,0.07387350964670444,-0.026660782396631954,0.02449493623511748,-0.08962189548865156,0.020452969777906588,1.0,-0.048788974856606,-0.04017197191627297,0.010070611283622235,0.06930417510491511,-0.000858349952892967,-0.027600556444498874,-0.05753210402126935,-0.035299149615179,-0.016258345401425737,-0.016253196983791872,-0.04082413879921016,-0.028098442965468266,-0.03191511345321636,0.012231863049401936,-0.016258345401425716,-0.016258345401425716,0.03198742503024144,0.03681496027098596,0.10617360705647767,-0.025547402944854053,0.04052424405855178,0.06004090446359889,-0.011484307061190992,0.1449765126792058,0.18933554969444702,0.026201107837241944,0.08542784565524199,0.05330072567343929,-0.016763338121861242,-0.02870060122973229,0.04379572110944434,-0.019227961668762155,0.06579761800191698,-0.003024007621578447,-0.024814893657128797,0.028593899195579354,0.015770842906617302,0.02631881657787617,0.052744322174165886,0.09676909373195315,-0.003991162322972724,0.017916389170145958,-0.017430747636761945,-0.017104431646942052,0.007269991300659341,-0.07241327778609238,-0.033705547007184505,0.017085558236737658,0.08276617299531715,0.03169222628603748,0.014312265678872114,0.00825543400307689,0.03636300731470761,-0.017333459608337737,0.024099956648143187,0.022827683451997392,-0.03194061781246241,-0.00626470612818571,0.020076422069802233,-0.11012707269554553,0.04339872677287106,0.04996112089969923,-0.06607152456883304,-0.0409035925476579,-0.006632884706316937,0.042980565826984195,0.02891191847294533,0.08207709621424912,0.04262933573213993,0.04545381656296621,0.04233444653505877,0.029536371645661193,0.001420960675728364,0.02152878113790877,0.033814307708999895,-0.0009295981535415203,0.026963460056262947,-0.0012622018842334876,0.03820774387882473,0.004940501940447142,0.026745431112735304,0.11889609186453046,0.37751003172523917
