,avg_labeled_utterance,engagement_markers,self_mentions,deontic_modal_words,slang_and_colloquialisms,adverbs_of_degree,transitions,explicit_references,frame_markers,chronological_markers,hedges,boosters,situation_dependent_references,causal_markers,place_time_svo,code_glosses,evidentials,figurative_language,attitude_markers,emotional_self_disclosures,positive_connotations,negative_connotations,self-mentions,endophoric_markers,additionally,idioms,pleonasms,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,0.025128103420751353,-0.11068683568666918,-0.04631480044618756,0.012721352383865429,-0.027703037778006263,0.03353708620728844,-0.0798220161850999,-0.02075022007816752,-0.012134228291629032,0.014049916186051876,-0.0018534606404849916,0.013629861193563676,0.0833040224493239,-0.03147970345906275,0.0800905643512271,0.03866862850646101,0.06735234678458213,0.05645216929807915,-0.028127379060300467,-0.004194102103405796,-0.03799798734353906,-0.031111982152502445,-0.04304831796810476,-0.007337282161539613,-0.03945646389539617,-0.031111982152502368,-0.2844076044042134,-0.0003870979856324431,-0.17908374302778565,-0.5417150639375701,-0.16392516395582396,-0.558496698886385,0.49410457537750263,-0.04281431734124376,0.03865734121449552,-0.08522175458794531,-0.030630200132724626,0.033556038111010586,-0.08773468850411249,-0.07028142817093903,-0.07428057233055464,-0.13086796392874764,-0.1341535654164526,-0.07161820537892993,-0.011167071807143361,-0.06153901224782798,-0.06882035936098181,-0.025656451547335875,-0.10873835772917922,0.005694171704377645,-0.0661663526722516,-0.08297528948611099,0.4111419625295545,0.10193438495998794,-0.027203614337589062,0.07125047032284526,-0.1267864481241567,0.1251209036219808,0.00530626288010628,-0.008715777223897096,-0.10441097333259872,-0.0414050308903858,-0.09969539289777399,0.48656985332908026,-0.36091153345486665,0.31757396945820454,0.12417770222941844,-0.3818746036699898,-0.09094247885624564,-0.1793627414933697,0.00821737481061399,-0.07461009311530806,0.13332809689881547,-0.12499148528449702,-0.4533281325015144,-0.1612758513001497,0.04463402411633375,-0.05004727909583838,0.0012962609805360476,7.48782243493797e-05,-0.06492953949461058,0.00019910302934481405,0.38371517114380044,0.15022354553318082,-0.12764076961422466,-0.5918053306935116,-0.09119559896381331,0.08632229306823276,0.19285580360375673,0.03967364650258186,-0.014874532979884085,0.07929133309514319,0.06839869124354112
engagement_markers,0.025128103420751353,1.0,-0.007240564912318163,0.11837064438116723,0.00572234242715806,-0.052457987514398466,-0.06593508411483079,-0.06958868483385884,0.0392974478673792,-0.05670578074032488,-0.08110849511690456,-0.009833561281645193,0.07799242188495889,-0.04262731097600166,-0.05531938295186651,-0.05723427904387288,-0.023607669576758347,-0.03060021839188249,-0.030668152473589585,-0.04256016934835164,-0.01917119904710552,-0.000565298959080352,-0.018463915934839426,-0.023983627768707882,-0.018463915934839422,-0.04501058867230576,-0.01846391593483947,-0.15339052225074998,0.09936826081965122,0.01923068667678204,0.08564239608036094,-0.1915946060155547,0.14677530981852047,0.050194095932408554,0.1624443403643284,-0.04750360456589831,-0.1383495884513742,0.15695772070161976,-0.02504330216880373,0.13665034052660885,0.1407042279069518,0.1606579462240542,0.14480272941003816,0.16705642755438785,0.07236507129713465,-0.003163008280688768,-0.0410217715342342,0.05763929122924225,-0.024497365795130708,0.09330865099289791,-0.004251176798292175,0.0933281840020322,-0.0012196939292860596,-0.001161395327337453,-0.09667935185944983,-0.04229566519253802,-0.05245702351397723,-0.034683602762153716,-0.002850033970442125,0.1711894537434075,0.07178273117984156,-0.05466607729457326,-0.10792076047358336,0.023527940508852378,-0.04423853785779281,-0.06763733276777202,-0.15113756289641925,-0.07362649765617368,0.09646280836018553,-0.12303464311159215,0.1326934320374503,-0.07272045500929723,0.1315832587153193,-0.24439520631987222,-0.0928652408745589,0.1725112447158099,0.14838406369434884,-0.062148421960633804,-0.20401558021634664,-0.15172515302981374,-0.1507401998034081,-0.19369863463943923,-0.11649162481981075,-0.10416858022771013,0.005234505989496023,0.12964024965414797,0.11831280719459089,0.2692240578362134,-0.09706349662718775,-0.09088112946346984,-0.10646124590343709,-0.10237351761953134,-0.11576947107886809,-0.040249565256595614
self_mentions,-0.11068683568666918,-0.007240564912318163,1.0,0.08021132446568498,0.04676062280016147,-0.013855521950971549,-0.01098352403039118,-0.08986000619494126,0.06670008213904254,-0.03558856452833825,0.08027868285410185,-0.0338885794498529,-0.08565847915615901,0.023936711909794295,-0.047128918871550005,0.007919458002492013,-0.052456212682748575,-0.04658216064299292,0.023339575945564905,0.159132201118812,-0.019287260265562375,-0.030600438767895626,-0.02452483353882852,-0.012700714203383192,-0.024524833538828485,-0.01739138858453961,-0.024524833538828547,-0.05640533987140699,-0.04380388817490904,0.5016371191463145,0.16101918988424918,-0.064679602942113,0.14647369725761858,-0.08151748647125356,-0.014708269760002153,-0.07499126420540804,0.14011378961794274,-0.046402664703662,-0.014309730722391296,0.08154167603892275,0.0822438271873164,0.08644706640674114,0.12589793098086666,0.2948939442691912,0.19682571750086048,0.1747692845067161,0.1335854571374247,0.1047417361571326,0.06266659119187415,0.11753275209251302,0.0718073230781519,0.1625289143321411,0.030971792717776326,0.00018654798736886512,-0.06690152392925708,-0.04182913406847748,0.0497795690273653,0.11588233625249539,0.005678153582767813,0.04961887984059853,0.1343597530248012,0.2915551951796572,0.0016407768437721746,0.1844325047471891,-0.09600747902049789,-0.02911331682813176,-0.05769180266888259,-0.061778879192071263,0.045019340367563596,-0.13287534895630054,0.012642610760882245,-0.013063981318222041,0.233234569051892,-0.4816194956937346,0.051121692737178204,0.07679847605979179,-0.014846047858460786,-0.07368895567294921,-0.16236033672277622,0.008073331706364232,0.011921471075603778,-0.17913068028268028,0.01848874674119747,-0.038984080591030146,0.03467711580016375,0.15470116934643055,0.149154184553385,0.09945697078040305,-0.022691822037040604,-0.0485013900027016,-0.0694383095739929,-0.05194216409070025,-0.022527188010206787,-0.03200027818226058
deontic_modal_words,-0.04631480044618756,0.11837064438116723,0.08021132446568498,1.0,0.0016378090856094428,-0.033264700002272114,0.022788359846096458,0.00847300515538449,-0.02060062488046631,-0.046995203531192534,-0.04747967186361907,-0.042129441943164286,-0.049579715185694796,0.0006108983407253952,-0.065129250503157,-0.0409094895611761,0.010948359082057746,-0.015877029958853265,-0.026120380923315926,-0.032987509546783,-0.008405510832069269,0.02602041855527003,-0.012089649244392011,-0.006757872229035295,-0.012089649244392025,-0.024984205395623276,-0.012089649244392006,-0.009609694386609925,0.2554862999798774,0.0318082706734957,0.08683404629934324,-0.06384747407170334,0.11355806748106367,-0.006790962769692228,0.2349540167589884,0.017407000932400076,-0.05116302433237193,0.10800253661952293,0.021362187738423515,0.12093235112502274,0.0791953081220989,0.09156351970150903,0.07265714596267772,0.11794617712779422,0.10662438723572776,0.08972668217681956,0.14653258040384312,0.11112830595085783,0.10567911321389753,0.17746413405449604,0.07262763220383407,0.11942610743923437,0.13071187762398911,-0.017806720934772743,-0.046839345198078176,-0.03460691160355565,0.07000083866080942,0.033358922074033695,0.06829897829387269,0.05706347267496373,0.11329563492257227,-0.048142460719866824,-0.08090708609152626,0.0070139075228707395,-0.03327363072500086,-0.009427869716260003,-0.041248113876243504,-0.05244567354072743,0.044771624331656656,0.010339878344556859,0.03801202746169967,-0.05722758548755994,0.023772613797313078,-0.07736212532623676,-0.011910349516593505,0.06251002696337875,0.05723393495382613,-0.030849757779670216,-0.04110982343831303,-0.08681508449989833,-0.0850602639483808,-0.039938222168423375,-0.0676540333864794,-0.02207434611152248,-0.06147972539604112,0.1552156383920616,0.08100865553307134,0.012391381285111525,-0.09054695554429797,-0.09838421927268182,-0.0639381216785229,-0.08485867271959985,-0.06490375003598652,0.016810887326206267
slang_and_colloquialisms,0.012721352383865429,0.00572234242715806,0.04676062280016147,0.0016378090856094428,1.0,-0.030858625109292163,-0.023262127441594352,-0.03245545076270573,-0.028871640502060612,0.007393036358114089,0.03388538315019408,-0.035052792080995106,0.00652953072584902,0.00043157604721923696,-0.022896173337393026,-0.013514327320377611,-0.010839922844578626,-0.008351915074742196,0.04446013154278473,-0.008841990708635337,-0.008653256546220222,0.01984834982588213,-0.003240516418433266,-0.008781013593475278,-0.003240516418433287,-0.008452706378332795,-0.0032405164184332725,-0.0406781624340182,-0.023811441716316068,0.07190213474589008,-0.004317707485128815,-0.06963424671100231,0.04524856045486024,-0.0856607537309867,-0.021444550989538097,-0.03038629269727709,-0.015342563206599925,0.010495854434343206,-0.004607595503009409,0.00885487415462562,0.00932409664208797,0.033820911562262614,0.011908125298236856,0.0320400337158985,0.001976828667467191,-0.006505951990443207,0.0066517058131866915,-0.015273515788542656,-0.001550412919002452,0.013763742552875572,0.038640115086261355,0.016659288756066978,0.007609689524857276,-0.0007936141373686012,0.03496112251638115,-0.015722872526642357,-0.06627737834050323,-0.11174425010506324,-0.036695077762902366,0.023039057726724384,-0.006289718999811723,-0.04461094672072846,0.03141512517487646,0.0860963672621489,-0.08560215187762761,-0.02396962674398923,-0.05357579576321712,0.04795581796090062,0.066616732304345,-0.1362072881618326,0.020309118492299483,-0.02448869843014984,0.10099892780729194,-0.07659758820681473,-0.12263732119129261,0.0645693530938836,0.10691214779674285,0.10481958017321227,-0.04438772864037024,-0.03260151292467343,-0.032304044453691276,-0.05243250790410921,-0.022877326241245423,-0.07242720233565329,-0.03397431694905267,-0.006912263203311285,0.042439535896123266,0.020485997944171462,-0.03225694794010075,-0.05416752317278517,-0.01631169768543058,-0.042520868295458765,-0.03893961702801808,-0.011601488847352369
adverbs_of_degree,-0.027703037778006263,-0.052457987514398466,-0.013855521950971549,-0.033264700002272114,-0.030858625109292163,1.0,0.0015511012238102323,-0.01306768896211388,-0.031073371201964073,-0.005766598058804969,0.09215983807031634,0.05934698027852465,0.042802404552351445,0.04614153106503618,-0.012461378989353487,-0.039833401623529975,-0.025103694193719182,-0.02461722138372211,0.16087890341977074,-0.026061716480517402,0.009688383690379918,-0.014507057543029134,-0.009551403403442859,-0.02588198678621349,-0.00955140340344285,-0.008614563232377918,0.0375235547036117,-0.083015010554382,0.01870667379022441,0.07150228998918762,0.041184958906364796,-0.05802762766989923,0.039560893520478174,-0.07048853540290081,0.016690651148310275,-0.00041561168950746857,-0.03584019133484955,-0.02164930121699803,-0.027129172989597442,0.0421248568357865,0.029623719680317084,-0.07946518604132698,-0.07579819794559514,0.030093345051082104,-0.006801049903590603,-0.039465199867957226,-0.015606085791486436,-0.004003994266028322,0.029561425320185887,-0.030862162645279904,-0.05366191766770482,-0.04583848730806849,-0.08551043330250736,0.033341107393276594,-0.042894588782033,0.06174672521372222,0.02805352591289545,0.019182028234011158,0.060491025961272614,0.02647697420705425,0.00979159225937913,-0.008496099401072444,0.011108629670000363,0.12878191539083345,0.005144421027428558,-0.1162999775006331,0.02562644939382436,-0.042946171649256494,-0.07068924659169513,-0.07944363728542592,0.04376036120637751,-0.02104034136226272,0.15337564606551937,-0.07452736963649208,0.037827255809612284,-0.0023855498987894017,-0.029785314366041753,-0.05628064865746619,-0.06745830966660753,-0.046237513811163984,-0.04906084536922732,-0.07587065744101802,-0.031470101894595925,0.03886557851908664,-0.05591723237299422,0.009081049128558852,0.035635706481443784,0.06730797520451913,-0.038800654280870484,-0.045487514478672955,-0.023775307245874365,-0.07856977763815641,-0.050769281308696616,-0.018185579737631984
transitions,0.03353708620728844,-0.06593508411483079,-0.01098352403039118,0.022788359846096458,-0.023262127441594352,0.0015511012238102323,1.0,-0.07417726079936411,-0.01675941268069926,-0.049905805300745724,-0.034083525299492975,-0.05130640494681427,0.008843052913958777,-0.07720323796065773,0.0025434799802716507,-0.005238286748863971,-0.04015437090664477,-0.03322119142020358,0.04162327085842293,-0.035170552291122786,-0.003661150568103679,0.021074425987806133,0.1281705077575323,0.021094472033648462,-0.012889716343339077,-0.010546516961906637,-0.012889716343339058,-0.012336720385982667,-0.0016688785783619195,0.03378266020728815,0.02935287749957103,0.017059499163047748,-0.015601440770277763,-0.007501018043865174,-0.03249706322681469,0.06842680378568053,0.04847135730377333,-0.010472369559897996,-0.036354786473458175,-0.07285608627410783,-0.02524481254663225,-0.07269751727033409,-0.07114681430296457,-0.02281667739483283,-0.04949572980167127,-0.017255611462410284,0.0067332764709821585,-0.050309789448196016,-0.025085808464939692,0.006175331192471854,0.04201703083134102,-0.041128036082695094,-0.04008794229621615,0.03315060591851667,-0.0167325900903522,-0.020125492552750483,-0.06465620868590698,-0.022622559824314024,0.03042272026514776,0.024187813395788446,-0.023503489184860806,-0.00026494067705270884,-0.007713965876856082,0.005848114707158933,-0.00851015725829889,-0.013307186068389699,-0.060197218592198475,-0.015502583270812893,0.05405716311222155,-0.018116337191351157,-0.049899342485952194,0.020703998182129955,-0.0032269542733751734,-0.012723154107754061,-0.019955615941797972,-0.00041073046600226395,0.018898560576987106,-0.06451777433172833,0.006854797720741616,0.003053411711848695,0.0041523755009952755,0.006644342322524564,-0.004828528679554461,0.03972373293844781,0.00908990309833623,-0.06945533594697295,0.01701551635741637,-0.026272497149287782,0.04678211990887074,-0.030304438872065357,-0.034745030355512664,0.01881275512166159,0.1243148984018538,0.02735169255909207
explicit_references,-0.0798220161850999,-0.06958868483385884,-0.08986000619494126,0.00847300515538449,-0.03245545076270573,-0.01306768896211388,-0.07417726079936411,1.0,-0.04342889611487254,-0.04998141250542053,-0.06727992588749139,-0.044939648634199726,0.06134689359625538,-0.03882359445517572,0.02764559374566964,-0.029406528048694022,-0.006339704405906385,-0.0014955281104490046,0.01984109041687166,0.016912271570993318,0.010316928722942622,-0.023172421780929334,-0.012645287838922875,-0.015075724005089478,-0.012645287838922879,-0.006417256174440501,-0.012645287838922877,0.08465308312128808,-0.04408439759095626,-0.0721263115143656,0.049802605316694205,0.026510328181427074,0.06548256818508208,-0.009530243372242763,-0.11701445637266751,-0.11132394425280039,-0.04429672278486658,-0.04121853801668855,0.07343010967343272,-0.026715504060850194,-0.03439761305753417,0.07708668841698571,0.1291000523051222,-0.06782461746324724,-0.02778289409123935,-0.017003511051997235,-0.04555192561729593,-0.038473840975489594,-0.03216269982881152,-0.07545393985361258,0.004821011372025362,0.012653321170538781,0.0025595231429006607,-0.13643831698949951,-0.06399288881331901,-0.05543639995241332,0.021152472656451492,0.0381562456884456,-0.07801593738659333,-0.13017947684791073,-0.05573948541531215,0.007982221359303212,-0.07905780465395186,-0.10337284036796089,-0.11541994734737615,0.12774026543117958,-0.14138019118604647,-0.06507872666597785,0.13418245956750602,0.12850550154993812,0.060748207199488834,0.018515472358053352,-0.08410889337165722,0.053642910490792124,0.03439326215076271,0.09323224299852498,-0.004947894566672968,0.2132820567880395,-0.03252165358675888,0.03130485663346082,0.03354662424192103,-0.05696026083239375,0.022116845336968522,-0.10975472591228244,-0.029332162071134232,-0.02297566138383457,0.08019396028960457,-0.0634881365547339,-0.08604623282910981,-0.05739040837063874,-0.020055963370554663,-0.027767401113674105,-0.07068398542940107,-0.0631590131545453
frame_markers,-0.02075022007816752,0.0392974478673792,0.06670008213904254,-0.02060062488046631,-0.028871640502060612,-0.031073371201964073,-0.01675941268069926,-0.04342889611487254,1.0,0.026959661484033448,-0.019107781040544523,0.01834161565813068,-0.04912259817686997,-0.014002445206947411,-0.057261730114425397,-0.03726853181486854,-0.02989331246955551,-0.009068880679637483,-0.038583024754772266,-0.013051572961580589,-0.0031133076783421733,0.004807296911077175,-0.008936389238914001,0.04400977472100355,-0.008936389238914025,-0.007575762488536504,-0.008936389238914022,0.009666873769890129,-0.03117130775398611,0.05131842941608259,0.0454911979167336,-0.015313585703803418,-0.0020781652599858335,0.06544200309482573,-0.025257939246176784,0.021409207237093313,-0.01969561910461354,-0.050905697764300435,-0.03217286289382855,-0.004517713145367051,0.014294403314141122,0.034999664404848946,0.059693015734696715,0.11435244325664458,0.03545679890606223,0.031547637139777394,0.01999873538242757,0.0069837894338085444,-0.010948658817465215,0.022494074435291476,-0.028317482388119545,0.00913300591729184,0.08893484239179814,0.011745179085482643,-0.06634436244580763,0.0349894836401324,0.028093446983889554,0.056368720255488294,0.015384873416972531,-0.020337039074304026,0.026574295717141677,0.046190402039918955,-0.07574729614262339,-0.05203729819287842,0.040569363671912356,0.03816465928520392,0.02363959679245892,-0.06777926724508752,-0.0455256252674304,-0.013848438410153067,-0.032825070881370336,-0.013142283095098758,-0.007680889900728526,-0.0867489881806665,0.02851098230745166,0.04429795136134467,-0.013959174899941576,-0.026867206100336723,-0.004051421047090765,-0.017932777849988354,-0.019448246915991358,-0.00015656866876163496,-0.016206289903016893,0.0012404739900280742,0.03770915249886721,0.011646863354040643,0.02062977325900781,0.04479948568485376,-0.0608537810646102,0.04592521235070852,0.0068097510810264635,0.060080735848729847,0.1057665186824442,0.00033637844210096627
chronological_markers,-0.012134228291629032,-0.05670578074032488,-0.03558856452833825,-0.046995203531192534,0.007393036358114089,-0.005766598058804969,-0.049905805300745724,-0.04998141250542053,0.026959661484033448,1.0,-0.03779762529419504,-0.052133920305177,-0.030114648290341384,-0.022887008256848692,-0.011601453222595294,0.031402049978651494,-0.0006172810341888353,-0.01658552031806345,-0.018877721455488522,-0.02716430965146259,-0.026584481714678265,-0.012613039942456189,-0.009955494675537371,0.00036331295979116725,-0.009955494675537345,-0.017557036680901406,-0.009955494675537363,0.04502991573433373,0.033468036423084734,-0.005035884442623051,0.02319820428953493,0.06358754205435482,-0.004080071707920904,0.03091304791144672,-0.023947544756488203,0.031873515462453636,0.14725995256415197,-0.03866429814903403,-0.03897837200571606,-0.07210270342028688,-0.0628032835008949,-0.018315860054420815,-0.03321679882972306,-0.05259643690905855,-0.06843759591232523,-0.03809844073655761,-0.04778003813470312,-0.02195140626829857,-0.02441529119413486,-0.0015066591866809405,0.04705744922235069,-0.024675981967875602,-0.01835411252695162,0.03382484003059063,-0.00043722046408303496,-0.0335063252559028,0.0028440039223221894,-0.041773242310852936,-0.02509834944351448,-0.0667395423653628,-0.07832049544998931,0.00792376267711796,0.002021322775186788,-0.04870320387133846,0.010342212485034454,0.06840572216628389,-0.05865826485171029,0.007278618424451939,0.08487082146640601,0.009882281959011434,-0.032554834534674344,0.012857187956752716,-0.026061448079142503,0.005121012452724062,-0.026549810012097292,0.004367939805924473,0.020523173421593432,-0.015103523353653869,0.02423119803970468,0.13702356225678639,0.13472900456614628,0.03364294226455903,0.11614899882383367,-0.009762515050842307,0.03524734460698962,-0.0792987779214514,0.012924410411156474,-0.042627501456282926,0.05916432947179305,0.2476820180632043,0.29468045973440143,0.45169635847071243,0.2963610310872532,0.07578834373864092
