,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,engagement_markers,frame_markers,transitions,self_mentions,hedges,explicit_references,deontic_modal_words,boosters,situation_dependent_references,positive_connotations,chronological_markers,attitude_markers,causal_markers,adverbs_of_degree,slang_and_colloquialisms,place_time_svo,code_glosses,evidentials,emotional_self_disclosures,idioms,negative_connotations,figurative_language,endophoric_markers,hedges_adverbs_of_degree
0,u102511,You got two kids on welfare now.,2.0,You<engagement_markers> got two kids on welfare now<frame_markers>.,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u261588,"The ob's done, and the bitch is dead.",4.0,"The ob's done, and<transitions> the bitch is dead.",0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u151423,We're going to put your ass to work.,3.0,We're<self_mentions> going to put your<engagement_markers> ass to work.,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u77334,I don't believe a word of it.,2.0,I<self_mentions> don't believe<hedges> a word of it.,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u21322,"DK: This next project, we were asked to design a pavilion to celebrate",5.0,"DK: This next<frame_markers> project, we<self_mentions> were asked to design a pavilion to celebrate",0.0,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u232703,"If you believe it's a thrill to be standin' before you wonderful people, then... you're all full of shit.",3.0,"If you<engagement_markers> believe<hedges> it's a thrill to be standin' before you<engagement_markers> wonderful people, then<transitions>... you're<engagement_markers> all full of shit.",0.02857142857142857,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u32937,It was somebody who was trying to ask a question about JavaScript.,1.0,It was somebody who was trying to ask a question about JavaScript<explicit_references>.,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u74101,"So, my dear, what would you like to wear to the coronation ball?",2.0,"So<transitions>, my<self_mentions> dear, what would<hedges> you<engagement_markers> like to wear to the coronation ball?",0.015625,0.0,0.015625,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u219717,You ought to just kind of bite into the apple like the rest of the world.,3.0,You<engagement_markers> ought to<deontic_modal_words> just<boosters> kind of bite into the apple like the rest of the world.,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u7038,"but the only way that I know how to do it,",5.0,"but<transitions> the only way that I<self_mentions> know<hedges> how to do it,",0.0,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,u247173,Farhad may be able to help us I.D.these men.,2.0,Farhad<explicit_references> may<hedges> be able to help us<engagement_markers> I.D.these<situation_dependent_references> men.,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,u237824,I'm making my famous Coconut Pete's Paella.,1.0,I'm<self_mentions> making my<self_mentions> famous<positive_connotations> Coconut Pete's Paella<explicit_references>.,0.0,0.0,0.0,0.046511627906976744,0.0,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,u56046,"Then I thought, ""I will go to the Small Scale Industries",3.0,"Then<chronological_markers> I<self_mentions> thought, ""I<self_mentions> will go to the Small Scale Industries""",0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,u99210,"Well, the duration is important so how long will he... 15 years.",4.0,"Well<frame_markers>, the duration is important<attitude_markers> so<causal_markers> how long will he... 15 years.",0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,u109943,I will clean up all those that go against the will of heaven,4.0,I<self_mentions> will clean up all those that go against the will of heaven,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,u146783,"My zebra wins, I get your filly, the white jumper.",5.0,"My<self_mentions> zebra wins, I<self_mentions> get your<engagement_markers> filly, the white jumper.",0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
