,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u41039,"To set the record straight, I must say now that I never supported the idea.",1.0,1.0
1,u209075,The huge waves battered the wrecked ship to pieces.,1.0,1.0
2,u6930,I suppose we shall be having some sort of celebration for the bride.,3.0,3.0
3,u146641,Because her machine doesn't work when there's no power.,1.0,1.0
4,u44099,It is illegal to rob a bank and then shoot at teller a water pistol.,1.0,1.0
5,u16393,The class sobered down as the teacher came into the room.,2.0,2.0
6,u17714,He has been very lazy but he is going to turn over a new leaf and work hard.,1.0,1.0
7,u184162,"They want to hunker down, they want to look to the future.",2.0,2.0
8,u179523,I really want to come up with new ways of children's media,1.0,1.0
9,u37694,Today India is the seventh - largest country by geographical area and the second most populous the world.,1.0,1.0
10,u60926,Do you have those small packages which contain about twenty - five air - mail stamps?,1.0,1.0
11,u41675,The class remained mute when the teacher asked a difficult question.,2.0,2.0
12,u133044,"but they could never simulate properly whether it would work or not,",5.0,5.0
13,u67966,"What your citizens imagine now matters more than ever because they can act on their own imaginations farther, faster, deeper and cheaper than ever before — as individuals.",2.0,2.0
14,u158475,"Then he'd run his hand over the rag paper,",4.0,4.0
15,u138856,"we deployed the tag off of Tokyo, and the Mola in one month",4.0,4.0
16,u17420,A tissue is a group of similar cells which have an identical general function.,1.0,1.0
17,u196513,is to get people to imagine the future more vividly.,5.0,5.0
18,u4937,Hitherto the withering flowers can't withstand the sunshine notwithstanding my care.,1.0,1.0
19,u40852,We must bring about the continued growth of the national economy.,1.0,1.0
20,u96860,"Professor Ken Suslick and Neil Rakow, of the University of Illinois.",1.0,1.0
21,u98328,"muscle signals saying that there is no arm, right?",3.0,3.0
22,u108665,"if I'd been served it at a dinner party, it would have been, you know,",5.0,5.0
23,u111306,the goal was to connect these two worlds seamlessly.,3.0,3.0
24,u37391,It's key that you find a caring sympathetic healthcare professional you trust.,1.0,1.0
25,u209662,I suppose she has more brains than any of us.,4.0,4.0
26,u7146,The shop assistants had to have their days off by turns.,1.0,1.0
27,u70938,What is driving the growth of Chinese aniline and nitrobenzene production?,1.0,1.0
28,u60657,The impeller improves the air extraction performance of the turbine molecular pump.,1.0,1.0
