,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u207160,3,2,2,6,2,3,5,2,2,1,2,2,1,1,1,1,1,1,4,1,1,1,3,1,1,1,4,1,1,2,5,4,3,2,1,['present'],1,2,5,4,4,1,3,4,6,1,1,5,5,6,3,3,2,1,1,2,1,2,1,1,6,2,2,1,1,1,2,1
1,u191528,3,1,1,7,2,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,7,4,1,1,1,1,['present'],1,1,5,7,4,1,4,5,7,1,1,6,4,7,3,1,3,1,1,5,1,1,1,1,7,2,1,1,1,1,1,1
2,u190284,4,1,2,7,4,6,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,"['past', 'present']",6,6,1,6,1,1,7,3,6,1,5,6,4,6,6,1,2,2,2,2,2,1,2,1,7,5,6,3,5,1,1,1
3,u109907,3,1,1,7,1,4,6,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,5,2,1,1,1,4,1,1,1,1,['present'],1,1,5,6,1,1,7,5,7,1,1,6,4,7,6,1,1,1,1,2,1,1,1,2,7,1,1,1,1,1,1,1
4,u85730,2,1,1,7,2,5,4,1,1,3,1,1,1,1,6,6,1,1,1,1,1,1,1,4,1,1,2,1,1,5,5,1,1,1,2,['past'],4,4,2,6,2,1,6,4,6,2,3,5,5,6,2,3,1,3,3,1,3,1,1,1,7,3,4,5,5,4,4,5
5,u91678,2,1,2,7,2,5,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,2,1,1,2,2,1,1,7,4,1,1,1,1,['present'],1,1,3,6,2,1,6,3,7,1,1,5,4,6,3,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,1,1
6,u20553,2,1,3,7,2,5,2,3,1,1,1,1,3,5,1,4,1,4,1,1,2,2,1,1,1,1,4,1,1,6,6,2,1,1,1,['present'],2,3,4,4,5,1,2,4,7,1,5,5,6,6,2,1,1,1,1,1,1,2,1,3,7,4,2,3,3,1,1,1
7,u146251,2,2,3,4,2,2,6,3,2,1,2,1,3,3,1,1,2,4,5,1,5,1,2,2,2,4,4,1,1,6,5,6,3,5,1,"['present', 'future']",2,2,6,2,5,1,2,3,6,2,3,3,4,3,1,3,2,1,1,2,1,4,1,5,4,3,2,3,1,1,2,4
8,u128082,2,1,2,6,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,2,1,1,4,2,2,1,1,1,['present'],1,2,5,6,2,1,5,3,7,1,4,5,3,6,5,1,1,1,1,1,1,1,1,1,6,2,1,1,1,1,1,4
9,u192217,1,1,2,4,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,4,4,2,1,1,['present'],4,4,6,2,5,6,2,4,6,1,2,5,4,3,1,1,2,2,2,2,1,5,1,1,3,3,5,2,1,2,2,3
10,u114590,4,1,1,7,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,3,1,1,2,4,1,1,1,1,['present'],1,2,4,6,3,1,5,4,6,1,2,6,4,6,3,2,2,1,1,3,1,2,1,3,6,2,2,2,1,1,1,1
11,u32864,2,1,5,7,2,6,2,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1,1,1,2,['present'],1,4,2,4,1,1,6,2,6,1,5,1,4,7,2,2,1,1,1,1,1,1,1,1,7,3,1,1,1,1,1,1
