,utterance_id,utterance,avg_labeled_utterance,labeled_utterance,self_mentions,code_glosses,transitions,frame_markers,situation_dependent_references,place_time_svo,explicit_references,adverbs_of_degree,chronological_markers,engagement_markers,deontic_modal_words,boosters,causal_markers,idioms,attitude_markers,hedges,evidentials,figurative_language,negative_connotations,endophoric_markers,pleonasms,emotional_self_disclosures,positive_connotations,transitions_chronological_markers,slang_and_colloquialisms
0,u207160,"We happen to get round to testing, let's say, Newton's Law of Gravity",2.0,"We<self_mentions> happen to get round to testing, let's say<code_glosses>, Newton's Law of Gravity",0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,u191528,"And basically, it's a system made of two components --",4.0,"And<transitions> basically<frame_markers>, it's a system made of two components --",0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u190284,"""Thousands of pack horses lie dead along the way,",2.0,"""Thousands of pack horses lie dead along the way<situation_dependent_references>,""",0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,u109907,to listen to the chest or listen to the abdomen,1.0,to listen to the chest or listen to the abdomen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,u85730,"When the children met the Queen,they were too shy to speak.",2.0,"When<place_time_svo> the children met the Queen<explicit_references>,they were too<adverbs_of_degree> shy to speak.",0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,u91678,they move their families once or twice in a year.,1.0,they move their families once<chronological_markers> or twice<chronological_markers> in a year.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,u20553,Each one of us is all alone at some point in our lives.,1.0,Each one of us<engagement_markers> is all alone at some point in our<self_mentions> lives.,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,u146251,"And that made me think that, if we can get 70 percent in Afghanistan,",5.0,"And that made me<self_mentions> think that, if we<self_mentions><engagement_markers> can<deontic_modal_words> get 70 percent in Afghanistan<explicit_references>,",0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,u128082,of the Buddhist religion in India at that time.,5.0,of the Buddhist religion<explicit_references> in India<place_time_svo> at that time<chronological_markers>.,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,u192217,"Just as the brain came out of chaos at the beginning,",5.0,"Just<boosters> as<causal_markers> the brain came out of chaos at the beginning,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
