,utterance_id,utterance,labeled_utterance,avg_labeled_utterance
0,u176708,"Based on intensity attenuation and after-shock distribution, we obtain the parameters of a rectangular slip fault model, and by applying the analytical expressions for the displacement field of a finit-slip inclined fault given by Mansiha and Smylie, the average dip-slip dislocation is calculated. The results are as follows: fault strike, N6°W;",1.0,1.0
1,u57261,CDB's and ICBC's participation in the Cocobod facility had less to do with chocolate than with China's policy of cementing ties with resource-rich African nations.,3.0,3.0
2,u423193,"Servicon Hunnebeck manufactures moulds and scaffolding and has been exporting its products to Angola for the last two years, via Brazilian companies Odebrecht and ABH, which operate in Angola's construction market.",1.0,1.0
3,u327975,"The company's main products cover series of oil impregnated bearing, all kinds of gears and powder metallurgy components including copper baste, iron - copper base and iron base.",1.0,1.0
4,u174045,This is a despicable fraud. Just imagine that he has the effrontery to say it.,2.0,2.0
5,u267637,"To begin with, the government must act with conviction, rather than wish the problem away.",2.0,2.0
6,u357219,South Korean left - back Lee Young - Pyo may make a return from an ankle injury.,1.0,1.0
7,u435497,"There are also plans to build memorial towers for him, state media said, and his 16 February birthday will be marked as a ""Day of the Shining Star"".",4.0,4.0
8,u308704,"And let us remember that the autumn of life will come on apace; and that what we now sow, we shall then reap.",3.0,3.0
9,u195247,Congress and a number of States have provided robust support for biofuel development.,1.0,1.0
10,u384529,Many Chinese Internet users were outraged after media reports of the crackdown.,4.0,4.0
11,u317684,"But where it is, squeezing out even more bytes might be an attainable goal.",4.0,4.0
12,u263440,Every step in Italy was a wrangleand a fight.,3.0,3.0
13,u350365,Both the twin brothers were born and bred in London.,1.0,1.0
14,u200893,"Court documents give a blow-by-blow account of an extraordinary investigation. Between the lines of damning evidence, they reveal a corrupt world in which nothing is sacred.",2.0,2.0
15,u217090,The functional mentality may derive from Riddle's decade designing bicycles before he decided to return to school.,2.0,2.0
16,u254491,"consider myself a normal person, so I have to get it through my head that any mistake I make will be blown up and put across the (news) wire.",2.0,2.0
17,u94558,Make sure personal growth isn't just something you talk about–make it a daily event.,1.0,1.0
18,u213958,Notice how in the Gospel of John repeatedly these issues come down to Christology.,4.0,4.0
19,u146288,"(Ella Mitchell--_ as the real""big momma."")I'm the original big momma that owns big momma's house.",2.0,2.0
20,u200963,"“Free at last ” free to lie powerless in the dirt, to be blown helplessly along the ground, and to lodge lifeless against the first obstruction.",5.0,5.0
21,u346771,For two valve installations the total capacity should equal or exceed that required the system.,2.0,2.0
22,u392154,"'My dear Mr Bennet,' said Mrs Bennet to her husband one day, 'have you heard that someone is going to rent Netherfield Park at last?'",2.0,2.0
23,u139301,"""And so changed was Hester Prynne's repute before the public, that the matron in town most eminent for rigid morality could not have held such intercourse with less result of scandal than herself.""",3.0,3.0
24,u209580,"In a normal market, real estate brokers would turn their backs on the red tape, uncertainty and lower margins of a forced sale but today, such transactions are bread and butter for many agents.",2.0,2.0
25,u147748,"when the amino acid contents of hosted branch were departed from that of annual kusum branch,Kerria lacca had higher mortality and fecundity;",1.0,1.0
26,u368992,The 4 entered Russia on June 4 to look for work.,3.0,3.0
27,u399523,He created with the wood using small oak trees next to his farmhouse in the months after her death-marking out an acre-long heart with a large bushy hedge.,2.0,2.0
28,u246943,"They died anyway: England lost two archbishops, and a princess, at Bordeaux on her way to wed the prince of Castile (whose king himself was also soon to die).",1.0,1.0
29,u251512,"As she was very fussy, it took her a long time to pick on one.",3.0,3.0
30,u311555,"What's more important to the success of the company: producing high- quality software or supporting some archaic notion of what a ""proper"" office should look like?",2.0,2.0
