,avg_labeled_utterance,frame_markers,situation_dependent_references,chronological_markers,explicit_references,code_glosses,transitions,causal_markers,adverbs_of_degree,hedges,place_time_svo,self_mentions,boosters,engagement_markers,attitude_markers,deontic_modal_words,endophoric_markers,evidentials,figurative_language,idioms,negative_connotations,positive_connotations,emotional_self_disclosures,but,slang_and_colloquialisms,note,interactive,also,rather,yet,still,pleonasms,although,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
avg_labeled_utterance,1.0,-0.016271067050903636,0.005215709232740242,-0.010887235176023956,0.0666567742911835,-0.015313792501463645,-0.008439616868177202,0.06132224854746448,-0.0034944958150031975,0.005349180545733321,-0.0016693509286674743,0.005576003775322928,0.06840743631160334,0.14759155791390893,-0.018968611171750097,-0.008883296235526188,0.033278287830829,-0.008973058643163324,0.0019652681048689634,0.10355566514600281,0.016218165018181442,-0.030695315839651093,0.011833950099139698,0.04453949146389462,0.10989278340084069,-0.0015197522757666741,-0.03191479779109854,-0.03191479779109845,0.028875293239565274,0.028875293239565274,0.028875293239565274,-0.0015197522757666095,-0.0015197522757665633,-0.34997167985991073,-0.060052770922483296,0.15652771423685036,-0.34376139045509496,-0.24416529640603046,-0.2745717054791441,0.4399957764748894,0.07889387998102283,-0.041459996353076733,0.02686869660954535,0.1579950864995616,0.1021720959764482,-0.07945695566457829,-0.054608566380921854,0.16255560957357262,0.02232750817438252,-0.012655104058871419,0.00011650781906671323,-0.017124947850199728,-0.0730273806664316,-0.01690696113963007,-0.022126924011193046,-0.05141676711782603,0.04503348544619802,-0.03961220651517452,-0.1480275114311168,0.4146224792152291,0.20072508509937848,-0.017659578767710016,-0.08847486822804625,-0.20327039154690746,0.03411200205447795,0.2188717326344356,-0.023249831635027307,-0.008640775958835778,0.23796445386086432,0.26641852615022205,0.22248852654416287,-0.40700401289061333,0.1254466311961408,0.1839567708728822,-0.23649374623422514,-0.2635976234723105,-0.10918960298532462,0.059215808271142756,0.2955712317425232,-0.17570928315356785,-0.2278897433041343,-0.13125106070412554,0.12509593214898257,0.28417548263397163,-0.305511569340092,-0.031542496375436456,-0.031702415148100675,-0.31540409879770087,0.00854973934911913,0.17188466118185478,0.03163341872354875,-0.12984520900864108,-0.31340170102092507,0.2897468821888404,0.12124192388111303,0.036628912460438756,0.011105757461460987,-0.05881781412388189,-0.08546899584924843,-0.018536970670090424
frame_markers,-0.016271067050903636,1.0,-0.009332904522678598,0.04516570358371444,-0.028904895006182485,0.0002441215786745524,-0.06984943763812677,0.0021082536094050434,-0.049892898130318206,-0.0729664809955812,-0.010647089363691565,-0.009053818245704842,0.036535821905427826,-0.02346835989990816,-0.0524033785123429,-0.028373426683826235,-0.00722849440530922,0.03782154097376068,-0.0001425842421461363,-0.0529000890129394,-0.03475639175679804,-0.013490761137747019,0.005561735143214995,-0.023172670971500525,0.0010892480165274087,-0.01644341264884356,-0.016443412648843525,-0.016443412648843508,-0.016443412648843535,-0.016443412648843535,-0.016443412648843535,0.03407406564569321,-0.016443412648843546,0.06279767906714223,0.05167981557364916,-0.037444630305070024,0.05711630983124493,-0.012780692713483097,-0.03164661680157505,0.08372923958829663,-0.016170764720286914,-0.024700102736854686,-0.05867088602447113,-0.0858088178882834,-0.04192480856309563,0.06455992951222615,0.030735527252342784,-0.022411347967253508,0.015527547364902111,-0.009530531120830845,0.008660300244851099,0.007725303671711778,-0.06072640259455746,0.03185509711351373,0.006172559652486045,0.017445641142425295,-0.04899198484864093,0.007307801736048031,0.11881548409217976,-0.041287552616077854,-0.025743336404882654,0.008068171016243906,0.03195166702012401,0.07678379213898558,0.017530488645785706,-0.09220024465579282,0.014780639955880833,0.030031613824792074,-0.0774446634425141,-0.0844442263593408,0.11231893028919984,0.04255278972818422,0.005724107279038576,-0.02380788226194716,-0.034736359747409996,0.04984448745916051,0.021231582974578122,0.03186614924278309,-0.09413111509474667,0.05876548712603125,0.07440762490117346,-0.0037023346168945565,-0.0664654644270644,-0.061402592583650155,0.01727061517953817,-0.030808434616450255,-0.03502587689335586,0.02495860033935136,-0.033668148982531995,-0.01503235048724356,0.01713767572844056,0.06022168180434363,-0.005959368627187153,-0.0590549057035021,-0.05075625789314107,0.03221771950342934,0.06957878434253618,0.07702044762020376,0.10771325195535472,-0.002511896545680568
situation_dependent_references,0.005215709232740242,-0.009332904522678598,1.0,-0.0041571501382913,0.06945388693653548,-0.02717194624735222,-0.06380644145905377,-0.045460113556534884,-0.014412222681958724,0.03371986243505157,0.0019013263946779974,0.007146459184554241,-0.03920721190970845,0.0967850130718509,0.03005372225001716,0.010317440739911853,-0.039744490013380165,-0.04921023853489371,0.059843437222329814,0.009824408406403695,0.2659883313203984,0.025491737025978813,0.09789408970828334,-0.0091774365258856,-0.014456480147215504,-0.00651234275234411,-0.0065123427523440915,-0.006512342752344095,-0.006512342752344119,-0.006512342752344119,-0.006512342752344119,-0.006512342752344114,-0.00651234275234411,-0.04972053117750109,0.01602445094179815,0.019792049493785255,-0.009801346273214698,0.0016477790844029508,0.00884319397501865,-0.004351201150987552,0.0027566339225014165,-0.039791458382399426,0.012605350143495647,0.01854325129423587,-0.016495902177848777,-0.03557725576960344,-0.022375609427991106,0.12480373983445056,0.02431549036009094,0.026476834640266417,-0.024684181532048474,-0.032185223997388754,-0.026502752189605547,-0.014722774733527197,-0.04487179654791339,-0.034548330583495684,-0.01662914482793545,-0.017646501742678893,-0.051267714818146806,-0.00855926788079732,-0.01603124519571462,0.013144484343542415,-0.022151759092659932,-0.0819536341135677,-0.06480648657439024,0.052885374601905136,-0.03298363704140376,0.024376297605939175,0.00016164015643659976,0.07653630766546492,-0.03964988216481943,-0.058925719515759194,-0.03776913237964482,-0.01899213258449393,0.03432496021516408,-0.04526378953098444,-0.0235368378751109,-0.0005516952814140582,0.09604389548312611,-0.0479567418692015,-0.09319732071995941,0.012932195731566119,0.07494663976549429,-0.029943145649396655,-0.05715476680627879,-0.0058178983482793266,-0.005847394782304967,-0.06964553868179729,-0.01833162534062919,-0.039381874655130794,0.022984495576458954,-0.03155954800496885,-0.04163973217401752,0.05615326259225517,0.03419009613629037,-0.011773616894534756,0.003669055987955414,-0.01732152909152861,-0.033518344050960165,-0.036896194535154636
chronological_markers,-0.010887235176023956,0.04516570358371444,-0.0041571501382913,1.0,0.00036633826579240335,-0.0890931745788876,-0.11018120310425428,-0.008854917826596606,-0.02932038082477614,-0.07432597220061551,-0.00788666596071676,-0.0019177380259817716,-0.06931147482563368,-0.03672323355323897,-0.029929544576828653,-0.01843249170985059,0.03642269555463366,0.0030561262324543927,-0.008586223771317951,-0.008743676388932966,-0.012001337227319749,-0.016847067710524962,-0.02626480342371558,-0.002867895635461636,0.014625463800669479,-0.015303392698109779,-0.015303392698109741,-0.01530339269810973,-0.015303392698109762,-0.015303392698109762,-0.015303392698109762,-0.015303392698109772,0.013852002130135413,0.026507601856450975,-0.0769166565580833,-0.08501618888259953,0.03678595119346851,0.05509182026847554,0.0015916383432730118,0.008881841546896871,-0.1289897830885714,-0.1347553689570232,0.06352045169894958,-0.05006488483113608,-0.05863669499355416,-0.06266627680316804,-0.0562573997437131,-0.012415593233452508,0.0024321673044427386,-0.02767831611433968,-0.015748695125563938,0.0580879498472411,0.05118020892302329,0.01960754336095862,0.04100340105444405,0.045508355549294964,-0.026783685133541176,0.00018921318150764076,0.07523514012858493,-0.05453308477656618,-0.02010336709194176,-0.03870073554828846,0.017627302226534372,-0.01271522261691746,-0.054444417431575395,-0.11871916798197245,-0.054343350196367664,0.057356184587616,0.01639869931509166,-0.05663361267200261,-0.008836492665487762,0.04363102020862352,-0.12223830137365864,-0.02584820232708277,0.07846117975492252,-0.02042316149399188,0.0854471681149542,-0.045287510263880955,-0.0530611958606567,0.028832398163644402,-0.01696440007830323,0.0431421137323255,-0.005197826547997121,-0.021147392221935353,0.017321106832730387,0.23697030100056649,0.23535732717285993,0.0007523178677379371,0.19999237387991117,-0.0558014528005186,0.04752064822241469,-0.044822161886289014,0.01810609682058633,-0.04655667959565253,-0.02856963929439036,0.03722383771347336,0.1284979709827247,0.3743234502398932,0.17390070843864835,-0.017338045927854213
explicit_references,0.0666567742911835,-0.028904895006182485,0.06945388693653548,0.00036633826579240335,1.0,-0.02064883140120218,-0.08569636205494785,-0.07687033168117642,0.026241136291799794,-0.05620467175243849,0.04546150225536937,-0.06411335380956805,-0.03757342164326488,0.027394264095492785,-0.05329036347357024,-0.03388288633517373,0.02490386699047459,-0.02617754907667172,0.009354043728226399,-0.03434383335435534,0.09049232639987433,0.05474665185725042,0.005395954996251757,0.005388625281854553,0.08551075164976654,-0.011543342341771514,-0.01154334234177149,-0.011543342341771476,-0.011543342341771488,-0.011543342341771488,-0.011543342341771488,0.01864387676386989,-0.011543342341771491,-0.07748814699437057,-0.06404113598087555,-0.05636002725634187,-0.00869276752768366,-0.07592046405666437,0.001846776046085435,-0.02986999986773709,-0.0077172397025366,-0.10248995186997928,-0.04404654522095327,0.03846459060947355,0.007020486409319307,-0.06536377561132449,-0.05706083860349288,0.03613776776901585,0.010213758727380732,-0.016730851710482778,-0.06216874065860217,-0.06700413512158164,-0.03623166414738029,-0.06009946373888937,-0.0061295761670901614,-0.05845261172372784,0.018461651614735335,0.02728511333052703,-0.05908264924757846,0.015351531647247013,-0.010357898908893343,-0.010851761016937186,-0.029332984826643576,-0.09049863969821775,-0.09253809721514661,0.043787052966991195,-0.08607703263293935,-0.044923015014356936,0.02566662271664612,0.01967838301358817,-0.026203192724374543,-0.03477040901163772,-0.07181761945100376,-0.018658236406559288,0.07558330523241365,-0.055309754412103486,0.05438812297313545,-0.10503630070306635,0.03901834949064281,0.030676529755550627,-0.11380536837637573,0.0777797496168374,0.06698744487388066,0.05099847367319858,-0.10310084230212174,-0.002313111217030393,-0.0023248385674107135,-0.11371600874475679,0.029805369000842206,-0.0456309468340899,0.0708579226573975,-0.08413864782127117,-0.0062586393694218775,0.03903655881392319,-0.04671507351657654,-0.07184198175649263,0.008630154533331649,-0.019919493651550248,-0.06753667145576699,-0.10771645105008827
code_glosses,-0.015313792501463645,0.0002441215786745524,-0.02717194624735222,-0.0890931745788876,-0.02064883140120218,1.0,-0.04361828377695686,-0.03886832354245132,-0.026883065201372486,-0.059404955215463816,-0.025312227629095237,-0.11636228957004877,0.03583116147383405,-0.03819340978387045,-0.10104414844544056,-0.03560395875403008,-0.052082693059450354,-0.04960359118979331,0.0027044384914458614,0.024606887358089746,-0.025912565596971825,-0.026819841382837044,-0.007047619804851064,-0.01727634332147285,-0.027214038859206424,-0.012259356836657114,-0.012259356836657093,-0.012259356836657107,-0.012259356836657116,-0.012259356836657116,-0.012259356836657116,-0.012259356836657112,-0.012259356836657123,0.13038945103489102,0.06414194720939463,-0.06208383800201089,-0.023838847448376537,0.11074127485696934,0.10996361202480269,-0.09718701336732077,0.028115595845860878,0.08816751319878154,-0.025229392716874122,0.02148501689462032,0.03537518685304817,-0.07369589002647237,-0.07757788160599569,-0.03409077916368544,-0.039715789379436726,-0.11064469917463426,-0.05760380169159736,-0.062820664288605,-0.08650039389832695,-0.053325591018244994,-0.045060091222387584,-0.0636772443152262,-0.012787173814424076,-0.057354684375900564,-0.06727395481827694,-0.052301623115422406,-0.007675243617991326,-0.06028536097407046,-0.08031349906997562,-0.051125737082310455,-0.059922308358509306,0.039791075596829345,-0.05587550587902144,-0.07755027450810945,0.006697022010284077,-0.031082560742309657,-0.06838798886042179,0.10515000777972668,0.019264089121118315,-0.0032671250364176103,0.041296579039906474,0.027370888304419107,-0.01990198791659456,0.0037314687696793497,-0.09082284267532172,0.12725636343572652,-0.03205740525012968,0.06916352163499392,0.06892659377664295,0.037322755928847456,0.12882087142932674,-0.08890774330322686,-0.08935850081525645,0.1225274269460372,-0.06567895521900555,-0.08570028679461796,-0.02319788167149293,-0.07952704796122466,0.004645836397255197,-0.027207793364070684,0.06067726099179396,-0.04501916182231786,-0.05963441963695413,-0.07594491985656406,-0.034130730170268866,-0.014459421928242726
transitions,-0.008439616868177202,-0.06984943763812677,-0.06380644145905377,-0.11018120310425428,-0.08569636205494785,-0.04361828377695686,1.0,-0.01262033320359808,0.05178487412550472,0.008945438109544058,0.0034014406317726107,-0.009436936028329268,-0.0230827085970854,-0.044159745435679465,-0.005500542770322457,0.01986198466964471,-0.0915817915103227,-0.0444846743090609,-0.016915218799749752,-0.03190304650280532,-0.053815154850917674,-0.012487940310954878,-0.036681377598954526,-0.03587946888637428,-0.037708331304018454,0.03436339816885781,-0.025460203238789246,-0.025460203238789236,-0.025460203238789305,-0.025460203238789305,-0.025460203238789305,0.0031877185620558155,-0.025460203238789315,0.006224505020484141,0.06789558467534924,0.01717029810662584,-0.01873450160422632,0.043548568046037434,-0.009842903572323026,-0.0015580644549965167,0.039940427733304654,0.10672861308908994,-0.012263939120511911,0.021079084066861913,-0.028595559741013656,0.10603852111760032,0.10085986520062745,-0.02937889667884531,0.012974359342855978,0.030521515931936187,0.06885611362587171,0.04338139521070875,0.03225298729019749,-0.014215939128642751,0.01414387821994116,0.025157061692198814,0.003088053212771925,-0.007615456169563538,-0.0029773416757230206,0.02404985622581125,-0.04490082391083209,-0.00884229003770888,-0.013513866563246494,0.09464705698989208,0.12358586151103299,0.011157527181096503,0.10070455768271826,0.04313536286391966,-0.05487973459831316,8.342516630649446e-05,-0.023401050111566103,-0.006305313521418462,0.026671087207008948,-0.04874314282773657,-0.023333685247952537,0.024991420179081087,-0.04185194274649964,-0.0060249444726183715,-0.004338607095542651,-0.020576696714155174,0.12228287343994777,-0.09676244358629785,-0.07238977538112622,-0.01655120667485089,0.02197044244827768,-0.010452810466015474,-0.007788789507431117,0.02762189504816515,-0.02150748482492577,0.07894358285802754,-0.009890839263677887,0.0723588427261869,0.0123898295880487,0.012034446128407926,0.03060799425807831,-0.0418264581201809,-0.07892216299998034,-0.06175024874632774,0.0666935465384834,0.006289847679679597
causal_markers,0.06132224854746448,0.0021082536094050434,-0.045460113556534884,-0.008854917826596606,-0.07687033168117642,-0.03886832354245132,-0.01262033320359808,1.0,-0.014551609583085054,-0.06614009367247962,-0.08005132389054864,0.0016038951261090938,-0.06607092163173518,-0.03893759122123286,0.02481526539652796,-0.048946811207369656,-0.034789972641019844,-0.047811548391838675,-0.017938329146962133,0.04686096089801115,-0.032998641053031824,0.004779444729878023,-0.038013659852541806,0.04266068208263026,-0.017224272011329915,-0.015611812511577573,-0.015611812511577568,-0.015611812511577583,-0.015611812511577575,-0.015611812511577575,-0.015611812511577575,-0.015611812511577568,0.025816628554126447,-0.01720140280967149,-0.03240443332576648,0.05487891630434033,-0.053696277311722225,-0.02379758080386841,-0.028027721959771094,0.059259807124330315,0.04579656880626478,0.22778069105788123,-0.005288195308216499,-0.018954704471959277,0.005718862861795461,-0.0032483610232980236,-0.008394090317547781,-0.017725632961382822,-0.0025163803045690114,0.10214062551301707,0.049660968410580465,0.04782244762393015,0.06502792031408033,0.05924694191744165,0.007977665358276447,0.06271369385807157,0.12729898766909883,0.006352847036978133,0.026171560336480153,0.039477028691044566,-0.03294101281153852,-0.08014013542362002,0.029567709332228378,0.03189624419180706,0.032063188526741976,-0.02767103773484736,0.02973750087401308,0.01712204769779002,-0.061774045341002976,-0.023912766509333563,0.013418061743950221,0.012208900208229281,0.04572230915132372,-0.041434192018029455,-0.08995988926043293,0.03195922108439995,-0.04024299952155798,0.08775846695345878,-0.04239791695009052,0.014722167290883728,0.031717538010259935,0.01980682328491779,-0.04055200209904095,-0.03750252924019895,0.07076874232435919,0.02026263643143731,0.02424207508089695,0.09331019847516857,-0.012926141985205995,0.024385474064768233,-0.011249814921027787,0.02209249568193166,-0.010570956278570196,-0.03212664244058533,-0.014183332136624415,0.12252910997103003,0.06968685726155754,0.09779404253071818,0.1745532439420754,0.4824188894923113
adverbs_of_degree,-0.0034944958150031975,-0.049892898130318206,-0.014412222681958724,-0.02932038082477614,0.026241136291799794,-0.026883065201372486,0.05178487412550472,-0.014551609583085054,1.0,0.08247002019321609,-0.07105546638103166,0.017393672420453973,0.07215310183632337,-0.03317404165231479,0.15066750557421427,-0.017548273536841446,0.00020229725722016527,0.0006833185252420557,0.0006628412840485814,-0.004251886802769192,0.020551886425314286,-0.035615818672089364,0.01942033629639118,-0.022942384418727355,-0.011900037498844522,-0.016280000463024084,0.02928080424844588,-0.01628000046302407,-0.016280000463024046,-0.016280000463024046,-0.016280000463024046,-0.016280000463024052,-0.016280000463024066,-0.08118714477488835,0.06707229323601371,0.09719123432537359,0.03512947121515478,-0.037400883006261966,-0.023298476018192755,0.029142965686077243,0.07402196745079395,0.003523826680486519,0.026419454555964336,0.04800923233520977,-0.07886972493865052,0.07601168004505,0.0864153010786551,-0.0062837106102031455,-0.0074617600124163635,0.04974004238891153,0.056053075936674954,0.0421124448777552,-0.009097423559916553,0.08808362409965248,0.07539701856029776,0.02103195678411228,0.06906620951948415,-0.0037307236733422565,-0.02362359346585641,0.011762370236264412,-0.06156237262255487,0.006105406064228842,-0.058966037971649836,-0.024707181612105576,0.058070193197472024,0.06629705450594164,0.0416671582770815,0.03987063637278941,0.054206701397345354,0.13719247552778593,0.10418910035646847,-0.10871431785759215,0.06072417254579751,-0.040454453991138326,-0.08838916804625017,-0.05118875119218984,-0.018783878197613374,0.05161233119332622,0.1447261587663405,-0.0663564880973859,-0.012100035566319466,-0.05275643792274554,0.04679818158622544,-0.02557390122989666,-0.05727039328347562,0.01718175689448674,0.021016909912151927,-0.0641946617304375,0.03648597917555986,0.06967856307498739,0.026290297373022437,0.056886748684358855,0.006713896003418946,0.11318372459210664,-0.005400003111048259,-0.010304486994106157,-0.02151446317052222,-0.042897662202410744,-0.024046272267797323,0.02589932775303476
hedges,0.005349180545733321,-0.0729664809955812,0.03371986243505157,-0.07432597220061551,-0.05620467175243849,-0.059404955215463816,0.008945438109544058,-0.06614009367247962,0.08247002019321609,1.0,-0.09353046843043358,0.20078410830491097,-0.07785180046902074,-0.004182202395838639,0.050210594676398705,-0.05276265066814571,0.04976179936262556,-0.04127661882545173,-0.042036622781189664,-0.005125410533362723,0.04469507470124785,-0.03740344221505734,0.0009676187840667595,-0.004743921894977399,-0.027440341979456377,-0.022371985078636324,-0.02237198507863631,-0.022371985078636313,-0.022371985078636414,-0.022371985078636414,-0.022371985078636414,-0.02237198507863641,-0.022371985078636424,-0.060649505144982394,0.0787992921399804,0.1491550817625784,0.018520324880446002,-0.06730219550513093,-0.1726214446226476,0.02022690149036878,-0.03341107275308773,-0.0009479439438935839,0.04743240352059923,-0.11604278566344207,-0.06824029497268162,0.167989952519666,0.15658585704259365,-0.02193092579770738,-0.008827068746497805,0.11356198961273047,0.11090060992292385,0.06261145058570337,-0.0207145391799525,0.03071015955146345,0.030403412374870462,-0.018473608464105912,-0.03734557748888462,0.020734385710337536,0.0009258445104865833,0.07472154548136933,-0.02272493724000694,0.015424469863489448,0.06302684290034692,0.16692337112108077,0.28082694733195773,-0.037384247461885296,0.24255565054711312,0.11811387538346312,-0.053300239707925155,0.018468434533292385,0.1450093703500574,-0.10282516841550646,0.025179153956425178,-0.009622342867450956,-0.08176682798933009,-0.013436128628784324,0.02628853283439753,0.005710667097402403,0.01294206779793207,-0.1645347595750292,0.166619341447601,-0.2725646792005801,-0.17865742979110155,-0.03576836610776413,-0.08563052556748085,-0.040130214288118075,-0.03910859019269776,-0.08810984828928338,-0.05338853323238554,0.2795995077149389,-0.04233359625023628,0.1315611264584524,-0.027602931332357288,0.005411355672123219,-0.02860992414756105,0.0326177099008011,-0.017461739943560123,-0.04908394478117225,0.005856931981224306,-0.00961002538903173
