,message_id,informativeness,constructive_feedback,author_revelation,comprehensibility,detail_level,explicitness,context_dependence,persuasiveness,logical_reasoning,anecdotal_reasoning,right_wrong,tradition,supportiveness,empathy,status_suggestion,status_appropriateness,personal_choice,group_harmony,shared_responsibility,self-reliance,group_wellbeing,self_growth,self_responsibility,ext_responsibility,other_reliance,accomplish_tasks,implied_meaning,creative_text,repetitive,point_faults,tactful,critique,challenge,conflict,build_connection,orientation,vividness,expressfulness,vagueness,matter_of_factness,abstractness,figurativeness,concreteness,formality,conciseness,verbosity,emotionality,impersonality,politeness,directness,bluntness,cultural-relatedness,exposition,narrative,narrative_mode,expository_mode,storytelling,indirect,suspensefulness,prosociality,clarity,engagement,showing,context-first,setting-first,chronological,transition_level,causal_level
0,u1984,2,2,4,7,2,5,5,3,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,1,1,5,1,1,2,2,2,4,2,1,"['past', 'present']",1,3,2,4,2,1,6,2,6,2,3,4,3,5,4,4,2,1,1,2,1,2,1,1,6,4,2,4,4,3,2,4
1,u721,2,3,4,7,2,3,6,2,2,3,1,1,5,4,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,4,6,5,3,4,3,"['past', 'present']",1,3,4,4,1,1,5,2,6,1,3,2,6,5,2,1,2,1,1,2,1,2,1,4,6,3,2,4,3,4,4,2
2,u2503,5,3,2,6,4,5,5,3,4,1,4,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,3,2,4,2,1,"['past', 'present']",1,2,2,6,2,1,5,5,6,2,1,6,4,6,5,4,5,1,1,5,1,2,1,2,6,3,2,4,4,4,4,2
3,u2963,5,4,3,6,4,6,3,4,4,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,5,4,3,4,1,['present'],1,2,2,6,2,1,6,4,6,2,1,6,5,6,4,4,5,1,1,5,1,2,1,2,6,3,2,3,1,1,2,2
4,u1411,4,5,5,6,2,5,6,4,4,5,2,1,2,1,1,1,4,1,1,1,1,1,3,3,1,3,5,1,1,4,5,5,2,2,3,"['past', 'present']",1,2,5,5,2,1,5,3,6,2,2,2,5,6,4,1,4,3,3,4,2,4,1,2,6,4,3,4,1,2,2,4
5,u2785,4,2,5,7,2,6,5,4,2,1,1,1,5,3,4,6,5,6,5,2,4,3,4,4,6,4,2,1,1,5,6,5,2,6,3,"['present', 'future']",1,2,4,5,2,1,5,4,6,2,3,2,7,5,1,2,2,1,1,2,1,5,1,6,7,5,2,3,3,1,2,4
6,u1857,5,3,4,7,5,6,4,5,6,1,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,5,6,2,1,"['present', 'past']",1,2,2,6,2,1,6,4,6,2,3,3,5,6,4,5,5,1,1,6,1,2,1,2,6,4,5,3,2,2,4,5
7,u3374,6,5,5,7,6,6,3,5,5,1,5,3,2,2,4,6,1,4,2,1,4,1,2,2,1,1,2,1,1,1,4,2,5,2,1,"['past', 'present']",2,3,2,6,2,1,6,5,6,2,4,6,4,6,5,6,6,3,3,6,2,2,1,4,7,4,2,5,5,5,4,2
8,u3928,3,1,4,6,3,4,6,2,2,4,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,3,3,1,1,4,5,4,2,2,2,"['past', 'present']",1,2,5,5,3,1,4,4,6,2,2,2,5,5,2,1,3,3,3,3,2,2,1,2,6,3,3,5,5,4,4,5
9,u2804,5,7,4,7,5,6,6,3,3,1,1,1,5,4,2,6,5,4,2,1,2,1,1,1,1,4,2,1,1,5,6,6,3,5,1,"['present', 'future']",1,2,2,5,2,1,6,5,5,2,2,3,6,5,2,1,3,1,1,4,1,4,1,4,5,3,2,4,4,1,1,3
10,u2944,4,1,3,5,5,5,7,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,4,1,1,1,2,"['past', 'future']",2,2,5,6,2,1,5,6,5,2,2,5,5,5,2,3,4,3,2,5,2,2,1,1,5,3,2,2,2,3,2,4
11,u3346,5,5,4,6,3,5,6,2,4,1,2,1,4,1,1,2,1,1,1,1,1,1,4,1,3,4,2,1,1,2,5,2,4,5,4,"['past', 'present']",1,2,2,6,3,1,5,4,6,1,1,5,5,6,4,1,4,1,1,5,1,2,1,3,6,3,2,3,1,2,2,4
